"geo","time","income_share_of_middle_20percent"
"bdi",1992,16.3
"bdi",1998,15.1
"bdi",2006,15.3
"bdi",2013,15
"cod",2004,14.3
"cod",2012,14.5
"ken",1992,10.7
"ken",1994,14.6
"ken",1997,13.6
"ken",2005,13.4
"ken",2015,14.6
"rwa",1984,16.7
"rwa",2000,12.6
"rwa",2005,11.7
"rwa",2010,12.7
"rwa",2013,13.2
"ssd",2009,14.2
"tza",1991,15.9
"tza",2000,15.4
"tza",2007,14.7
"tza",2011,14.9
"uga",1989,14.3
"uga",1992,14.6
"uga",1996,14.9
"uga",1999,14.1
"uga",2002,13.3
"uga",2005,13.8
"uga",2009,13.5
"uga",2012,14.3
"uga",2016,13.8
