"geo","time","income_share_of_richest_20percent"
"bdi",1992,41.6
"bdi",1998,48
"bdi",2006,42.9
"bdi",2013,46.3
"cod",2004,48.5
"cod",2012,48.4
"ken",1992,61.8
"ken",1994,48.9
"ken",1997,51.3
"ken",2005,52.2
"ken",2015,47.5
"rwa",1984,38.9
"rwa",2000,54.9
"rwa",2005,58
"rwa",2010,54.1
"rwa",2013,52.2
"ssd",2009,50.6
"tza",1991,43
"tza",2000,44.7
"tza",2007,47.2
"tza",2011,45.8
"uga",1989,49.9
"uga",1992,48.2
"uga",1996,46.5
"uga",1999,49.7
"uga",2002,52.1
"uga",2005,49.8
"uga",2009,51.2
"uga",2012,48.3
"uga",2016,49.8
