"geo","time","industry_percent_of_gdp"
"bdi",1970,9.40435
"bdi",1971,9.75741
"bdi",1972,10.79397
"bdi",1973,11.6259
"bdi",1974,12.11938
"bdi",1975,12.58269
"bdi",1976,11.74229
"bdi",1977,12.18204
"bdi",1978,14.30673
"bdi",1979,14.71543
"bdi",1980,11.67074
"bdi",1981,12.71593
"bdi",1982,14.29488
"bdi",1983,14.48121
"bdi",1984,12.58092
"bdi",1985,11.82188
"bdi",1986,12.12885
"bdi",1987,15.71135
"bdi",1988,14.81469
"bdi",1989,17.26292
"bdi",1990,17.32688
"bdi",1991,17.53485
"bdi",1992,18.98601
"bdi",1993,20.12341
"bdi",1994,19.57291
"bdi",1995,16.80067
"bdi",1996,11.78259
"bdi",1997,13.89043
"bdi",1998,14.69128
"bdi",1999,16.11961
"bdi",2000,15.53957
"bdi",2001,15.57319
"bdi",2002,15.804
"bdi",2003,15.74171
"bdi",2004,16.32302
"bdi",2005,16.93976
"bdi",2006,15.31648
"bdi",2007,16.59737
"bdi",2008,14.66325
"bdi",2009,15.18052
"bdi",2010,15.26723
"bdi",2011,15.45606
"bdi",2012,15.42385
"bdi",2013,16.16927
"bdi",2014,16.63596
"bdi",2015,15.09783
"bdi",2016,15.14867
"cod",1965,32.25493
"cod",1966,30.40532
"cod",1967,30.35076
"cod",1968,34.04171
"cod",1969,38.73372
"cod",1970,41.36603
"cod",1971,37.98671
"cod",1972,34.64564
"cod",1973,39.31078
"cod",1974,40.0266
"cod",1975,34.69276
"cod",1976,29.25947
"cod",1977,24.96397
"cod",1978,24.31148
"cod",1979,26.13582
"cod",1980,33.05621
"cod",1981,32.1164
"cod",1982,26.7138
"cod",1983,25.84568
"cod",1984,27.91873
"cod",1985,29.19576
"cod",1986,24.83904
"cod",1987,27.57996
"cod",1988,29.31498
"cod",1989,30.73882
"cod",1990,28.22796
"cod",1991,20
"cod",1992,16.38418
"cod",1993,16.38187
"cod",1994,15.87199
"cod",1995,16.86401
"cod",1996,32.35396
"cod",1997,21.25
"cod",1998,20.44565
"cod",1999,18.71445
"cod",2000,22.40571
"cod",2001,30.01627
"cod",2002,32.61834
"cod",2003,28.85794
"cod",2004,31.78242
"cod",2005,31.79221
"cod",2006,29.73454
"cod",2007,30.20697
"cod",2008,33.22346
"cod",2009,33.01592
"cod",2010,38.68915
"cod",2011,40.94274
"cod",2012,40.25476
"cod",2013,41.28635
"cod",2014,42.97985
"cod",2015,41.70486
"cod",2016,41.16138
"cod",2017,41.62744
"ken",1960,16.8899
"ken",1961,17.13807
"ken",1962,15.42866
"ken",1963,13.979
"ken",1964,15.47239
"ken",1965,16.66667
"ken",1966,16.28035
"ken",1967,17.46706
"ken",1968,17.66118
"ken",1969,18.04358
"ken",1970,17.97227
"ken",1971,18.28731
"ken",1972,18.68057
"ken",1973,18.64397
"ken",1974,18.32281
"ken",1975,17.88669
"ken",1976,16.35732
"ken",1977,15.86698
"ken",1978,17.43252
"ken",1979,17.3204
"ken",1980,17.77778
"ken",1981,17.38906
"ken",1982,17.30958
"ken",1983,16.90869
"ken",1984,16.42915
"ken",1985,16.74073
"ken",1986,16.18046
"ken",1987,15.92976
"ken",1988,16.75328
"ken",1989,16.36991
"ken",1990,16.32579
"ken",1991,17.00351
"ken",1992,15.84607
"ken",1993,14.36702
"ken",1994,14.55206
"ken",1995,13.55652
"ken",1996,16.39205
"ken",1997,15.92638
"ken",1998,15.54216
"ken",1999,14.9153
"ken",2000,15.01586
"ken",2001,15.30962
"ken",2002,15.45356
"ken",2003,15.62315
"ken",2004,16.20508
"ken",2005,17.01263
"ken",2006,19.38411
"ken",2007,19.30217
"ken",2008,18.58277
"ken",2009,18.74914
"ken",2010,18.54947
"ken",2011,18.90626
"ken",2012,18.62811
"ken",2013,18.02416
"ken",2014,17.44177
"ken",2015,17.30081
"ken",2016,17.45527
"ken",2017,17.49797
"rwa",1965,6.85349
"rwa",1966,6.77037
"rwa",1967,9.7468
"rwa",1968,9.49477
"rwa",1969,9.38633
"rwa",1970,8.59482
"rwa",1971,8.68196
"rwa",1972,9.42731
"rwa",1973,8.72951
"rwa",1974,9.20502
"rwa",1975,18.96911
"rwa",1976,18.89446
"rwa",1977,21.2062
"rwa",1978,22.12214
"rwa",1979,18.73765
"rwa",1980,21.54829
"rwa",1981,20.79256
"rwa",1982,21.7343
"rwa",1983,24.08386
"rwa",1984,23.23818
"rwa",1985,22.68581
"rwa",1986,23.08391
"rwa",1987,17.83143
"rwa",1988,17.13684
"rwa",1989,17.42015
"rwa",1990,24.62417
"rwa",1991,20.94005
"rwa",1992,18.70344
"rwa",1993,18.33483
"rwa",1994,21.17008
"rwa",1995,15.97119
"rwa",1996,18.08581
"rwa",1997,18.61007
"rwa",1998,18.70272
"rwa",1999,17.60257
"rwa",2000,15.81381
"rwa",2001,15.51615
"rwa",2002,15.1301
"rwa",2003,12.79314
"rwa",2004,12.9375
"rwa",2005,13.46614
"rwa",2006,13.34631
"rwa",2007,15.01238
"rwa",2008,14.60792
"rwa",2009,14.15585
"rwa",2010,14.81676
"rwa",2011,16.52978
"rwa",2012,16.52895
"rwa",2013,17.19962
"rwa",2014,17.18369
"rwa",2015,16.97751
"rwa",2016,16.36962
"rwa",2017,15.76516
"tza",1990,16.14869
"tza",1991,15.38803
"tza",1992,15.09025
"tza",1993,14.50911
"tza",1994,13.99429
"tza",1995,13.42463
"tza",1996,13.02897
"tza",1997,13.00126
"tza",1998,18.72937
"tza",1999,18.32212
"tza",2000,17.93591
"tza",2001,18.0045
"tza",2002,19.64247
"tza",2003,20.96698
"tza",2004,20.75113
"tza",2005,19.74664
"tza",2006,20.71002
"tza",2007,20.19406
"tza",2008,20.44993
"tza",2009,18.60352
"tza",2010,20.30323
"tza",2011,22.79385
"tza",2012,21.80158
"tza",2013,22.70315
"tza",2014,23.22699
"tza",2015,24.31805
