"geo","time","inequality_index_gini"
"bdi",1992,33.3
"bdi",1998,42.3
"bdi",2006,33.4
"bdi",2013,38.6
"cod",2004,42.2
"cod",2012,42.1
"ken",1992,57.5
"ken",1994,43.1
"ken",1997,45
"ken",2005,46.5
"ken",2015,40.8
"rwa",1984,28.9
"rwa",2000,48.5
"rwa",2005,52
"rwa",2010,47.2
"rwa",2013,45.1
"ssd",2009,46.3
"tza",1991,35.3
"tza",2000,37.3
"tza",2007,40.3
"tza",2011,37.8
"uga",1989,44.4
"uga",1992,41.4
"uga",1996,39
"uga",1999,43
"uga",2002,45.2
"uga",2005,42.9
"uga",2009,44.2
"uga",2012,41
"uga",2016,42.8
