"geo","time","infant_mortality_rate_per_1000_births"
"bdi",1958,147.7
"bdi",1959,145.3
"bdi",1960,145.1
"bdi",1961,144.8
"bdi",1962,144.6
"bdi",1963,144.3
"bdi",1964,142.8
"bdi",1965,143.6
"bdi",1966,144.5
"bdi",1967,145.3
"bdi",1968,145.9
"bdi",1969,146.2
"bdi",1970,146.4
"bdi",1971,146.3
"bdi",1972,146.2
"bdi",1973,146.1
"bdi",1974,146
"bdi",1975,145.7
"bdi",1976,144.8
"bdi",1977,143
"bdi",1978,140
"bdi",1979,136
"bdi",1980,131.1
"bdi",1981,125.8
"bdi",1982,120.3
"bdi",1983,115
"bdi",1984,110.6
"bdi",1985,106.9
"bdi",1986,104.5
"bdi",1987,103.3
"bdi",1988,103
"bdi",1989,103.3
"bdi",1990,103.9
"bdi",1991,104.5
"bdi",1992,104.8
"bdi",1993,104.8
"bdi",1994,104.3
"bdi",1995,103.2
"bdi",1996,101.7
"bdi",1997,100
"bdi",1998,97.9
"bdi",1999,95.7
"bdi",2000,93.4
"bdi",2001,91
"bdi",2002,88.6
"bdi",2003,85.8
"bdi",2004,82.9
"bdi",2005,79.7
"bdi",2006,76.2
"bdi",2007,72.7
"bdi",2008,69.3
"bdi",2009,66.4
"bdi",2010,63.8
"bdi",2011,61.6
"bdi",2012,59.5
"bdi",2013,57.6
"bdi",2014,55.8
"bdi",2015,54.1
"cod",1960,174
"cod",1969,150.7
"cod",1970,149
"cod",1971,147.5
"cod",1972,145.9
"cod",1973,144.2
"cod",1974,142.5
"cod",1975,140.7
"cod",1976,138.9
"cod",1977,137.1
"cod",1978,135.4
"cod",1979,133.7
"cod",1980,132
"cod",1981,130.5
"cod",1982,129
"cod",1983,127.7
"cod",1984,126.3
"cod",1985,125.2
"cod",1986,124
"cod",1987,122.9
"cod",1988,121.8
"cod",1989,120.8
"cod",1990,119.8
"cod",1991,118.7
"cod",1992,117.7
"cod",1993,116.8
"cod",1994,115.8
"cod",1995,114.9
"cod",1996,113.8
"cod",1997,112.5
"cod",1998,110.9
"cod",1999,109.3
"cod",2000,107.4
"cod",2001,105.3
"cod",2002,103.1
"cod",2003,100.9
"cod",2004,98.7
"cod",2005,96.3
"cod",2006,93.9
"cod",2007,91.5
"cod",2008,89.2
"cod",2009,86.9
"cod",2010,84.8
"cod",2011,82.6
"cod",2012,80.5
"cod",2013,78.3
"cod",2014,76.5
"cod",2015,74.5
"ken",1950,186.9
"ken",1951,178.2
"ken",1952,180.7
"ken",1953,170.3
"ken",1954,160.6
"ken",1955,151.7
"ken",1956,143.5
"ken",1957,136.1
"ken",1958,129.5
"ken",1959,123.8
"ken",1960,118.6
"ken",1961,114
"ken",1962,109.9
"ken",1963,106.5
"ken",1964,103.6
"ken",1965,101.2
"ken",1966,99
"ken",1967,97.1
"ken",1968,95.2
"ken",1969,93.3
"ken",1970,91.3
"ken",1971,89.3
"ken",1972,87.3
"ken",1973,85.2
"ken",1974,83
"ken",1975,80.7
"ken",1976,78.4
"ken",1977,76
"ken",1978,73.7
"ken",1979,71.5
"ken",1980,69.4
"ken",1981,67.5
"ken",1982,65.8
"ken",1983,64.4
"ken",1984,63.4
"ken",1985,62.7
"ken",1986,62.5
"ken",1987,62.7
"ken",1988,63.4
"ken",1989,64.5
"ken",1990,65.8
"ken",1991,67.4
"ken",1992,68.9
"ken",1993,70.4
"ken",1994,71.4
"ken",1995,71.9
"ken",1996,71.7
"ken",1997,71.1
"ken",1998,69.9
"ken",1999,68.4
"ken",2000,66.5
"ken",2001,64.5
"ken",2002,62.2
"ken",2003,59.7
"ken",2004,57.2
"ken",2005,54.3
"ken",2006,51.8
"ken",2007,49.5
"ken",2008,46.2
"ken",2009,44.3
"ken",2010,42.4
"ken",2011,40.3
"ken",2012,39.2
"ken",2013,38
"ken",2014,36.6
"ken",2015,35.5
"rwa",1954,145.5
"rwa",1955,143
"rwa",1956,145.4
"rwa",1957,140.5
"rwa",1958,135.6
"rwa",1959,131.2
"rwa",1960,127.9
"rwa",1961,125.3
"rwa",1962,123.4
"rwa",1963,122.4
"rwa",1964,122
"rwa",1965,122.2
"rwa",1966,123
"rwa",1967,124
"rwa",1968,125.5
"rwa",1969,127.3
"rwa",1970,129.4
"rwa",1971,131.5
"rwa",1972,134.1
"rwa",1973,137.3
"rwa",1974,141.1
"rwa",1975,144.8
"rwa",1976,147.5
"rwa",1977,148
"rwa",1978,144.9
"rwa",1979,138
"rwa",1980,129.1
"rwa",1981,120
"rwa",1982,111.8
"rwa",1983,105.3
"rwa",1984,100.9
"rwa",1985,97.8
"rwa",1986,95.1
"rwa",1987,93.1
"rwa",1988,91.9
"rwa",1989,91.8
"rwa",1990,93.2
"rwa",1991,96.3
"rwa",1992,101.3
"rwa",1993,109
"rwa",1994,132.3
"rwa",1995,129.6
"rwa",1996,120.3
"rwa",1997,121.7
"rwa",1998,121.4
"rwa",1999,115.2
"rwa",2000,109.2
"rwa",2001,102.3
"rwa",2002,94.1
"rwa",2003,86
"rwa",2004,77.7
"rwa",2005,70.2
"rwa",2006,63.1
"rwa",2007,56.8
"rwa",2008,51.5
"rwa",2009,47.3
"rwa",2010,43.8
"rwa",2011,40
"rwa",2012,37.1
"rwa",2013,34.7
"rwa",2014,32.7
"rwa",2015,31.1
"ssd",1979,177.1
"ssd",1980,174.9
"ssd",1981,172.9
"ssd",1982,171.1
"ssd",1983,168.8
"ssd",1984,166.2
"ssd",1985,163.8
"ssd",1986,160.9
"ssd",1987,158.2
"ssd",1988,155.4
"ssd",1989,152.5
"ssd",1990,149.7
"ssd",1991,146.7
"ssd",1992,143.3
"ssd",1993,139.8
"ssd",1994,136.1
"ssd",1995,132
"ssd",1996,127.9
"ssd",1997,123.8
"ssd",1998,119.2
"ssd",1999,114.4
"ssd",2000,109.5
"ssd",2001,104.5
"ssd",2002,99.7
"ssd",2003,95
"ssd",2004,90.6
"ssd",2005,86.4
"ssd",2006,82.4
"ssd",2007,78.9
"ssd",2008,75.7
"ssd",2009,73.1
"ssd",2010,70.6
"ssd",2011,68.3
"ssd",2012,66.1
"ssd",2013,64
"ssd",2014,62
"ssd",2015,60.3
"tza",1951,154.5
"tza",1952,153.2
"tza",1953,152.1
"tza",1954,151
"tza",1955,149.9
"tza",1956,148.8
"tza",1957,147.8
"tza",1958,146.7
"tza",1959,145.5
"tza",1960,144.3
"tza",1961,143
"tza",1962,141.9
"tza",1963,140.5
"tza",1964,139
"tza",1965,137.3
"tza",1966,135.4
