"geo","time","infectious_tb_detection_rate_percent"
"bdi",1993,38
"bdi",1994,29
"bdi",1995,20
"bdi",1996,25
"bdi",1997,30
"bdi",1998,38
"bdi",1999,36
"bdi",2001,30
"bdi",2002,25
"bdi",2003,26
"bdi",2004,26
"bdi",2005,25
"bdi",2006,24
"bdi",2007,27
"cod",1993,38
"cod",1995,44
"cod",1996,47
"cod",1997,43
"cod",1998,53
"cod",1999,50
"cod",2000,47
"cod",2001,49
"cod",2002,47
"cod",2003,53
"cod",2004,59
"cod",2005,60
"cod",2006,59
"cod",2007,61
"ken",1990,63
"ken",1991,63
"ken",1992,57
"ken",1993,62
"ken",1994,57
"ken",1995,58
"ken",1996,60
"ken",1997,56
"ken",1998,60
"ken",1999,60
"ken",2000,58
"ken",2001,61
"ken",2002,63
"ken",2003,65
"ken",2004,68
"ken",2005,70
"ken",2006,72
"ken",2007,72
"rwa",1995,34
"rwa",1996,35
"rwa",1997,41
"rwa",1998,54
"rwa",1999,44
"rwa",2000,32
"rwa",2001,25
"rwa",2002,28
"rwa",2003,30
"rwa",2004,27
"rwa",2005,26
"rwa",2006,27
"rwa",2007,25
"tza",1990,62
"tza",1991,57
"tza",1992,57
"tza",1993,60
"tza",1994,59
"tza",1995,61
"tza",1996,60
"tza",1997,57
"tza",1998,58
"tza",1999,56
"tza",2000,52
"tza",2001,51
"tza",2002,48
"tza",2003,49
"tza",2004,51
"tza",2005,50
"tza",2006,50
"tza",2007,51
"uga",1993,52
"uga",1994,60
"uga",1995,51
"uga",1996,56
"uga",1997,60
"uga",1998,60
"uga",1999,60
"uga",2000,51
"uga",2001,47
"uga",2002,47
"uga",2003,47
"uga",2004,48
"uga",2005,47
"uga",2006,48
"uga",2007,51
