"geo","time","infectious_tb_new_cases_per_100000_reported"
"bdi",1993,31
"bdi",1994,25
"bdi",1995,18
"bdi",1996,24
"bdi",1997,32
"bdi",1998,43
"bdi",1999,45
"bdi",2001,44
"bdi",2002,40
"bdi",2003,42
"bdi",2004,43
"bdi",2005,42
"bdi",2006,38
"bdi",2007,42
"cod",1993,35
"cod",1995,46
"cod",1996,52
"cod",1997,52
"cod",1998,69
"cod",1999,71
"cod",2000,71
"cod",2001,81
"cod",2002,83
"cod",2003,97
"cod",2004,109
"cod",2005,111
"cod",2006,105
"cod",2007,106
"ken",1990,29
"ken",1991,29
"ken",1992,31
"ken",1993,39
"ken",1994,43
"ken",1995,51
"ken",1996,60
"ken",1997,66
"ken",1998,81
"ken",1999,89
"ken",2000,92
"ken",2001,98
"ken",2002,104
"ken",2003,113
"ken",2004,119
"ken",2005,113
"ken",2006,107
"ken",2007,102
"rwa",1995,33
"rwa",1996,35
"rwa",1997,44
"rwa",1998,63
"rwa",1999,56
"rwa",2000,45
"rwa",2001,38
"rwa",2002,45
"rwa",2003,52
"rwa",2004,46
"rwa",2005,45
"rwa",2006,45
"rwa",2007,42
"tza",1990,45
"tza",1991,46
"tza",1992,50
"tza",1993,55
"tza",1994,59
"tza",1995,67
"tza",1996,70
"tza",1997,70
"tza",1998,74
"tza",1999,73
"tza",2000,71
"tza",2001,71
"tza",2002,68
"tza",2003,68
"tza",2004,69
"tza",2005,66
"tza",2006,63
"tza",2007,61
"uga",1993,60
"uga",1994,72
"uga",1995,64
"uga",1996,70
"uga",1997,76
"uga",1998,78
"uga",1999,77
"uga",2000,70
"uga",2001,68
"uga",2002,73
"uga",2003,75
"uga",2004,75
"uga",2005,71
"uga",2006,68
"uga",2007,69
