"geo","time","infectious_tb_number_of_new_cases_estimated"
"bdi",1990,3815
"bdi",1991,4277
"bdi",1992,4562
"bdi",1993,4912
"bdi",1994,5304
"bdi",1995,5746
"bdi",1996,6145
"bdi",1997,6677
"bdi",1998,7296
"bdi",1999,8045
"bdi",2000,8971
"bdi",2001,9986
"bdi",2002,11040
"bdi",2003,11960
"bdi",2004,12590
"bdi",2005,12970
"bdi",2006,13200
"bdi",2007,13430
"cod",1990,27720
"cod",1991,31870
"cod",1992,35370
"cod",1993,39370
"cod",1994,43450
"cod",1995,47850
"cod",1996,51820
"cod",1997,56860
"cod",1998,62550
"cod",1999,69230
"cod",2000,77220
"cod",2001,85720
"cod",2002,94230
"cod",2003,101300
"cod",2004,105500
"cod",2005,107600
"cod",2006,108300
"cod",2007,109000
"ken",1990,10780
"ken",1991,11150
"ken",1992,13420
"ken",1993,16270
"ken",1994,19950
"ken",1995,23880
"ken",1996,28270
"ken",1997,33970
"ken",1998,39740
"ken",1999,45310
"ken",2000,49450
"ken",2001,51320
"ken",2002,54300
"ken",2003,58300
"ken",2004,60840
"ken",2005,57800
"ken",2006,54310
"ken",2007,53230
"rwa",1990,4738
"rwa",1991,5082
"rwa",1992,5098
"rwa",1993,5064
"rwa",1994,5085
"rwa",1995,5353
"rwa",1996,5894
"rwa",1997,6885
"rwa",1998,8215
"rwa",1999,9760
"rwa",2000,11400
"rwa",2001,12920
"rwa",2002,14240
"rwa",2003,15170
"rwa",2004,15640
"rwa",2005,15830
"rwa",2006,15880
"rwa",2007,15930
"tza",1990,18730
"tza",1991,21110
"tza",1992,23510
"tza",1993,26020
"tza",1994,29030
"tza",1995,32480
"tza",1996,35630
"tza",1997,38690
"tza",1998,40870
"tza",1999,43080
"tza",2000,45900
"tza",2001,48120
"tza",2002,50180
"tza",2003,50500
"tza",2004,50790
"tza",2005,50240
"tza",2006,49430
"tza",2007,48510
"uga",1990,11370
"uga",1991,18030
"uga",1992,20360
"uga",1993,23010
"uga",1994,24650
"uga",1995,26640
"uga",1996,27150
"uga",1997,28570
"uga",1998,30150
"uga",1999,30980
"uga",2000,33650
"uga",2001,36860
"uga",2002,40990
"uga",2003,43560
"uga",2004,43890
"uga",2005,43730
"uga",2006,42870
"uga",2007,41860
