"geo","time","infectious_tb_number_of_new_cases_reported"
"bdi",1993,1861
"bdi",1994,1527
"bdi",1995,1121
"bdi",1996,1533
"bdi",1997,2022
"bdi",1998,2782
"bdi",1999,2924
"bdi",2001,3040
"bdi",2002,2791
"bdi",2003,3087
"bdi",2004,3277
"bdi",2005,3262
"bdi",2006,3119
"bdi",2007,3595
"cod",1993,14920
"cod",1995,20910
"cod",1996,24120
"cod",1997,24610
"cod",1998,33440
"cod",1999,34920
"cod",2000,36120
"cod",2001,42050
"cod",2002,44520
"cod",2003,53580
"cod",2004,62190
"cod",2005,65040
"cod",2006,63490
"cod",2007,66100
"ken",1990,6800
"ken",1991,7000
"ken",1992,7700
"ken",1993,10150
"ken",1994,11320
"ken",1995,13930
"ken",1996,16980
"ken",1997,19040
"ken",1998,24030
"ken",1999,27200
"ken",2000,28770
"ken",2001,31310
"ken",2002,34340
"ken",2003,38160
"ken",2004,41170
"ken",2005,40390
"ken",2006,39150
"ken",2007,38360
"rwa",1995,1840
"rwa",1996,2034
"rwa",1997,2820
"rwa",1998,4417
"rwa",1999,4298
"rwa",2000,3681
"rwa",2001,3252
"rwa",2002,3956
"rwa",2003,4627
"rwa",2004,4179
"rwa",2005,4166
"rwa",2006,4220
"rwa",2007,4053
"tza",1990,11550
"tza",1991,12010
"tza",1992,13510
"tza",1993,15570
"tza",1994,17160
"tza",1995,19960
"tza",1996,21470
"tza",1997,22010
"tza",1998,23730
"tza",1999,24120
"tza",2000,24050
"tza",2001,24680
"tza",2002,24140
"tza",2003,24900
"tza",2004,25820
"tza",2005,25260
"tza",2006,24720
"tza",2007,24520
"uga",1993,11950
"uga",1994,14760
"uga",1995,13630
"uga",1996,15310
"uga",1997,17250
"uga",1998,18220
"uga",1999,18460
"uga",2000,17250
"uga",2001,17290
"uga",2002,19090
"uga",2003,20310
"uga",2004,20990
"uga",2005,20560
"uga",2006,20360
"uga",2007,21300
