"geo","time","infectious_tb_treatment_dots_completed_percent"
"bdi",1994,44
"bdi",1995,45
"bdi",1997,67
"bdi",1998,74
"bdi",2000,80
"bdi",2001,80
"bdi",2002,79
"bdi",2003,79
"bdi",2004,78
"bdi",2005,79
"bdi",2006,83
"cod",1994,71
"cod",1995,80
"cod",1996,48
"cod",1997,64
"cod",1998,70
"cod",1999,69
"cod",2000,78
"cod",2001,77
"cod",2002,78
"cod",2003,83
"cod",2004,85
"cod",2005,85
"cod",2006,86
"ken",1994,73
"ken",1995,75
"ken",1996,77
"ken",1997,65
"ken",1998,77
"ken",1999,78
"ken",2000,80
"ken",2001,80
"ken",2002,79
"ken",2003,80
"ken",2004,80
"ken",2005,82
"ken",2006,85
"rwa",1996,61
"rwa",1997,68
"rwa",1998,72
"rwa",1999,67
"rwa",2000,61
"rwa",2002,58
"rwa",2003,67
"rwa",2004,77
"rwa",2005,83
"rwa",2006,86
"tza",1994,80
"tza",1995,73
"tza",1996,76
"tza",1997,77
"tza",1998,76
"tza",1999,78
"tza",2000,78
"tza",2001,81
"tza",2002,80
"tza",2003,81
"tza",2004,81
"tza",2005,82
"tza",2006,85
"uga",1996,33
"uga",1997,40
"uga",1998,62
"uga",1999,61
"uga",2000,63
"uga",2001,56
"uga",2002,60
"uga",2003,68
"uga",2004,70
"uga",2005,73
"uga",2006,70
