"geo","time","inflation_annual_percent"
"bdi",1961,20.07744
"bdi",1962,-3.56742
"bdi",1963,4.68715
"bdi",1964,5.41722
"bdi",1965,-1.02936
"bdi",1966,3.15203
"bdi",1967,-5.31799
"bdi",1968,3.05681
"bdi",1969,5.36188
"bdi",1970,5.18451
"bdi",1971,1.38022
"bdi",1972,4.29081
"bdi",1973,5.51044
"bdi",1974,12.45518
"bdi",1975,21.08691
"bdi",1976,8.07495
"bdi",1977,14.30413
"bdi",1978,12.50771
"bdi",1979,26.13071
"bdi",1980,16.38402
"bdi",1981,-6.06332
"bdi",1982,5.67202
"bdi",1983,6.42855
"bdi",1984,17.21619
"bdi",1985,5.06884
"bdi",1986,-4.25741
"bdi",1987,-3.4178
"bdi",1988,3.49122
"bdi",1989,14.75718
"bdi",1990,5.98556
"bdi",1991,4.09314
"bdi",1992,5.40176
"bdi",1993,7.74265
"bdi",1994,6.63845
"bdi",1995,16.10271
"bdi",1996,14.45311
"bdi",1997,32.39779
"bdi",1998,11.45056
"bdi",1999,14.95414
"bdi",2000,38.94489
"bdi",2001,13.71641
"bdi",2002,1.02786
"bdi",2003,11.94575
"bdi",2004,13.14616
"bdi",2005,18.85693
"bdi",2006,2.84513
"bdi",2007,6.90188
"bdi",2008,23.99094
"bdi",2009,8.24735
"bdi",2010,12.3033
"bdi",2011,14.29434
"bdi",2012,15.4165
"bdi",2013,13.16338
"bdi",2014,8.3034
"bdi",2015,4.85689
"bdi",2016,3.80473
"bdi",2017,20.22556
"cod",1961,6.09948
"cod",1962,21.24077
"cod",1963,87.8492
"cod",1964,3.54798
"cod",1965,38.95212
"cod",1966,4.97382
"cod",1967,58.57441
"cod",1968,59.88278
"cod",1969,17.73106
"cod",1970,-2.83695
"cod",1971,8.2037
"cod",1972,10.1814
"cod",1973,17.88705
"cod",1974,18.23832
"cod",1975,12.26542
"cod",1976,57.39543
"cod",1977,37.27165
"cod",1978,28.4143
"cod",1979,101.77004
"cod",1980,51.40755
"cod",1981,33.23022
"cod",1982,43.48528
"cod",1983,78.21547
"cod",1984,89.60322
"cod",1985,25.81091
"cod",1986,28.45326
"cod",1987,73.7674
"cod",1988,91.58619
"cod",1989,110.26225
"cod",1990,108.95531
"cod",1991,2338.44967
"cod",1992,3855.30764
"cod",1993,1657.64159
"cod",1994,26765.85825
"cod",1995,466.40736
"cod",1996,638.18882
"cod",1997,192.64283
"cod",1998,26.93538
"cod",1999,441.90249
"cod",2000,2630.12267
"cod",2001,73.05971
"cod",2002,31.71946
"cod",2003,13.41545
"cod",2004,6.36546
"cod",2005,29.86955
"cod",2006,13.32523
"cod",2007,20.27146
"cod",2008,20.46532
"cod",2009,32.65793
"cod",2010,20.78633
"cod",2011,13.79166
"cod",2012,5.93999
"cod",2013,2.77129
"cod",2014,0.99363
"cod",2015,-1.1559
"cod",2016,4.34925
"cod",2017,41.68645
"ken",1961,8.66218
"ken",1962,0.01831
"ken",1963,-1.87732
"ken",1964,2.69073
"ken",1965,-2.05197
"ken",1966,1.71379
"ken",1967,2.40081
"ken",1968,1.67884
"ken",1969,-0.17987
"ken",1970,15.31566
"ken",1971,-9.21916
"ken",1972,1.20525
"ken",1973,10.20384
"ken",1974,16.04927
"ken",1975,11.83511
"ken",1976,18.90617
"ken",1977,16.89982
"ken",1978,3.081
"ken",1979,5.63864
"ken",1980,9.55072
"ken",1981,10.85308
"ken",1982,11.59255
"ken",1983,11.83804
"ken",1984,10.19072
"ken",1985,8.30578
"ken",1986,8.71172
"ken",1987,5.40195
"ken",1988,6.45562
"ken",1989,9.76901
"ken",1990,10.6372
"ken",1991,12.53196
"ken",1992,18.89723
"ken",1993,25.69848
"ken",1994,17.01641
"ken",1995,11.22107
"ken",1996,41.98877
"ken",1997,11.43522
"ken",1998,6.9314
"ken",1999,4.19394
"ken",2000,6.07985
"ken",2001,1.57312
"ken",2002,0.93321
"ken",2003,6.19731
"ken",2004,7.12684
"ken",2005,4.89965
"ken",2006,23.53013
"ken",2007,8.12949
"ken",2008,15.15117
"ken",2009,11.6373
"ken",2010,2.09168
"ken",2011,10.79791
"ken",2012,9.2065
"ken",2013,5.33183
"ken",2014,8.06829
"ken",2015,10.02498
"ken",2016,8.13362
"ken",2017,2.70108
"rwa",1961,7.12471
"rwa",1962,-7.97133
"rwa",1963,13.55123
"rwa",1964,16.025
"rwa",1965,6.96386
"rwa",1966,36.85927
"rwa",1967,36.96647
"rwa",1968,0.84849
"rwa",1969,-1.28413
"rwa",1970,9.93641
"rwa",1971,-0.11387
"rwa",1972,1.84633
"rwa",1973,3.91625
"rwa",1974,15.90691
"rwa",1975,87.96915
"rwa",1976,-1.89109
"rwa",1977,13.51147
"rwa",1978,3.66474
"rwa",1979,6.06529
"rwa",1980,3.06478
"rwa",1981,7.7107
"rwa",1982,4.88318
"rwa",1983,2.44921
"rwa",1984,16.85669
"rwa",1985,4.56413
"rwa",1986,-7.02173
"rwa",1987,0.66528
"rwa",1988,2.22538
"rwa",1989,5.29709
"rwa",1990,13.46147
"rwa",1991,14.97894
"rwa",1992,7.28328
"rwa",1993,13.8705
"rwa",1994,17.1913
"rwa",1995,51.26658
"rwa",1996,10.92142
"rwa",1997,15.6215
"rwa",1998,2.2282
"rwa",1999,-6.35094
"rwa",2000,2.78159
"rwa",2001,1.14646
"rwa",2002,-5.03611
"rwa",2003,21.7917
"rwa",2004,13.10062
"rwa",2005,9.13475
"rwa",2006,10.57956
"rwa",2007,11.75587
"rwa",2008,14.28769
"rwa",2009,8.24934
"rwa",2010,2.60657
"rwa",2011,8.35031
"rwa",2012,5.25991
"rwa",2013,4.51439
"rwa",2014,3.05052
"rwa",2015,0.28574
"rwa",2016,5.49538
"rwa",2017,7.31517
"ssd",2012,35.32066
"ssd",2013,2.53761
"ssd",2014,-1.80158
"ssd",2015,0.30342
"ssd",2016,273.35203
"tza",1989,20.60074
"tza",1990,22.44919
"tza",1991,28.1126
"tza",1992,25.37548
"tza",1993,24.46199
"tza",1994,31.16995
"tza",1995,26.86195
"tza",1996,19.31366
"tza",1997,20.58723
"tza",1998,27.33931
"tza",1999,10.90939
"tza",2000,7.57206
"tza",2001,5.30555
"tza",2002,7.09924
"tza",2003,8.44988
"tza",2004,7.02232
"tza",2005,26.46166
"tza",2006,16.47123
"tza",2007,5.93549
"tza",2008,15.93845
"tza",2009,9.26297
"tza",2010,9.24639
"tza",2011,11.54635
"tza",2012,10.74194
"tza",2013,7.6742
"tza",2014,5.03746
"tza",2015,6.55352
"tza",2016,6.15688
"tza",2017,5.07162
"uga",1983,45.94449
"uga",1984,25.27681
"uga",1985,120.33595
"uga",1986,137.28088
"uga",1987,180.98801
"uga",1988,189.97511
"uga",1989,115.44673
"uga",1990,44.38009
"uga",1991,26.01934
"uga",1992,45.06803
"uga",1993,30.13687
"uga",1994,6.8485
"uga",1995,9.37644
"uga",1996,4.57248
"uga",1997,3.09527
"uga",1998,8.78571
"uga",1999,-0.11313
"uga",2000,11.11731
"uga",2001,4.53448
"uga",2002,-3.16956
"uga",2003,7.80674
"uga",2004,15.58755
"uga",2005,-1.74119
"uga",2006,2.40562
"uga",2007,7.32125
"uga",2008,6.36428
"uga",2009,34.02147
"uga",2010,10.56723
"uga",2011,4.63177
"uga",2012,21.52117
"uga",2013,4.02502
"uga",2014,3.40469
"uga",2015,5.00446
"uga",2016,3.52515
"uga",2017,5.98887
