"geo","time","injury_deaths_in_children_1_59_months_total_deaths"
"bdi",1990,1115.36
"bdi",1991,1160.77
"bdi",1992,1092.99
"bdi",1993,5811.66
"bdi",1994,1033.27
"bdi",1995,1262.3
"bdi",1996,1448.02
"bdi",1997,1216.5
"bdi",1998,1139.72
"bdi",1999,1039.44
"bdi",2000,1205.37
"bdi",2001,1045.38
"bdi",2002,1114.13
"bdi",2003,1082.76
"bdi",2004,984.61
"bdi",2005,980.89
"bdi",2006,949.84
"bdi",2007,950.99
"bdi",2008,984.71
"bdi",2009,951.35
"bdi",2010,983.52
"bdi",2011,1070.97
"bdi",2012,1097.52
"bdi",2013,1203.27
"bdi",2014,1313.48
"bdi",2015,1321.41
"bdi",2016,1317.38
"cod",1990,9473.57
"cod",1991,9641.22
"cod",1992,9697.13
"cod",1993,10319.46
"cod",1994,9950.29
"cod",1995,10162.78
"cod",1996,16279.13
"cod",1997,12871.79
"cod",1998,11848.44
"cod",1999,11508.15
"cod",2000,10756.38
"cod",2001,10435.05
"cod",2002,11612.18
"cod",2003,10765.7
"cod",2004,10013.16
"cod",2005,10773.17
"cod",2006,10141.64
"cod",2007,10330.97
"cod",2008,10452.33
"cod",2009,10982.06
"cod",2010,10573.81
"cod",2011,10756.15
"cod",2012,11699.81
"cod",2013,11889.58
"cod",2014,11731.2
"cod",2015,11902.51
"cod",2016,11703.61
"ken",1990,2398.11
"ken",1991,2408.05
"ken",1992,2318.06
"ken",1993,2287.45
"ken",1994,2227.46
"ken",1995,2205.8
"ken",1996,2158.78
"ken",1997,2114.38
"ken",1998,2092.01
"ken",1999,1945.24
"ken",2000,2038.71
"ken",2001,1949.34
"ken",2002,1937.5
"ken",2003,1989.74
"ken",2004,1971.3
"ken",2005,1998.3
"ken",2006,2020.13
"ken",2007,2003.23
"ken",2008,2016.18
"ken",2009,2046.03
"ken",2010,2192.38
"ken",2011,2249.08
"ken",2012,2175.8
"ken",2013,2163.82
"ken",2014,2046.72
"ken",2015,1941.97
"ken",2016,1884.29
"rwa",1990,2060.16
"rwa",1991,1820.94
"rwa",1992,1753.94
"rwa",1993,1662.77
"rwa",1994,96523.93
"rwa",1995,2506.36
"rwa",1996,1340.93
"rwa",1997,2079.18
"rwa",1998,1591.52
"rwa",1999,1368.69
"rwa",2000,1354.92
"rwa",2001,1626.77
"rwa",2002,1338.3
"rwa",2003,1406.46
"rwa",2004,1456.9
"rwa",2005,1438.39
"rwa",2006,1398.37
"rwa",2007,1336.7
"rwa",2008,1246.05
"rwa",2009,1426.52
"rwa",2010,1132.41
"rwa",2011,1076.22
"rwa",2012,1036.9
"rwa",2013,998.02
"rwa",2014,998.33
"rwa",2015,967.3
"rwa",2016,946.07
"ssd",1990,2494.15
"ssd",1991,2383.45
"ssd",1992,2138.86
"ssd",1993,2593.66
"ssd",1994,1510.11
"ssd",1995,1555.04
"ssd",1996,1737.07
"ssd",1997,1833.55
"ssd",1998,1837.82
"ssd",1999,1269.44
"ssd",2000,1517.33
"ssd",2001,1655.14
"ssd",2002,1647.27
"ssd",2003,1221.06
"ssd",2004,1447.25
"ssd",2005,1420.73
"ssd",2006,1512.87
"ssd",2007,1603.31
"ssd",2008,1660.06
"ssd",2009,1989.73
"ssd",2010,1760.36
"ssd",2011,1956.11
"ssd",2012,1901.92
"ssd",2013,2000.43
"ssd",2014,2066.06
"ssd",2015,2273.02
"ssd",2016,1943.36
"tza",1990,5586.13
"tza",1991,5550.38
"tza",1992,5547.94
"tza",1993,5539.58
"tza",1994,5512.71
"tza",1995,5375.96
"tza",1996,5359.93
"tza",1997,5230.94
"tza",1998,5015.15
"tza",1999,4901.68
"tza",2000,4813.99
"tza",2001,4832.16
"tza",2002,4964.39
"tza",2003,5238.4
"tza",2004,5527.03
"tza",2005,5597.96
"tza",2006,5990.71
"tza",2007,6194.25
"tza",2008,6189.28
"tza",2009,6105.69
"tza",2010,5860.45
"tza",2011,5897.53
"tza",2012,5951.79
"tza",2013,5808.91
"tza",2014,5475.46
"tza",2015,5381.55
"tza",2016,5225.25
"uga",1990,3593.63
"uga",1991,3657.4
"uga",1992,3477.89
"uga",1993,3407.25
"uga",1994,3381.37
"uga",1995,3352.34
"uga",1996,3509.66
"uga",1997,3418.24
"uga",1998,3258.26
"uga",1999,3144.9
"uga",2000,3174.74
"uga",2001,3090.57
"uga",2002,3257.66
"uga",2003,3382.9
"uga",2004,3573.68
"uga",2005,3458.02
"uga",2006,3475.18
"uga",2007,3484.1
"uga",2008,3423.6
"uga",2009,3350.39
"uga",2010,3471.3
"uga",2011,3487.05
"uga",2012,3689.12
"uga",2013,4028.83
"uga",2014,4078.37
"uga",2015,3760.41
"uga",2016,3659.29
