"geo","time","internal_renewable_water_cu_meters_per_person"
"bdi",1962,3475
"bdi",1967,3110
"bdi",1972,2836
"bdi",1977,2630
"bdi",1982,2308
"bdi",1987,1969
"bdi",1992,1707
"bdi",1997,1567
"bdi",2002,1405
"bdi",2007,1181
"bdi",2012,993.6
"bdi",2014,899.9
"cod",1962,56106
"cod",1967,48972
"cod",1972,42612
"cod",1977,37124
"cod",1982,32443
"cod",1987,28371
"cod",1992,23820
"cod",1997,20198
"cod",2002,17657
"cod",2007,15041
"cod",2012,12804
"cod",2014,11648
"ken",1962,2399
"ken",1967,2039
"ken",1972,1713
"ken",1977,1425
"ken",1982,1179
"ken",1987,979.2
"ken",1992,827
"ken",1997,717.7
"ken",2002,633.2
"ken",2007,555.7
"ken",2012,486.6
"ken",2014,449.5
"rwa",1962,3114
"rwa",1967,2779
"rwa",1972,2385
"rwa",1977,2044
"rwa",1982,1732
"rwa",1987,1409
"rwa",1992,1415
"rwa",1997,1460
"rwa",2002,1113
"rwa",2007,1002
"rwa",2012,878.2
"rwa",2014,818.3
"ssd",2012,2368
"ssd",2014,2107
"tza",1962,7862
"tza",1967,6771
"tza",1972,5791
"tza",1977,4936
"tza",1982,4222
"tza",1987,3620
"tza",1992,3088
"tza",1997,2664
"tza",2002,2343
"tza",2007,2023
"tza",2012,1727
"tza",2014,1571
"uga",1962,5387
"uga",1967,4545
"uga",1972,3905
"uga",1977,3400
"uga",1982,2928
"uga",1987,2489
"uga",1992,2100
"uga",1997,1799
"uga",2002,1538
"uga",2007,1300
"uga",2012,1102
"uga",2014,999.2
