"geo","time","internet_users"
"bdi",1960,0
"bdi",1965,0
"bdi",1970,0
"bdi",1975,0
"bdi",1976,0
"bdi",1977,0
"bdi",1978,0
"bdi",1979,0
"bdi",1980,0
"bdi",1981,0
"bdi",1982,0
"bdi",1983,0
"bdi",1984,0
"bdi",1985,0
"bdi",1986,0
"bdi",1987,0
"bdi",1988,0
"bdi",1989,0
"bdi",1990,0
"bdi",1991,0
"bdi",1992,0
"bdi",1993,0
"bdi",1994,0
"bdi",1995,0
"bdi",1996,8e-04
"bdi",1997,0.00798
"bdi",1998,0.01584
"bdi",1999,0.0392
"bdi",2000,0.07725
"bdi",2001,0.106
"bdi",2002,0.11823
"bdi",2003,0.20127
"bdi",2004,0.34906
"bdi",2005,0.54214
"bdi",2006,0.65759
"bdi",2007,0.7
"bdi",2008,0.81
"bdi",2009,0.9
"bdi",2010,1
"bdi",2011,1.11
"bdi",2012,1.22
"bdi",2013,1.26422
"bdi",2014,1.38
"bdi",2015,4.86622
"bdi",2016,5.17363
"cod",1990,0
"cod",1996,0.00011
"cod",1997,0.00021
"cod",1998,0.00041
"cod",1999,0.00101
"cod",2000,0.0059
"cod",2001,0.01148
"cod",2002,0.09279
"cod",2003,0.13491
"cod",2004,0.19621
"cod",2005,0.23804
"cod",2006,0.29605
"cod",2007,0.37
"cod",2008,0.44
"cod",2009,0.56
"cod",2010,0.72
"cod",2011,1.2
"cod",2012,1.67996
"cod",2013,2.2
"cod",2014,3
"cod",2015,3.8
"cod",2016,6.20997
"ken",1990,0
"ken",1995,0.00073
"ken",1996,0.00884
"ken",1997,0.03441
"ken",1998,0.05026
"ken",1999,0.11426
"ken",2000,0.31806
"ken",2001,0.61978
"ken",2002,1.20777
"ken",2003,2.9419
"ken",2004,3.02353
"ken",2005,3.1019
"ken",2006,3.6
"ken",2007,4.4
"ken",2008,5.2
"ken",2009,6.1
"ken",2010,7.2
"ken",2011,8.8
"ken",2012,10.5
"ken",2013,13
"ken",2014,16.5
"ken",2015,16.6
"ken",2016,16.6
"rwa",1990,0
"rwa",1996,0.00088
"rwa",1997,0.00163
"rwa",1998,0.01176
"rwa",1999,0.06718
"rwa",2000,0.06283
"rwa",2001,0.24067
"rwa",2002,0.29278
"rwa",2003,0.35692
"rwa",2004,0.43085
"rwa",2005,0.55604
"rwa",2007,2.11539
"rwa",2008,4.5
"rwa",2009,7.7
"rwa",2010,8
"rwa",2011,7
"rwa",2012,8.02385
"rwa",2013,9
"rwa",2014,10.6
"rwa",2015,18
"rwa",2016,20
"ssd",2013,3.82997
"ssd",2014,4.51615
"ssd",2015,5.5
"ssd",2016,6.67973
"tza",1990,0
"tza",1996,0.00162
"tza",1997,0.0079
"tza",1998,0.00924
"tza",1999,0.07513
"tza",2000,0.11719
"tza",2001,0.1713
"tza",2002,0.22248
"tza",2003,0.67696
"tza",2004,0.87757
"tza",2005,1.1
"tza",2006,1.3
"tza",2007,1.6
"tza",2008,1.9
"tza",2009,2.4
"tza",2010,2.9
"tza",2011,3.2
"tza",2012,3.95
"tza",2013,4.4
"tza",2014,7
"tza",2015,10
"tza",2016,13
"uga",1990,0
"uga",1995,0.00286
"uga",1996,0.00463
"uga",1997,0.01032
"uga",1998,0.06529
"uga",1999,0.10554
"uga",2000,0.16371
"uga",2001,0.23795
"uga",2002,0.38409
"uga",2003,0.46485
"uga",2004,0.71997
"uga",2005,1.74221
"uga",2006,2.52936
"uga",2007,3.67197
"uga",2008,7.9
"uga",2009,9.78
"uga",2010,12.5
"uga",2011,13.01354
"uga",2012,14.1
"uga",2013,15.5
"uga",2014,16.9
"uga",2015,17.83486
"uga",2016,21.87617
