"geo","time","investments_percent_of_gdp"
"bdi",1960,6.25
"bdi",1961,6.89655
"bdi",1962,7.37705
"bdi",1963,6.01504
"bdi",1964,5.36913
"bdi",1965,5.76659
"bdi",1966,6.76757
"bdi",1967,6.85148
"bdi",1968,8.18964
"bdi",1969,8.28877
"bdi",1970,4.53079
"bdi",1971,7.60768
"bdi",1972,3.1817
"bdi",1973,5.31182
"bdi",1974,4.0523
"bdi",1975,7.58008
"bdi",1976,9.08842
"bdi",1977,11.19641
"bdi",1978,14.03689
"bdi",1979,14.91622
"bdi",1980,13.88577
"bdi",1981,17.00618
"bdi",1982,14.4574
"bdi",1983,22.8268
"bdi",1984,18.37084
"bdi",1985,13.86113
"bdi",1986,11.64423
"bdi",1987,22.61237
"bdi",1988,15.03514
"bdi",1989,16.46289
"bdi",1990,14.53698
"bdi",1991,14.40976
"bdi",1992,10.6383
"bdi",1993,11.54015
"bdi",1994,6.97413
"bdi",1995,6.36344
"bdi",1996,8.20981
"bdi",1997,6.09685
"bdi",1998,6.77161
"bdi",1999,5.88494
"bdi",2000,2.78114
"bdi",2001,4.46826
"bdi",2002,3.94866
"bdi",2003,7.86879
"bdi",2004,10.3471
"bdi",2005,22.37271
"bdi",2006,21.95542
"bdi",2007,23.60675
"bdi",2008,26.66391
"bdi",2009,23.24776
"bdi",2010,30.51985
"bdi",2011,27.58877
"bdi",2012,28.37305
"bdi",2013,28.74509
"bdi",2014,27.81258
"bdi",2015,16.57762
"bdi",2016,16.87434
"cod",1960,6.93173
"cod",1961,7.14056
"cod",1962,3.96423
"cod",1963,18.05168
"cod",1964,18.50968
"cod",1965,16.86321
"cod",1966,8.32657
"cod",1967,12.01961
"cod",1968,11.24759
"cod",1969,12.8268
"cod",1970,14.92226
"cod",1971,18.39278
"cod",1972,18.64687
"cod",1973,16.72023
"cod",1974,17.09392
"cod",1975,17.82065
"cod",1976,14.47071
"cod",1977,21.39363
"cod",1978,11.93044
"cod",1979,12.7398
"cod",1980,9.95657
"cod",1981,10.50102
"cod",1982,8.31931
"cod",1983,9.32472
"cod",1984,10.49216
"cod",1985,12.50219
"cod",1986,13.19887
"cod",1987,14.16338
"cod",1988,14.42866
"cod",1989,14.30274
"cod",1990,9.05004
"cod",1991,0
"cod",1992,6.77966
"cod",1993,1.74591
"cod",1994,7.90003
"cod",1995,9.3736
"cod",1996,27.85182
"cod",1997,2.5
"cod",1998,2.1
"cod",1999,3.06901
"cod",2000,14.4335
"cod",2001,6.70414
"cod",2002,7.43579
"cod",2003,9.52455
"cod",2004,12.25692
"cod",2005,11.7799
"cod",2006,14.64634
"cod",2007,13.70828
"cod",2008,10.8571
"cod",2009,14.56344
"cod",2010,28.78135
"cod",2011,24.89211
"cod",2012,14.32823
"cod",2013,21.84242
"cod",2014,23.22347
"cod",2015,19.56563
"cod",2016,17.39994
"cod",2017,20.7945
"ken",1964,13.0642
"ken",1965,14.39394
"ken",1966,18.61024
"ken",1967,20.17265
"ken",1968,20.04883
"ken",1969,19.37218
"ken",1970,24.39668
"ken",1971,23.91599
"ken",1972,22.3173
"ken",1973,25.81123
"ken",1974,25.75563
"ken",1975,18.13989
"ken",1976,20.24422
"ken",1977,23.72332
"ken",1978,29.78929
"ken",1979,18.13278
"ken",1980,24.50714
"ken",1981,22.91344
"ken",1982,21.86021
"ken",1983,20.92507
"ken",1984,19.81103
"ken",1985,25.32482
"ken",1986,21.76804
"ken",1987,24.28943
"ken",1988,25.44904
"ken",1989,24.86208
"ken",1990,24.16409
"ken",1991,20.97051
"ken",1992,16.92084
"ken",1993,17.61044
"ken",1994,19.29324
"ken",1995,21.81976
"ken",1996,15.00382
"ken",1997,15.14099
"ken",1998,16.69272
"ken",1999,15.52141
"ken",2000,17.41409
"ken",2001,18.79034
"ken",2002,15.13822
"ken",2003,16.48215
"ken",2004,16.9625
"ken",2005,17.64968
"ken",2006,18.63359
"ken",2007,20.45698
"ken",2008,19.61271
"ken",2009,19.33262
"ken",2010,20.8409
"ken",2011,21.70198
"ken",2012,21.5089
"ken",2013,20.10557
"ken",2014,22.43166
"ken",2015,21.46596
"ken",2016,17.29331
"ken",2017,19.27295
"rwa",1960,6.05042
"rwa",1961,6.55738
"rwa",1962,8
"rwa",1963,7.8125
"rwa",1964,8.30769
"rwa",1965,9.81183
"rwa",1966,9.6641
"rwa",1967,7.3076
"rwa",1968,8.18815
"rwa",1969,6.62427
"rwa",1970,7.04866
