"geo","time","life_expectancy_at_birth_with_projections"
"bdi",1800,31.5
"bdi",1801,31.5
"bdi",1802,31.5
"bdi",1803,31.5
"bdi",1804,31.5
"bdi",1805,31.5
"bdi",1806,31.5
"bdi",1807,31.5
"bdi",1808,31.5
"bdi",1809,31.5
"bdi",1810,31.5
"bdi",1811,31.5
"bdi",1812,31.5
"bdi",1813,31.5
"bdi",1814,31.5
"bdi",1815,31.5
"bdi",1816,31.5
"bdi",1817,31.5
"bdi",1818,31.5
"bdi",1819,31.5
"bdi",1820,31.5
"bdi",1821,31.5
"bdi",1822,31.5
"bdi",1823,31.5
"bdi",1824,31.5
"bdi",1825,31.5
"bdi",1826,31.5
"bdi",1827,31.5
"bdi",1828,31.5
"bdi",1829,31.5
"bdi",1830,31.5
"bdi",1831,31.5
"bdi",1832,31.5
"bdi",1833,31.5
"bdi",1834,31.5
"bdi",1835,31.5
"bdi",1836,31.5
"bdi",1837,31.5
"bdi",1838,31.5
"bdi",1839,31.5
"bdi",1840,31.5
"bdi",1841,31.5
"bdi",1842,31.5
"bdi",1843,31.5
"bdi",1844,31.5
"bdi",1845,31.5
"bdi",1846,31.5
"bdi",1847,31.5
"bdi",1848,31.5
"bdi",1849,31.5
"bdi",1850,31.5
"bdi",1851,31.5
"bdi",1852,31.5
"bdi",1853,31.5
"bdi",1854,31.5
"bdi",1855,31.5
"bdi",1856,31.5
"bdi",1857,31.5
"bdi",1858,31.5
"bdi",1859,31.5
"bdi",1860,31.5
"bdi",1861,31.5
"bdi",1862,31.5
"bdi",1863,31.5
"bdi",1864,31.5
"bdi",1865,31.5
"bdi",1866,31.5
"bdi",1867,31.5
"bdi",1868,31.5
"bdi",1869,31.5
"bdi",1870,31.5
"bdi",1871,31.51
"bdi",1872,31.51
"bdi",1873,31.52
"bdi",1874,31.52
"bdi",1875,31.53
"bdi",1876,31.54
"bdi",1877,31.54
"bdi",1878,31.55
"bdi",1879,31.56
"bdi",1880,31.56
"bdi",1881,31.57
"bdi",1882,31.57
"bdi",1883,31.58
"bdi",1884,31.59
"bdi",1885,31.59
"bdi",1886,31.6
"bdi",1887,31.6
"bdi",1888,31.61
"bdi",1889,31.62
"bdi",1890,31.62
"bdi",1891,31.63
"bdi",1892,31.64
"bdi",1893,31.64
"bdi",1894,31.65
"bdi",1895,31.65
"bdi",1896,31.66
"bdi",1897,31.67
"bdi",1898,31.67
"bdi",1899,31.68
"bdi",1900,31.69
"bdi",1901,31.69
"bdi",1902,31.7
"bdi",1903,31.7
"bdi",1904,31.71
"bdi",1905,31.72
"bdi",1906,31.72
"bdi",1907,31.73
"bdi",1908,31.73
"bdi",1909,31.74
"bdi",1910,31.75
"bdi",1911,31.75
"bdi",1912,31.76
"bdi",1913,31.77
"bdi",1914,31.77
"bdi",1915,31.78
"bdi",1916,31.78
"bdi",1917,31.79
"bdi",1918,12.29
"bdi",1919,31.8
"bdi",1920,31.81
"bdi",1921,28.28
"bdi",1922,24.75
"bdi",1923,31.83
"bdi",1924,31.83
"bdi",1925,28.3
"bdi",1926,26.29
"bdi",1927,24.77
"bdi",1928,26.3
"bdi",1929,26.3
"bdi",1930,31.87
"bdi",1931,31.88
"bdi",1932,31.88
"bdi",1933,31.89
"bdi",1934,31.89
"bdi",1935,31.9
"bdi",1936,31.91
"bdi",1937,31.91
"bdi",1938,31.92
"bdi",1939,31.93
"bdi",1940,31.93
"bdi",1941,31.94
"bdi",1942,31.94
"bdi",1943,30.53
"bdi",1944,17.75
"bdi",1945,31.96
"bdi",1946,33.38
"bdi",1947,34.79
"bdi",1948,36.2
"bdi",1949,37.61
"bdi",1950,39.03
"bdi",1951,39.19
"bdi",1952,39.5
