"geo","time","life_expectancy_female"
"bdi",1950,39.987
"bdi",1951,40.138
"bdi",1952,40.44
"bdi",1953,40.741
"bdi",1954,41.041
"bdi",1955,41.341
"bdi",1956,41.64
"bdi",1957,41.94
"bdi",1958,42.24
"bdi",1959,42.543
"bdi",1960,42.851
"bdi",1961,43.164
"bdi",1962,43.482
"bdi",1963,43.803
"bdi",1964,44.121
"bdi",1965,44.422
"bdi",1966,44.69
"bdi",1967,44.917
"bdi",1968,45.107
"bdi",1969,45.268
"bdi",1970,45.423
"bdi",1971,45.601
"bdi",1972,45.825
"bdi",1973,46.111
"bdi",1974,46.458
"bdi",1975,46.861
"bdi",1976,47.303
"bdi",1977,47.755
"bdi",1978,48.194
"bdi",1979,48.606
"bdi",1980,48.992
"bdi",1981,49.361
"bdi",1982,49.72
"bdi",1983,50.064
"bdi",1984,50.377
"bdi",1985,50.609
"bdi",1986,50.701
"bdi",1987,50.632
"bdi",1988,50.415
"bdi",1989,50.088
"bdi",1990,49.738
"bdi",1991,49.477
"bdi",1992,49.393
"bdi",1993,49.535
"bdi",1994,49.907
"bdi",1995,50.469
"bdi",1996,51.138
"bdi",1997,51.807
"bdi",1998,52.393
"bdi",1999,52.864
"bdi",2000,53.213
"bdi",2001,53.461
"bdi",2002,53.668
"bdi",2003,53.886
"bdi",2004,54.134
"bdi",2005,54.433
"bdi",2006,54.795
"bdi",2007,55.211
"bdi",2008,55.671
"bdi",2009,56.167
"bdi",2010,56.685
"bdi",2011,57.208
"bdi",2012,57.72
"bdi",2013,58.208
"bdi",2014,58.666
"bdi",2015,59.092
"bdi",2016,59.492
"bdi",2017,59.879
"bdi",2018,60.262
"bdi",2019,60.645
"bdi",2020,61.03
"bdi",2021,61.416
"bdi",2022,61.801
"bdi",2023,62.181
"bdi",2024,62.557
"bdi",2025,62.928
"bdi",2026,63.294
"bdi",2027,63.656
"bdi",2028,64.014
"bdi",2029,64.367
"bdi",2030,64.716
"bdi",2031,65.059
"bdi",2032,65.396
"bdi",2033,65.727
"bdi",2034,66.052
"bdi",2035,66.371
"bdi",2036,66.685
"bdi",2037,66.994
"bdi",2038,67.299
"bdi",2039,67.6
"bdi",2040,67.896
"bdi",2041,68.187
"bdi",2042,68.472
"bdi",2043,68.751
"bdi",2044,69.024
"bdi",2045,69.291
"bdi",2046,69.553
"bdi",2047,69.808
"bdi",2048,70.059
"bdi",2049,70.305
"bdi",2050,70.547
"bdi",2051,70.785
"bdi",2052,71.02
"bdi",2053,71.251
"bdi",2054,71.478
"bdi",2055,71.702
"bdi",2056,71.921
"bdi",2057,72.134
"bdi",2058,72.343
"bdi",2059,72.548
"bdi",2060,72.748
"bdi",2061,72.945
"bdi",2062,73.14
"bdi",2063,73.333
"bdi",2064,73.525
"bdi",2065,73.715
"bdi",2066,73.903
"bdi",2067,74.088
"bdi",2068,74.269
"bdi",2069,74.448
"bdi",2070,74.624
"bdi",2071,74.797
"bdi",2072,74.969
"bdi",2073,75.14
"bdi",2074,75.309
"bdi",2075,75.477
"bdi",2076,75.644
"bdi",2077,75.808
"bdi",2078,75.97
"bdi",2079,76.129
"bdi",2080,76.286
"bdi",2081,76.442
"bdi",2082,76.596
"bdi",2083,76.75
"bdi",2084,76.903
"bdi",2085,77.055
"bdi",2086,77.206
"bdi",2087,77.356
"bdi",2088,77.505
"bdi",2089,77.651
"bdi",2090,77.796
"bdi",2091,77.94
"bdi",2092,78.081
"bdi",2093,78.221
"bdi",2094,78.36
"bdi",2095,78.496
"bdi",2096,78.631
"bdi",2097,78.765
"bdi",2098,78.897
"bdi",2099,79.028
"cod",1950,39.712
"cod",1951,39.9
"cod",1952,40.264
"cod",1953,40.608
"cod",1954,40.929
"cod",1955,41.23
"cod",1956,41.51
"cod",1957,41.771
"cod",1958,42.015
"cod",1959,42.244
"cod",1960,42.465
"cod",1961,42.681
"cod",1962,42.9
"cod",1963,43.127
