"geo","time","life_expectancy_male"
"bdi",1950,36.856
"bdi",1951,37.008
"bdi",1952,37.311
"bdi",1953,37.612
"bdi",1954,37.911
"bdi",1955,38.209
"bdi",1956,38.506
"bdi",1957,38.802
"bdi",1958,39.098
"bdi",1959,39.396
"bdi",1960,39.698
"bdi",1961,40.004
"bdi",1962,40.316
"bdi",1963,40.63
"bdi",1964,40.941
"bdi",1965,41.236
"bdi",1966,41.498
"bdi",1967,41.721
"bdi",1968,41.907
"bdi",1969,42.065
"bdi",1970,42.219
"bdi",1971,42.397
"bdi",1972,42.623
"bdi",1973,42.91
"bdi",1974,43.257
"bdi",1975,43.655
"bdi",1976,44.082
"bdi",1977,44.509
"bdi",1978,44.912
"bdi",1979,45.28
"bdi",1980,45.615
"bdi",1981,45.932
"bdi",1982,46.243
"bdi",1983,46.548
"bdi",1984,46.834
"bdi",1985,47.056
"bdi",1986,47.155
"bdi",1987,47.11
"bdi",1988,46.929
"bdi",1989,46.646
"bdi",1990,46.345
"bdi",1991,46.13
"bdi",1992,46.085
"bdi",1993,46.254
"bdi",1994,46.642
"bdi",1995,47.205
"bdi",1996,47.862
"bdi",1997,48.511
"bdi",1998,49.073
"bdi",1999,49.518
"bdi",2000,49.845
"bdi",2001,50.079
"bdi",2002,50.281
"bdi",2003,50.501
"bdi",2004,50.756
"bdi",2005,51.06
"bdi",2006,51.415
"bdi",2007,51.805
"bdi",2008,52.217
"bdi",2009,52.643
"bdi",2010,53.077
"bdi",2011,53.511
"bdi",2012,53.938
"bdi",2013,54.355
"bdi",2014,54.756
"bdi",2015,55.143
"bdi",2016,55.517
"bdi",2017,55.883
"bdi",2018,56.246
"bdi",2019,56.607
"bdi",2020,56.966
"bdi",2021,57.323
"bdi",2022,57.676
"bdi",2023,58.025
"bdi",2024,58.369
"bdi",2025,58.708
"bdi",2026,59.043
"bdi",2027,59.374
"bdi",2028,59.701
"bdi",2029,60.024
"bdi",2030,60.342
"bdi",2031,60.655
"bdi",2032,60.96
"bdi",2033,61.259
"bdi",2034,61.55
"bdi",2035,61.834
"bdi",2036,62.111
"bdi",2037,62.383
"bdi",2038,62.651
"bdi",2039,62.913
"bdi",2040,63.171
"bdi",2041,63.424
"bdi",2042,63.671
"bdi",2043,63.913
"bdi",2044,64.149
"bdi",2045,64.38
"bdi",2046,64.606
"bdi",2047,64.827
"bdi",2048,65.044
"bdi",2049,65.257
"bdi",2050,65.465
"bdi",2051,65.667
"bdi",2052,65.864
"bdi",2053,66.054
"bdi",2054,66.24
"bdi",2055,66.42
"bdi",2056,66.597
"bdi",2057,66.77
"bdi",2058,66.942
"bdi",2059,67.112
"bdi",2060,67.28
"bdi",2061,67.446
