"geo","time","liver_cancer_deaths_per_100000_men"
"bdi",1990,11.11
"bdi",1991,11.11
"bdi",1992,11.09
"bdi",1993,11.04
"bdi",1994,10.94
"bdi",1995,10.82
"bdi",1996,10.66
"bdi",1997,10.48
"bdi",1998,10.33
"bdi",1999,10.04
"bdi",2000,9.93
"bdi",2001,9.71
"bdi",2002,9.66
"bdi",2003,9.63
"bdi",2004,9.72
"bdi",2005,9.79
"bdi",2006,9.91
"bdi",2007,9.99
"bdi",2008,10.05
"bdi",2009,10.06
"bdi",2010,10.18
"bdi",2011,10.3
"bdi",2012,10.37
"bdi",2013,10.38
"bdi",2014,10.39
"bdi",2015,10.35
"bdi",2016,10.3
"cod",1990,18.28
"cod",1991,18.3
"cod",1992,18.21
"cod",1993,17.96
"cod",1994,17.76
"cod",1995,17.74
"cod",1996,17.65
"cod",1997,17.28
"cod",1998,17.14
"cod",1999,16.8
"cod",2000,16.36
"cod",2001,16.18
"cod",2002,15.91
"cod",2003,15.89
"cod",2004,15.67
"cod",2005,15.53
"cod",2006,15.49
"cod",2007,15.45
"cod",2008,15.59
"cod",2009,15.64
"cod",2010,15.63
"cod",2011,15.72
"cod",2012,15.87
"cod",2013,15.94
"cod",2014,16.07
"cod",2015,16.21
"cod",2016,16.31
"ken",1990,5.08
"ken",1991,5.17
"ken",1992,5.28
"ken",1993,5.35
"ken",1994,5.39
"ken",1995,5.4
"ken",1996,5.42
"ken",1997,5.41
"ken",1998,5.48
"ken",1999,5.43
"ken",2000,5.49
"ken",2001,5.41
"ken",2002,5.5
"ken",2003,5.54
"ken",2004,5.55
"ken",2005,5.55
"ken",2006,5.61
"ken",2007,5.68
"ken",2008,5.73
"ken",2009,5.79
"ken",2010,5.87
"ken",2011,5.97
"ken",2012,6.04
"ken",2013,6.08
"ken",2014,6.14
"ken",2015,6.19
"ken",2016,6.27
"rwa",1990,10.1
"rwa",1991,10.14
"rwa",1992,10.06
"rwa",1993,9.91
"rwa",1994,9.73
"rwa",1995,9.57
"rwa",1996,9.53
"rwa",1997,9.57
"rwa",1998,9.65
"rwa",1999,9.64
"rwa",2000,9.7
"rwa",2001,9.82
"rwa",2002,10.04
"rwa",2003,10.26
"rwa",2004,10.53
"rwa",2005,10.73
"rwa",2006,11.01
"rwa",2007,11.17
"rwa",2008,11.26
"rwa",2009,11.36
"rwa",2010,11.41
"rwa",2011,11.47
"rwa",2012,11.52
"rwa",2013,11.56
"rwa",2014,11.59
"rwa",2015,11.62
"rwa",2016,11.63
"ssd",1990,8.27
"ssd",1991,8.25
"ssd",1992,8.42
"ssd",1993,8.63
"ssd",1994,8.79
"ssd",1995,8.91
"ssd",1996,9
"ssd",1997,8.85
"ssd",1998,8.88
"ssd",1999,8.79
"ssd",2000,8.68
"ssd",2001,8.4
"ssd",2002,8.23
"ssd",2003,8.27
"ssd",2004,8.41
"ssd",2005,8.53
"ssd",2006,8.73
"ssd",2007,8.82
"ssd",2008,8.78
"ssd",2009,8.71
"ssd",2010,8.57
"ssd",2011,8.47
"ssd",2012,8.56
"ssd",2013,8.63
"ssd",2014,8.71
"ssd",2015,8.76
"ssd",2016,8.82
"tza",1990,11.3
"tza",1991,11.19
"tza",1992,11.11
"tza",1993,11.01
"tza",1994,10.96
"tza",1995,10.78
"tza",1996,10.7
"tza",1997,10.6
"tza",1998,10.5
"tza",1999,10.37
"tza",2000,10.22
"tza",2001,10.09
"tza",2002,10.05
"tza",2003,10.08
"tza",2004,10.14
"tza",2005,10.22
"tza",2006,10.27
"tza",2007,10.25
"tza",2008,10.25
"tza",2009,10.25
"tza",2010,10.25
"tza",2011,10.28
"tza",2012,10.3
"tza",2013,10.4
"tza",2014,10.42
"tza",2015,10.47
"tza",2016,10.49
"uga",1990,14.04
"uga",1991,14.28
"uga",1992,14.35
"uga",1993,14.11
"uga",1994,14.41
"uga",1995,13.64
"uga",1996,12.72
"uga",1997,11.68
"uga",1998,12.07
"uga",1999,11.53
"uga",2000,11.81
"uga",2001,11.96
"uga",2002,12.28
"uga",2003,12.84
"uga",2004,13.38
"uga",2005,13.63
"uga",2006,14.1
"uga",2007,14.5
"uga",2008,14.35
"uga",2009,14.35
"uga",2010,14.32
"uga",2011,14.15
"uga",2012,13.91
"uga",2013,13.62
"uga",2014,13.73
"uga",2015,13.7
"uga",2016,13.68
