"geo","time","liver_cancer_deaths_per_100000_women"
"bdi",1990,8.54
"bdi",1991,8.47
"bdi",1992,8.44
"bdi",1993,8.41
"bdi",1994,8.4
"bdi",1995,8.39
"bdi",1996,8.4
"bdi",1997,8.26
"bdi",1998,8.13
"bdi",1999,7.94
"bdi",2000,7.8
"bdi",2001,7.59
"bdi",2002,7.45
"bdi",2003,7.36
"bdi",2004,7.34
"bdi",2005,7.29
"bdi",2006,7.25
"bdi",2007,7.16
"bdi",2008,7.12
"bdi",2009,7.09
"bdi",2010,7.13
"bdi",2011,7.18
"bdi",2012,7.19
"bdi",2013,7.19
"bdi",2014,7.19
"bdi",2015,7.17
"bdi",2016,7.14
"cod",1990,7.84
"cod",1991,7.87
"cod",1992,7.85
"cod",1993,7.76
"cod",1994,7.74
"cod",1995,7.79
"cod",1996,8.03
"cod",1997,7.62
"cod",1998,7.63
"cod",1999,7.42
"cod",2000,7.3
"cod",2001,7.38
"cod",2002,7.27
"cod",2003,7.3
"cod",2004,7.18
"cod",2005,7.08
"cod",2006,7.08
"cod",2007,7.1
"cod",2008,7.12
"cod",2009,7.08
"cod",2010,7.02
"cod",2011,7.02
"cod",2012,7.05
"cod",2013,7.02
"cod",2014,7.01
"cod",2015,7.02
"cod",2016,7.01
"ken",1990,3.25
"ken",1991,3.27
"ken",1992,3.33
"ken",1993,3.36
"ken",1994,3.41
"ken",1995,3.42
"ken",1996,3.39
"ken",1997,3.45
"ken",1998,3.47
"ken",1999,3.44
"ken",2000,3.49
"ken",2001,3.25
"ken",2002,3.51
"ken",2003,3.52
"ken",2004,3.48
"ken",2005,3.43
"ken",2006,3.39
"ken",2007,3.39
"ken",2008,3.39
"ken",2009,3.39
"ken",2010,3.4
"ken",2011,3.44
"ken",2012,3.45
"ken",2013,3.46
"ken",2014,3.48
"ken",2015,3.49
"ken",2016,3.55
"rwa",1990,7.57
"rwa",1991,7.69
"rwa",1992,7.54
"rwa",1993,7.42
"rwa",1994,7.36
"rwa",1995,7.3
"rwa",1996,7.3
"rwa",1997,7.28
"rwa",1998,7.32
"rwa",1999,7.32
"rwa",2000,7.23
"rwa",2001,7.12
"rwa",2002,7.01
"rwa",2003,6.95
"rwa",2004,6.89
"rwa",2005,6.82
"rwa",2006,6.87
"rwa",2007,6.87
"rwa",2008,6.92
"rwa",2009,7
"rwa",2010,7.09
"rwa",2011,7.14
"rwa",2012,7.16
"rwa",2013,7.24
"rwa",2014,7.29
"rwa",2015,7.34
"rwa",2016,7.38
"ssd",1990,5.41
"ssd",1991,5.44
"ssd",1992,5.57
"ssd",1993,5.71
"ssd",1994,5.85
"ssd",1995,5.95
"ssd",1996,6.04
"ssd",1997,5.98
"ssd",1998,6.04
"ssd",1999,6.06
"ssd",2000,6.04
"ssd",2001,5.89
"ssd",2002,5.79
"ssd",2003,5.84
"ssd",2004,5.93
"ssd",2005,6
"ssd",2006,6.12
"ssd",2007,6.18
"ssd",2008,6.16
"ssd",2009,6.15
"ssd",2010,6.09
"ssd",2011,6.06
"ssd",2012,6.15
"ssd",2013,6.21
"ssd",2014,6.29
"ssd",2015,6.35
"ssd",2016,6.41
"tza",1990,8.11
"tza",1991,8.07
"tza",1992,8.13
"tza",1993,8.17
"tza",1994,8.27
"tza",1995,8.3
"tza",1996,8.3
"tza",1997,8.38
"tza",1998,8.5
"tza",1999,8.43
"tza",2000,8.3
"tza",2001,8.08
"tza",2002,7.93
"tza",2003,8
"tza",2004,7.96
"tza",2005,7.95
"tza",2006,7.97
"tza",2007,8.01
"tza",2008,8.01
"tza",2009,8.05
"tza",2010,8.04
"tza",2011,8.09
"tza",2012,8.13
"tza",2013,8.27
"tza",2014,8.33
"tza",2015,8.39
"tza",2016,8.4
"uga",1990,7.93
"uga",1991,8.06
"uga",1992,8.06
"uga",1993,8.31
"uga",1994,8.54
"uga",1995,8.33
"uga",1996,7.99
"uga",1997,7.92
"uga",1998,8
"uga",1999,7.86
"uga",2000,7.85
"uga",2001,7.81
"uga",2002,8.28
"uga",2003,8.55
"uga",2004,9.04
"uga",2005,9.32
"uga",2006,9.69
"uga",2007,9.69
"uga",2008,9.57
"uga",2009,9.44
"uga",2010,9.19
"uga",2011,9.28
"uga",2012,9.23
"uga",2013,9.15
"uga",2014,9.17
"uga",2015,9.1
"uga",2016,9.07
