"geo","time","liver_cancer_new_cases_per_100000_men"
"bdi",1990,10.01
"bdi",1991,9.98
"bdi",1992,9.96
"bdi",1993,9.94
"bdi",1994,9.92
"bdi",1995,9.92
"bdi",1996,9.8
"bdi",1997,9.69
"bdi",1998,9.58
"bdi",1999,9.48
"bdi",2000,9.38
"bdi",2001,9.25
"bdi",2002,9.13
"bdi",2003,9.02
"bdi",2004,8.9
"bdi",2005,8.79
"bdi",2006,8.76
"bdi",2007,8.72
"bdi",2008,8.68
"bdi",2009,8.65
"bdi",2010,8.62
"bdi",2011,8.6
"bdi",2012,8.59
"bdi",2013,8.58
"bdi",2014,8.57
"bdi",2015,8.56
"bdi",2016,8.56
"cod",1990,16.86
"cod",1991,16.77
"cod",1992,16.68
"cod",1993,16.6
"cod",1994,16.52
"cod",1995,16.45
"cod",1996,16.23
"cod",1997,16.02
"cod",1998,15.82
"cod",1999,15.62
"cod",2000,15.43
"cod",2001,15.2
"cod",2002,14.99
"cod",2003,14.78
"cod",2004,14.58
"cod",2005,14.39
"cod",2006,14.33
"cod",2007,14.26
"cod",2008,14.2
"cod",2009,14.14
"cod",2010,14.09
"cod",2011,14.07
"cod",2012,14.05
"cod",2013,14.04
"cod",2014,14.02
"cod",2015,14
"cod",2016,14
"ken",1990,5.56
"ken",1991,5.55
"ken",1992,5.55
"ken",1993,5.55
"ken",1994,5.55
"ken",1995,5.56
"ken",1996,5.55
"ken",1997,5.54
"ken",1998,5.53
"ken",1999,5.52
"ken",2000,5.52
"ken",2001,5.52
"ken",2002,5.52
"ken",2003,5.53
"ken",2004,5.53
"ken",2005,5.54
"ken",2006,5.57
"ken",2007,5.59
"ken",2008,5.62
"ken",2009,5.65
"ken",2010,5.69
"ken",2011,5.7
"ken",2012,5.72
"ken",2013,5.73
"ken",2014,5.75
"ken",2015,5.76
"ken",2016,5.78
"rwa",1990,9.95
"rwa",1991,9.9
"rwa",1992,9.86
"rwa",1993,9.82
"rwa",1994,9.78
"rwa",1995,9.75
"rwa",1996,9.61
"rwa",1997,9.48
"rwa",1998,9.35
"rwa",1999,9.23
"rwa",2000,9.11
"rwa",2001,9.04
"rwa",2002,8.98
"rwa",2003,8.92
"rwa",2004,8.86
"rwa",2005,8.81
"rwa",2006,8.81
"rwa",2007,8.8
"rwa",2008,8.8
"rwa",2009,8.8
"rwa",2010,8.81
"rwa",2011,8.82
"rwa",2012,8.84
"rwa",2013,8.87
"rwa",2014,8.89
"rwa",2015,8.91
"rwa",2016,8.94
"ssd",1990,8.28
"ssd",1991,8.25
"ssd",1992,8.22
"ssd",1993,8.2
"ssd",1994,8.18
"ssd",1995,8.16
"ssd",1996,8.12
"ssd",1997,8.09
"ssd",1998,8.06
"ssd",1999,8.02
"ssd",2000,8
"ssd",2001,7.97
"ssd",2002,7.95
"ssd",2003,7.93
"ssd",2004,7.91
"ssd",2005,7.9
"ssd",2006,7.89
"ssd",2007,7.87
"ssd",2008,7.86
"ssd",2009,7.85
"ssd",2010,7.84
"ssd",2011,7.84
"ssd",2012,7.84
"ssd",2013,7.84
"ssd",2014,7.85
"ssd",2015,7.85
"ssd",2016,7.86
"tza",1990,8.81
"tza",1991,8.73
"tza",1992,8.65
"tza",1993,8.57
"tza",1994,8.49
"tza",1995,8.42
"tza",1996,8.31
"tza",1997,8.22
"tza",1998,8.12
"tza",1999,8.03
"tza",2000,7.95
"tza",2001,7.91
"tza",2002,7.87
"tza",2003,7.84
"tza",2004,7.8
"tza",2005,7.78
"tza",2006,7.75
"tza",2007,7.71
"tza",2008,7.69
"tza",2009,7.66
"tza",2010,7.64
"tza",2011,7.62
"tza",2012,7.61
"tza",2013,7.6
"tza",2014,7.59
"tza",2015,7.58
"tza",2016,7.58
"uga",1990,12.04
"uga",1991,11.97
"uga",1992,11.91
"uga",1993,11.85
"uga",1994,11.8
"uga",1995,11.74
"uga",1996,11.44
"uga",1997,11.15
"uga",1998,10.87
"uga",1999,10.59
"uga",2000,10.33
"uga",2001,10.6
"uga",2002,10.88
"uga",2003,11.17
"uga",2004,11.47
"uga",2005,11.79
"uga",2006,11.77
"uga",2007,11.75
"uga",2008,11.74
"uga",2009,11.73
"uga",2010,11.72
"uga",2011,11.54
"uga",2012,11.37
"uga",2013,11.2
"uga",2014,11.04
"uga",2015,10.87
"uga",2016,10.72
