"geo","time","liver_cancer_new_cases_per_100000_women"
"bdi",1990,7.96
"bdi",1991,7.94
"bdi",1992,7.93
"bdi",1993,7.93
"bdi",1994,7.92
"bdi",1995,7.93
"bdi",1996,7.84
"bdi",1997,7.76
"bdi",1998,7.68
"bdi",1999,7.6
"bdi",2000,7.54
"bdi",2001,7.39
"bdi",2002,7.25
"bdi",2003,7.12
"bdi",2004,6.99
"bdi",2005,6.87
"bdi",2006,6.78
"bdi",2007,6.69
"bdi",2008,6.6
"bdi",2009,6.52
"bdi",2010,6.44
"bdi",2011,6.42
"bdi",2012,6.41
"bdi",2013,6.39
"bdi",2014,6.38
"bdi",2015,6.37
"bdi",2016,6.36
"cod",1990,7.08
"cod",1991,7.05
"cod",1992,7.04
"cod",1993,7.02
"cod",1994,7
"cod",1995,6.99
"cod",1996,6.91
"cod",1997,6.83
"cod",1998,6.76
"cod",1999,6.68
"cod",2000,6.61
"cod",2001,6.52
"cod",2002,6.44
"cod",2003,6.36
"cod",2004,6.28
"cod",2005,6.2
"cod",2006,6.17
"cod",2007,6.13
"cod",2008,6.1
"cod",2009,6.07
"cod",2010,6.04
"cod",2011,5.99
"cod",2012,5.94
"cod",2013,5.89
"cod",2014,5.85
"cod",2015,5.8
"cod",2016,5.76
"ken",1990,3.73
"ken",1991,3.72
"ken",1992,3.71
"ken",1993,3.7
"ken",1994,3.69
"ken",1995,3.68
"ken",1996,3.69
"ken",1997,3.7
"ken",1998,3.71
"ken",1999,3.72
"ken",2000,3.73
"ken",2001,3.73
"ken",2002,3.72
"ken",2003,3.72
"ken",2004,3.72
"ken",2005,3.72
"ken",2006,3.71
"ken",2007,3.7
"ken",2008,3.69
"ken",2009,3.68
"ken",2010,3.67
"ken",2011,3.67
"ken",2012,3.66
"ken",2013,3.66
"ken",2014,3.66
"ken",2015,3.66
"ken",2016,3.66
"rwa",1990,7.34
"rwa",1991,7.34
"rwa",1992,7.35
"rwa",1993,7.36
"rwa",1994,7.38
"rwa",1995,7.4
"rwa",1996,7.26
"rwa",1997,7.14
"rwa",1998,7.02
"rwa",1999,6.9
"rwa",2000,6.79
"rwa",2001,6.62
"rwa",2002,6.45
"rwa",2003,6.29
"rwa",2004,6.14
"rwa",2005,5.99
"rwa",2006,5.98
"rwa",2007,5.96
"rwa",2008,5.95
"rwa",2009,5.94
"rwa",2010,5.94
"rwa",2011,5.95
"rwa",2012,5.98
"rwa",2013,6
"rwa",2014,6.02
"rwa",2015,6.05
"rwa",2016,6.07
"ssd",1990,5.74
"ssd",1991,5.75
"ssd",1992,5.77
"ssd",1993,5.78
"ssd",1994,5.8
"ssd",1995,5.82
"ssd",1996,5.83
"ssd",1997,5.85
"ssd",1998,5.86
"ssd",1999,5.88
"ssd",2000,5.9
"ssd",2001,5.9
"ssd",2002,5.9
"ssd",2003,5.91
"ssd",2004,5.92
"ssd",2005,5.93
"ssd",2006,5.93
"ssd",2007,5.93
"ssd",2008,5.94
"ssd",2009,5.94
"ssd",2010,5.95
"ssd",2011,5.96
"ssd",2012,5.98
"ssd",2013,6
"ssd",2014,6.01
"ssd",2015,6.03
"ssd",2016,6.05
"tza",1990,6.31
"tza",1991,6.31
"tza",1992,6.32
"tza",1993,6.33
"tza",1994,6.33
"tza",1995,6.35
"tza",1996,6.35
"tza",1997,6.36
"tza",1998,6.37
"tza",1999,6.37
"tza",2000,6.39
"tza",2001,6.36
"tza",2002,6.34
"tza",2003,6.32
"tza",2004,6.3
"tza",2005,6.29
"tza",2006,6.29
"tza",2007,6.29
"tza",2008,6.3
"tza",2009,6.31
"tza",2010,6.32
"tza",2011,6.32
"tza",2012,6.33
"tza",2013,6.33
"tza",2014,6.34
"tza",2015,6.34
"tza",2016,6.36
"uga",1990,7.09
"uga",1991,7.17
"uga",1992,7.25
"uga",1993,7.33
"uga",1994,7.41
"uga",1995,7.5
"uga",1996,7.48
"uga",1997,7.46
"uga",1998,7.45
"uga",1999,7.43
"uga",2000,7.42
"uga",2001,7.7
"uga",2002,7.99
"uga",2003,8.29
"uga",2004,8.61
"uga",2005,8.94
"uga",2006,8.84
"uga",2007,8.75
"uga",2008,8.66
"uga",2009,8.57
"uga",2010,8.48
"uga",2011,8.39
"uga",2012,8.3
"uga",2013,8.22
"uga",2014,8.13
"uga",2015,8.05
"uga",2016,7.98
