"geo","time","liver_cancer_number_of_female_deaths"
"bdi",1990,103.39
"bdi",1991,104.17
"bdi",1992,105.42
"bdi",1993,106.61
"bdi",1994,108.07
"bdi",1995,109.51
"bdi",1996,110.45
"bdi",1997,108.97
"bdi",1998,107.82
"bdi",1999,106.15
"bdi",2000,105.57
"bdi",2001,104.39
"bdi",2002,104.95
"bdi",2003,106.84
"bdi",2004,110.01
"bdi",2005,113.03
"bdi",2006,115.85
"bdi",2007,118.2
"bdi",2008,121.52
"bdi",2009,125.32
"bdi",2010,130.9
"bdi",2011,136.09
"bdi",2012,141.12
"bdi",2013,145.89
"bdi",2014,151.25
"bdi",2015,156.48
"bdi",2016,161.81
"cod",1990,562.06
"cod",1991,582.52
"cod",1992,599.83
"cod",1993,613.12
"cod",1994,631.45
"cod",1995,656.82
"cod",1996,695.05
"cod",1997,669.96
"cod",1998,685.01
"cod",1999,682.11
"cod",2000,687.8
"cod",2001,711.96
"cod",2002,719.63
"cod",2003,743.54
"cod",2004,751.85
"cod",2005,762.63
"cod",2006,784.28
"cod",2007,808.22
"cod",2008,834.58
"cod",2009,856.69
"cod",2010,876.41
"cod",2011,900.84
"cod",2012,932.49
"cod",2013,955.83
"cod",2014,984.98
"cod",2015,1017.93
"cod",2016,1050.13
"ken",1990,127.92
"ken",1991,132.68
"ken",1992,139.29
"ken",1993,145.49
"ken",1994,153.05
"ken",1995,158.88
"ken",1996,162.72
"ken",1997,170.85
"ken",1998,177.22
"ken",1999,181.03
"ken",2000,189.59
"ken",2001,181.61
"ken",2002,201.58
"ken",2003,208.45
"ken",2004,212.71
"ken",2005,216.14
"ken",2006,219.15
"ken",2007,225.44
"ken",2008,233.16
"ken",2009,241.12
"ken",2010,250.97
"ken",2011,263
"ken",2012,273.66
"ken",2013,285.55
"ken",2014,299.23
"ken",2015,313.52
"ken",2016,330.01
"rwa",1990,98.82
"rwa",1991,97.94
"rwa",1992,92.34
"rwa",1993,87.08
"rwa",1994,84.15
"rwa",1995,83.02
"rwa",1996,88.02
"rwa",1997,94.41
"rwa",1998,104.07
"rwa",1999,112.7
"rwa",2000,118.43
"rwa",2001,120.81
"rwa",2002,122.61
"rwa",2003,123.73
"rwa",2004,125.56
"rwa",2005,127.94
"rwa",2006,133.65
"rwa",2007,138.67
"rwa",2008,144.92
"rwa",2009,152.25
"rwa",2010,160.07
"rwa",2011,166.74
"rwa",2012,173.15
"rwa",2013,182.23
"rwa",2014,191.49
"rwa",2015,201.1
"rwa",2016,210.29
"ssd",1990,68.47
"ssd",1991,68.18
"ssd",1992,68.73
"ssd",1993,69.25
"ssd",1994,70.16
"ssd",1995,71.54
"ssd",1996,73.99
"ssd",1997,75.49
"ssd",1998,80
"ssd",1999,84.41
"ssd",2000,88.29
"ssd",2001,89.15
"ssd",2002,90.92
"ssd",2003,95.68
"ssd",2004,101.29
"ssd",2005,107.02
"ssd",2006,113.89
"ssd",2007,120.16
"ssd",2008,125.43
"ssd",2009,131.39
"ssd",2010,136.68
"ssd",2011,141.93
"ssd",2012,150.37
"ssd",2013,158.81
"ssd",2014,167.77
"ssd",2015,176.39
"ssd",2016,184.12
"tza",1990,427.62
"tza",1991,438.53
"tza",1992,456.22
"tza",1993,474.08
"tza",1994,496.32
"tza",1995,514.11
"tza",1996,527.15
"tza",1997,545.24
"tza",1998,566.92
"tza",1999,575.49
"tza",2000,580.64
"tza",2001,577.82
"tza",2002,578.8
"tza",2003,597.99
"tza",2004,609.85
"tza",2005,625.51
"tza",2006,647.43
"tza",2007,671.82
"tza",2008,696.61
"tza",2009,724.63
"tza",2010,748.36
"tza",2011,777.74
"tza",2012,807.35
"tza",2013,849.23
"tza",2014,885.67
"tza",2015,923.9
"tza",2016,957.01
"uga",1990,271.36
"uga",1991,285.06
"uga",1992,293.38
"uga",1993,311.41
"uga",1994,329.48
"uga",1995,330.05
"uga",1996,323.66
"uga",1997,326.54
"uga",1998,336.97
"uga",1999,337.68
"uga",2000,345.44
"uga",2001,351.46
"uga",2002,380.82
"uga",2003,403.02
"uga",2004,438.11
"uga",2005,464.5
"uga",2006,495.97
"uga",2007,510.01
"uga",2008,517.51
"uga",2009,526.12
"uga",2010,528.52
"uga",2011,548.91
"uga",2012,561.98
"uga",2013,574.61
"uga",2014,594.9
"uga",2015,611.05
"uga",2016,629.18
