"geo","time","liver_cancer_number_of_male_deaths"
"bdi",1990,107.81
"bdi",1991,109.44
"bdi",1992,110.69
"bdi",1993,111.39
"bdi",1994,111.47
"bdi",1995,111.3
"bdi",1996,111.31
"bdi",1997,111.04
"bdi",1998,111.57
"bdi",1999,110.6
"bdi",2000,112.25
"bdi",2001,112.78
"bdi",2002,115.99
"bdi",2003,120.38
"bdi",2004,126.81
"bdi",2005,133.61
"bdi",2006,140.86
"bdi",2007,147.82
"bdi",2008,155.02
"bdi",2009,161.92
"bdi",2010,171.59
"bdi",2011,179.61
"bdi",2012,187.33
"bdi",2013,193.8
"bdi",2014,200.89
"bdi",2015,207.32
"bdi",2016,213.76
"cod",1990,1071.5
"cod",1991,1112.67
"cod",1992,1148.99
"cod",1993,1174.81
"cod",1994,1204.15
"cod",1995,1249.88
"cod",1996,1280.1
"cod",1997,1279.94
"cod",1998,1302.82
"cod",1999,1311.3
"cod",2000,1313.72
"cod",2001,1334.71
"cod",2002,1349.96
"cod",2003,1394.17
"cod",2004,1417.05
"cod",2005,1452.27
"cod",2006,1494.73
"cod",2007,1538.67
"cod",2008,1608.95
"cod",2009,1671.58
"cod",2010,1732.44
"cod",2011,1801.03
"cod",2012,1880.31
"cod",2013,1953.19
"cod",2014,2038.97
"cod",2015,2131.86
"cod",2016,2221.89
"ken",1990,207.5
"ken",1991,217.64
"ken",1992,229.59
"ken",1993,240.58
"ken",1994,250.22
"ken",1995,259.06
"ken",1996,267.42
"ken",1997,273.99
"ken",1998,284.9
"ken",1999,289.13
"ken",2000,300.82
"ken",2001,304.83
"ken",2002,319.25
"ken",2003,331.28
"ken",2004,342.02
"ken",2005,352.85
"ken",2006,367.35
"ken",2007,383.23
"ken",2008,399.8
"ken",2009,418.4
"ken",2010,439.85
"ken",2011,463.69
"ken",2012,487.25
"ken",2013,509.19
"ken",2014,535.06
"ken",2015,562.56
"ken",2016,590.75
"rwa",1990,109.05
"rwa",1991,106.22
"rwa",1992,100.35
"rwa",1993,93.47
"rwa",1994,87.7
"rwa",1995,84.04
"rwa",1996,89.05
"rwa",1997,96.58
"rwa",1998,107.97
"rwa",1999,117.44
"rwa",2000,126.34
"rwa",2001,132.52
"rwa",2002,139.89
"rwa",2003,144.78
"rwa",2004,150.86
"rwa",2005,156.44
"rwa",2006,164.84
"rwa",2007,171.61
"rwa",2008,177.15
"rwa",2009,182.96
"rwa",2010,188.74
"rwa",2011,194.5
"rwa",2012,201.12
"rwa",2013,209.36
"rwa",2014,218.44
"rwa",2015,228.18
"rwa",2016,237.59
"ssd",1990,91.02
"ssd",1991,90.03
"ssd",1992,90.47
"ssd",1993,90.97
"ssd",1994,91.73
"ssd",1995,93.09
"ssd",1996,95.76
"ssd",1997,96.62
"ssd",1998,102.01
"ssd",1999,106.29
"ssd",2000,110.54
"ssd",2001,110.82
"ssd",2002,112.71
"ssd",2003,118.6
"ssd",2004,126.03
"ssd",2005,133.55
"ssd",2006,142.95
"ssd",2007,151.04
"ssd",2008,157.47
"ssd",2009,164.5
"ssd",2010,170.29
"ssd",2011,176.11
"ssd",2012,186.62
"ssd",2013,197.14
"ssd",2014,208.1
"ssd",2015,218.4
"ssd",2016,228.06
"tza",1990,503.58
"tza",1991,514.7
"tza",1992,528.04
"tza",1993,542.07
"tza",1994,558.64
"tza",1995,567.38
"tza",1996,578.21
"tza",1997,587.61
"tza",1998,597.79
"tza",1999,606.39
"tza",2000,613.15
"tza",2001,627.86
"tza",2002,649.12
"tza",2003,680.27
"tza",2004,713.68
"tza",2005,749.89
"tza",2006,778.65
"tza",2007,802.61
"tza",2008,832.18
"tza",2009,862.66
"tza",2010,896.37
"tza",2011,930.75
"tza",2012,966.32
"tza",2013,1006.44
"tza",2014,1041.16
"tza",2015,1080.54
"tza",2016,1121.05
"uga",1990,406.57
"uga",1991,427.4
"uga",1992,439.41
"uga",1993,444.69
"uga",1994,466.08
"uga",1995,451.97
"uga",1996,430.58
"uga",1997,402.08
"uga",1998,424.38
"uga",1999,415.29
"uga",2000,437.01
"uga",2001,455.2
"uga",2002,479.63
"uga",2003,515.73
"uga",2004,555.47
"uga",2005,584.92
"uga",2006,625.88
"uga",2007,664.94
"uga",2008,680.11
"uga",2009,705.64
"uga",2010,728.81
"uga",2011,747.15
"uga",2012,761.12
"uga",2013,770.11
"uga",2014,803.26
"uga",2015,829.48
"uga",2016,858.17
