"geo","time","liver_cancer_number_of_new_female_cases"
"bdi",1990,102.98
"bdi",1991,104.36
"bdi",1992,105.96
"bdi",1993,107.57
"bdi",1994,109.14
"bdi",1995,110.77
"bdi",1996,110.25
"bdi",1997,109.67
"bdi",1998,109.17
"bdi",1999,108.93
"bdi",2000,109.22
"bdi",2001,109.16
"bdi",2002,109.9
"bdi",2003,111.23
"bdi",2004,112.89
"bdi",2005,114.83
"bdi",2006,117
"bdi",2007,119.27
"bdi",2008,121.84
"bdi",2009,124.67
"bdi",2010,127.93
"bdi",2011,131.83
"bdi",2012,136.2
"bdi",2013,140.81
"bdi",2014,145.77
"bdi",2015,151.07
"bdi",2016,156.56
"cod",1990,545.55
"cod",1991,560.69
"cod",1992,578.36
"cod",1993,597.42
"cod",1994,616.62
"cod",1995,635.92
"cod",1996,642.67
"cod",1997,648.71
"cod",1998,654.48
"cod",1999,661.28
"cod",2000,670.34
"cod",2001,676.13
"cod",2002,684.15
"cod",2003,694.27
"cod",2004,705.63
"cod",2005,718.7
"cod",2006,734.16
"cod",2007,750.54
"cod",2008,769.67
"cod",2009,790.08
"cod",2010,812.42
"cod",2011,828.17
"cod",2012,845.68
"cod",2013,864.16
"cod",2014,884.04
"cod",2015,905.39
"cod",2016,927.49
"ken",1990,155.03
"ken",1991,159.18
"ken",1992,164.07
"ken",1993,169.49
"ken",1994,175.2
"ken",1995,181.23
"ken",1996,187.48
"ken",1997,193.89
"ken",1998,200.48
"ken",1999,207.36
"ken",2000,214.73
"ken",2001,220.07
"ken",2002,226.01
"ken",2003,232.55
"ken",2004,239.58
"ken",2005,247.34
"ken",2006,253.44
"ken",2007,260.07
"ken",2008,267.95
"ken",2009,276.81
"ken",2010,286.9
"ken",2011,296.72
"ken",2012,307.9
"ken",2013,320.11
"ken",2014,333.37
"ken",2015,347.62
"ken",2016,361.86
"rwa",1990,105.02
"rwa",1991,102.58
"rwa",1992,99.05
"rwa",1993,95.54
"rwa",1994,93.6
"rwa",1995,94.02
"rwa",1996,97.46
"rwa",1997,102.87
"rwa",1998,110.04
"rwa",1999,116.39
"rwa",2000,121.43
"rwa",2001,122.7
"rwa",2002,123.36
"rwa",2003,122.96
"rwa",2004,122.96
"rwa",2005,123.69
"rwa",2006,127.67
"rwa",2007,132
"rwa",2008,136.74
"rwa",2009,141.69
"rwa",2010,146.95
"rwa",2011,152.42
"rwa",2012,158.52
"rwa",2013,165.51
"rwa",2014,172.95
"rwa",2015,180.77
"rwa",2016,188.53
"ssd",1990,79.72
"ssd",1991,79.01
"ssd",1992,77.95
"ssd",1993,76.92
"ssd",1994,76.45
"ssd",1995,76.92
"ssd",1996,78.67
"ssd",1997,81.82
"ssd",1998,85.99
"ssd",1999,90.52
"ssd",2000,95.17
"ssd",2001,98.77
"ssd",2002,102.51
"ssd",2003,106.55
"ssd",2004,110.99
"ssd",2005,116.06
"ssd",2006,120.93
"ssd",2007,126.14
"ssd",2008,132.11
"ssd",2009,138.55
"ssd",2010,145.58
"ssd",2011,152.11
"ssd",2012,159.3
"ssd",2013,166.84
"ssd",2014,174.51
"ssd",2015,182.2
"ssd",2016,189.11
"tza",1990,358.37
"tza",1991,369.37
"tza",1992,381.71
"tza",1993,394.92
"tza",1994,408.5
"tza",1995,422.54
"tza",1996,433.21
"tza",1997,444.25
"tza",1998,455.77
"tza",1999,467.72
"tza",2000,480.61
"tza",2001,489.46
"tza",2002,499.1
"tza",2003,509.45
"tza",2004,521.16
"tza",2005,535.03
"tza",2006,551.91
"tza",2007,570.21
"tza",2008,591.11
"tza",2009,612.46
"tza",2010,634.44
"tza",2011,655.43
"tza",2012,677.42
"tza",2013,700.42
"tza",2014,724.74
"tza",2015,750.62
"tza",2016,777.02
"uga",1990,267.04
"uga",1991,277.38
"uga",1992,288.45
"uga",1993,300.12
"uga",1994,312.15
"uga",1995,324.68
"uga",1996,330.26
"uga",1997,336.19
"uga",1998,342.58
"uga",1999,349.37
"uga",2000,356.86
"uga",2001,378.92
"uga",2002,403.02
"uga",2003,429.33
"uga",2004,457.76
"uga",2005,488.75
"uga",2006,496.12
"uga",2007,504.08
"uga",2008,513.43
"uga",2009,523.55
"uga",2010,534.7
"uga",2011,544.21
"uga",2012,554.94
"uga",2013,566.3
"uga",2014,578.81
"uga",2015,592.47
"uga",2016,606.15
