"geo","time","liver_cancer_number_of_new_male_cases"
"bdi",1990,105.39
"bdi",1991,106.68
"bdi",1992,107.97
"bdi",1993,109.08
"bdi",1994,110.11
"bdi",1995,111.22
"bdi",1996,111.52
"bdi",1997,111.96
"bdi",1998,112.71
"bdi",1999,113.82
"bdi",2000,115.49
"bdi",2001,117.07
"bdi",2002,119.41
"bdi",2003,122.56
"bdi",2004,126.1
"bdi",2005,130
"bdi",2006,134.75
"bdi",2007,139.7
"bdi",2008,145.11
"bdi",2009,150.95
"bdi",2010,157.38
"bdi",2011,162.48
"bdi",2012,168.17
"bdi",2013,173.92
"bdi",2014,180.04
"bdi",2015,186.53
"bdi",2016,193.41
"cod",1990,1066.29
"cod",1991,1098
"cod",1992,1134.61
"cod",1993,1173.76
"cod",1994,1213.04
"cod",1995,1252.37
"cod",1996,1268.26
"cod",1997,1282.58
"cod",1998,1296.41
"cod",1999,1312.03
"cod",2000,1331.65
"cod",2001,1346.17
"cod",2002,1364.64
"cod",2003,1386.82
"cod",2004,1411.3
"cod",2005,1438.91
"cod",2006,1477.4
"cod",2007,1518.15
"cod",2008,1564.3
"cod",2009,1613.21
"cod",2010,1666
"cod",2011,1717.19
"cod",2012,1772.5
"cod",2013,1830.68
"cod",2014,1892.57
"cod",2015,1958.48
"cod",2016,2026.5
"ken",1990,238.54
"ken",1991,245.54
"ken",1992,253.52
"ken",1993,262.12
"ken",1994,271.04
"ken",1995,280.29
"ken",1996,287.59
"ken",1997,294.74
"ken",1998,301.9
"ken",1999,309.42
"ken",2000,317.64
"ken",2001,325.86
"ken",2002,335.12
"ken",2003,345.34
"ken",2004,356.44
"ken",2005,368.76
"ken",2006,381.67
"ken",2007,395.54
"ken",2008,411.14
"ken",2009,428.16
"ken",2010,447.26
"ken",2011,464.73
"ken",2012,484.08
"ken",2013,504.83
"ken",2014,527.08
"ken",2015,550.76
"ken",2016,574.89
"rwa",1990,121.74
"rwa",1991,117.42
"rwa",1992,111.42
"rwa",1993,105.15
"rwa",1994,100.36
"rwa",1995,97.95
"rwa",1996,102.01
"rwa",1997,108.07
"rwa",1998,116.6
"rwa",1999,123.93
"rwa",2000,129.63
"rwa",2001,132.75
"rwa",2002,135.51
"rwa",2003,136.38
"rwa",2004,137.45
"rwa",2005,139.02
"rwa",2006,142.66
"rwa",2007,146.46
"rwa",2008,150.33
"rwa",2009,154.51
"rwa",2010,159.19
"rwa",2011,164.03
"rwa",2012,169.67
"rwa",2013,176.63
"rwa",2014,184.16
"rwa",2015,192.16
"rwa",2016,200.54
"ssd",1990,97.91
"ssd",1991,96.64
"ssd",1992,94.91
"ssd",1993,93.22
"ssd",1994,92.17
"ssd",1995,92.2
"ssd",1996,93.83
"ssd",1997,97.07
"ssd",1998,101.55
"ssd",1999,106.4
"ssd",2000,111.34
"ssd",2001,115.32
"ssd",2002,119.47
"ssd",2003,123.96
"ssd",2004,128.86
"ssd",2005,134.43
"ssd",2006,139.91
"ssd",2007,145.76
"ssd",2008,152.48
"ssd",2009,159.76
"ssd",2010,167.75
"ssd",2011,175.29
"ssd",2012,183.57
"ssd",2013,192.23
"ssd",2014,200.97
"ssd",2015,209.63
"ssd",2016,217.6
"tza",1990,419.49
"tza",1991,428.34
"tza",1992,438.61
"tza",1993,449.74
"tza",1994,461.11
"tza",1995,473.02
"tza",1996,480.12
"tza",1997,487.56
"tza",1998,495.22
"tza",1999,503.11
"tza",2000,511.79
"tza",2001,527.75
"tza",2002,544.5
"tza",2003,563.52
"tza",2004,582.84
"tza",2005,603.16
"tza",2006,619.67
"tza",2007,636.51
"tza",2008,656.32
"tza",2009,677.28
"tza",2010,699.93
"tza",2011,721.7
"tza",2012,745.61
"tza",2013,768.31
"tza",2014,792.38
"tza",2015,817.86
"tza",2016,846.44
"uga",1990,389.11
"uga",1991,396.78
"uga",1992,404.65
"uga",1993,412.86
"uga",1994,421.33
"uga",1995,430.43
"uga",1996,427.83
"uga",1997,425.82
"uga",1998,424.43
"uga",1999,423.31
"uga",2000,422.65
"uga",2001,445.88
"uga",2002,471.11
"uga",2003,498.51
"uga",2004,527.84
"uga",2005,559.54
"uga",2006,575.28
"uga",2007,591.92
"uga",2008,610.8
"uga",2009,631.16
"uga",2010,653.35
"uga",2011,664.26
"uga",2012,676.46
"uga",2013,688.86
"uga",2014,702.25
"uga",2015,716.61
"uga",2016,732.06
