"geo","time","lung_cancer_deaths_per_100000_men"
"bdi",1990,12.45
"bdi",1991,12.37
"bdi",1992,12.3
"bdi",1993,12.29
"bdi",1994,12.3
"bdi",1995,12.4
"bdi",1996,11.83
"bdi",1997,11.22
"bdi",1998,10.69
"bdi",1999,9.92
"bdi",2000,9.51
"bdi",2001,8.84
"bdi",2002,8.5
"bdi",2003,8.24
"bdi",2004,8.13
"bdi",2005,8.04
"bdi",2006,7.99
"bdi",2007,7.97
"bdi",2008,7.9
"bdi",2009,7.82
"bdi",2010,7.89
"bdi",2011,8.07
"bdi",2012,8.22
"bdi",2013,8.33
"bdi",2014,8.45
"bdi",2015,8.54
"bdi",2016,8.62
"cod",1990,10.54
"cod",1991,10.58
"cod",1992,10.55
"cod",1993,10.35
"cod",1994,10.33
"cod",1995,10.39
"cod",1996,10.54
"cod",1997,10.31
"cod",1998,10.33
"cod",1999,10.34
"cod",2000,10.3
"cod",2001,10.18
"cod",2002,9.88
"cod",2003,9.94
"cod",2004,9.63
"cod",2005,9.42
"cod",2006,9.46
"cod",2007,9.51
"cod",2008,9.73
"cod",2009,9.82
"cod",2010,9.91
"cod",2011,10.18
"cod",2012,10.48
"cod",2013,10.68
"cod",2014,10.91
"cod",2015,11.16
"cod",2016,11.4
"ken",1990,4.54
"ken",1991,4.68
"ken",1992,4.85
"ken",1993,4.98
"ken",1994,5.05
"ken",1995,5.11
"ken",1996,5.21
"ken",1997,5.27
"ken",1998,5.41
"ken",1999,5.35
"ken",2000,5.48
"ken",2001,5.31
"ken",2002,5.27
"ken",2003,5.27
"ken",2004,5.22
"ken",2005,5.18
"ken",2006,5.2
"ken",2007,5.2
"ken",2008,5.26
"ken",2009,5.32
"ken",2010,5.35
"ken",2011,5.46
"ken",2012,5.55
"ken",2013,5.58
"ken",2014,5.64
"ken",2015,5.71
"ken",2016,5.84
"rwa",1990,9.26
"rwa",1991,9.88
"rwa",1992,10.58
"rwa",1993,11.24
"rwa",1994,12.04
"rwa",1995,13.01
"rwa",1996,12.51
"rwa",1997,12.12
"rwa",1998,11.57
"rwa",1999,10.68
"rwa",2000,9.95
"rwa",2001,9.13
"rwa",2002,8.69
"rwa",2003,8.35
"rwa",2004,8.15
"rwa",2005,7.97
"rwa",2006,8.12
"rwa",2007,8.22
"rwa",2008,8.31
"rwa",2009,8.45
"rwa",2010,8.63
"rwa",2011,8.7
"rwa",2012,8.78
"rwa",2013,8.89
"rwa",2014,9
"rwa",2015,9.15
"rwa",2016,9.33
"ssd",1990,6.19
"ssd",1991,6.18
"ssd",1992,6.32
"ssd",1993,6.49
"ssd",1994,6.64
"ssd",1995,6.78
"ssd",1996,6.85
"ssd",1997,6.78
"ssd",1998,6.8
"ssd",1999,6.72
"ssd",2000,6.62
"ssd",2001,6.43
"ssd",2002,6.31
"ssd",2003,6.35
"ssd",2004,6.45
"ssd",2005,6.57
"ssd",2006,6.73
"ssd",2007,6.81
"ssd",2008,6.8
"ssd",2009,6.77
"ssd",2010,6.68
"ssd",2011,6.63
"ssd",2012,6.72
"ssd",2013,6.79
"ssd",2014,6.87
"ssd",2015,6.93
"ssd",2016,6.99
"tza",1990,9.57
"tza",1991,9.5
"tza",1992,9.52
"tza",1993,9.47
"tza",1994,9.55
"tza",1995,9.38
"tza",1996,9.34
"tza",1997,9.28
"tza",1998,9.28
"tza",1999,9.32
"tza",2000,9.23
"tza",2001,9.14
"tza",2002,9.12
"tza",2003,9.17
"tza",2004,9.25
"tza",2005,9.38
"tza",2006,9.52
"tza",2007,9.58
"tza",2008,9.71
"tza",2009,9.83
"tza",2010,10
"tza",2011,10.19
"tza",2012,10.4
"tza",2013,10.67
"tza",2014,10.81
"tza",2015,11
"tza",2016,11.2
"uga",1990,9.51
"uga",1991,9.73
"uga",1992,9.85
"uga",1993,10
"uga",1994,10.02
"uga",1995,9.77
"uga",1996,9.76
"uga",1997,9.64
"uga",1998,9.56
"uga",1999,9.61
"uga",2000,9.66
"uga",2001,9.74
"uga",2002,9.69
"uga",2003,9.75
"uga",2004,9.83
"uga",2005,9.73
"uga",2006,9.73
"uga",2007,9.81
"uga",2008,9.79
"uga",2009,9.77
"uga",2010,9.71
"uga",2011,9.84
"uga",2012,9.93
"uga",2013,10.13
"uga",2014,10.28
"uga",2015,10.38
"uga",2016,10.51
