"geo","time","lung_cancer_deaths_per_100000_women"
"bdi",1990,4.06
"bdi",1991,4.06
"bdi",1992,4.06
"bdi",1993,4.06
"bdi",1994,4.06
"bdi",1995,4.06
"bdi",1996,4.03
"bdi",1997,3.98
"bdi",1998,3.93
"bdi",1999,3.84
"bdi",2000,3.77
"bdi",2001,3.71
"bdi",2002,3.67
"bdi",2003,3.66
"bdi",2004,3.67
"bdi",2005,3.66
"bdi",2006,3.68
"bdi",2007,3.68
"bdi",2008,3.69
"bdi",2009,3.7
"bdi",2010,3.73
"bdi",2011,3.81
"bdi",2012,3.87
"bdi",2013,3.92
"bdi",2014,3.98
"bdi",2015,4.02
"bdi",2016,4.04
"cod",1990,5.28
"cod",1991,5.24
"cod",1992,5.19
"cod",1993,5.09
"cod",1994,5
"cod",1995,4.98
"cod",1996,5.01
"cod",1997,4.81
"cod",1998,4.79
"cod",1999,4.76
"cod",2000,4.71
"cod",2001,4.77
"cod",2002,4.75
"cod",2003,4.77
"cod",2004,4.75
"cod",2005,4.73
"cod",2006,4.79
"cod",2007,4.85
"cod",2008,4.92
"cod",2009,4.97
"cod",2010,5.02
"cod",2011,5.18
"cod",2012,5.36
"cod",2013,5.54
"cod",2014,5.72
"cod",2015,5.93
"cod",2016,6.12
"ken",1990,3.31
"ken",1991,3.36
"ken",1992,3.43
"ken",1993,3.48
"ken",1994,3.54
"ken",1995,3.57
"ken",1996,3.57
"ken",1997,3.6
"ken",1998,3.61
"ken",1999,3.56
"ken",2000,3.55
"ken",2001,3.56
"ken",2002,3.65
"ken",2003,3.61
"ken",2004,3.56
"ken",2005,3.51
"ken",2006,3.47
"ken",2007,3.45
"ken",2008,3.45
"ken",2009,3.46
"ken",2010,3.5
"ken",2011,3.56
"ken",2012,3.6
"ken",2013,3.63
"ken",2014,3.67
"ken",2015,3.72
"ken",2016,3.87
"rwa",1990,3.61
"rwa",1991,3.7
"rwa",1992,3.72
"rwa",1993,3.73
"rwa",1994,3.73
"rwa",1995,3.74
"rwa",1996,3.7
"rwa",1997,3.68
"rwa",1998,3.7
"rwa",1999,3.71
"rwa",2000,3.69
"rwa",2001,3.72
"rwa",2002,3.75
"rwa",2003,3.78
"rwa",2004,3.81
"rwa",2005,3.84
"rwa",2006,3.91
"rwa",2007,3.95
"rwa",2008,4
"rwa",2009,4.07
"rwa",2010,4.13
"rwa",2011,4.21
"rwa",2012,4.28
"rwa",2013,4.35
"rwa",2014,4.42
"rwa",2015,4.49
"rwa",2016,4.56
"ssd",1990,3.12
"ssd",1991,3.13
"ssd",1992,3.2
"ssd",1993,3.28
"ssd",1994,3.36
"ssd",1995,3.42
"ssd",1996,3.48
"ssd",1997,3.47
"ssd",1998,3.5
"ssd",1999,3.5
"ssd",2000,3.46
"ssd",2001,3.37
"ssd",2002,3.31
"ssd",2003,3.32
"ssd",2004,3.35
"ssd",2005,3.39
"ssd",2006,3.47
"ssd",2007,3.52
"ssd",2008,3.52
"ssd",2009,3.52
"ssd",2010,3.5
"ssd",2011,3.46
"ssd",2012,3.49
"ssd",2013,3.52
"ssd",2014,3.55
"ssd",2015,3.57
"ssd",2016,3.59
"tza",1990,4.2
"tza",1991,4.2
"tza",1992,4.23
"tza",1993,4.25
"tza",1994,4.29
"tza",1995,4.32
"tza",1996,4.35
"tza",1997,4.39
"tza",1998,4.44
"tza",1999,4.41
"tza",2000,4.38
"tza",2001,4.34
"tza",2002,4.34
"tza",2003,4.4
"tza",2004,4.43
"tza",2005,4.46
"tza",2006,4.51
"tza",2007,4.55
"tza",2008,4.58
"tza",2009,4.61
"tza",2010,4.64
"tza",2011,4.73
"tza",2012,4.81
"tza",2013,4.94
"tza",2014,5.04
"tza",2015,5.13
"tza",2016,5.22
"uga",1990,3.73
"uga",1991,3.84
"uga",1992,3.92
"uga",1993,4.01
"uga",1994,4.14
"uga",1995,4.3
"uga",1996,4.64
"uga",1997,4.76
"uga",1998,4.99
"uga",1999,4.83
"uga",2000,4.91
"uga",2001,5.11
"uga",2002,5.24
"uga",2003,5.33
"uga",2004,5.3
"uga",2005,5.43
"uga",2006,5.44
"uga",2007,5.33
"uga",2008,5.18
"uga",2009,4.94
"uga",2010,4.77
"uga",2011,4.77
"uga",2012,4.84
"uga",2013,4.99
"uga",2014,5.13
"uga",2015,5.23
"uga",2016,5.34
