"geo","time","lung_cancer_new_cases_per_100000_men"
"bdi",1990,11.16
"bdi",1991,11.16
"bdi",1992,11.15
"bdi",1993,11.17
"bdi",1994,11.2
"bdi",1995,11.29
"bdi",1996,10.78
"bdi",1997,10.24
"bdi",1998,9.76
"bdi",1999,9.17
"bdi",2000,8.79
"bdi",2001,8.16
"bdi",2002,7.76
"bdi",2003,7.42
"bdi",2004,7.18
"bdi",2005,6.98
"bdi",2006,6.82
"bdi",2007,6.7
"bdi",2008,6.57
"bdi",2009,6.46
"bdi",2010,6.43
"bdi",2011,6.49
"bdi",2012,6.56
"bdi",2013,6.63
"bdi",2014,6.71
"bdi",2015,6.8
"bdi",2016,6.89
"cod",1990,9.66
"cod",1991,9.65
"cod",1992,9.64
"cod",1993,9.52
"cod",1994,9.56
"cod",1995,9.57
"cod",1996,9.71
"cod",1997,9.61
"cod",1998,9.61
"cod",1999,9.61
"cod",2000,9.66
"cod",2001,9.47
"cod",2002,9.19
"cod",2003,9.15
"cod",2004,8.87
"cod",2005,8.67
"cod",2006,8.67
"cod",2007,8.69
"cod",2008,8.78
"cod",2009,8.81
"cod",2010,8.87
"cod",2011,9.04
"cod",2012,9.2
"cod",2013,9.33
"cod",2014,9.45
"cod",2015,9.59
"cod",2016,9.73
"ken",1990,4.59
"ken",1991,4.66
"ken",1992,4.75
"ken",1993,4.82
"ken",1994,4.85
"ken",1995,4.88
"ken",1996,4.95
"ken",1997,4.99
"ken",1998,5.09
"ken",1999,5.07
"ken",2000,5.14
"ken",2001,4.99
"ken",2002,4.93
"ken",2003,4.89
"ken",2004,4.84
"ken",2005,4.79
"ken",2006,4.77
"ken",2007,4.74
"ken",2008,4.77
"ken",2009,4.8
"ken",2010,4.81
"ken",2011,4.83
"ken",2012,4.87
"ken",2013,4.88
"ken",2014,4.9
"ken",2015,4.93
"ken",2016,4.95
"rwa",1990,8.82
"rwa",1991,9.41
"rwa",1992,10.19
"rwa",1993,11.01
"rwa",1994,11.95
"rwa",1995,13.09
"rwa",1996,12.48
"rwa",1997,11.87
"rwa",1998,11.04
"rwa",1999,9.98
"rwa",2000,9.08
"rwa",2001,8.08
"rwa",2002,7.43
"rwa",2003,6.91
"rwa",2004,6.53
"rwa",2005,6.22
"rwa",2006,6.17
"rwa",2007,6.16
"rwa",2008,6.18
"rwa",2009,6.23
"rwa",2010,6.34
"rwa",2011,6.39
"rwa",2012,6.46
"rwa",2013,6.55
"rwa",2014,6.64
"rwa",2015,6.75
"rwa",2016,6.88
"ssd",1990,6.06
"ssd",1991,6.06
"ssd",1992,6.05
"ssd",1993,6.05
"ssd",1994,6.05
"ssd",1995,6.07
"ssd",1996,6.04
"ssd",1997,6.03
"ssd",1998,6
"ssd",1999,5.96
"ssd",2000,5.92
"ssd",2001,5.9
"ssd",2002,5.89
"ssd",2003,5.9
"ssd",2004,5.9
"ssd",2005,5.9
"ssd",2006,5.91
"ssd",2007,5.91
"ssd",2008,5.92
"ssd",2009,5.94
"ssd",2010,5.96
"ssd",2011,5.98
"ssd",2012,6
"ssd",2013,6.01
"ssd",2014,6.04
"ssd",2015,6.06
"ssd",2016,6.08
"tza",1990,7.37
"tza",1991,7.33
"tza",1992,7.34
"tza",1993,7.29
"tza",1994,7.32
"tza",1995,7.22
"tza",1996,7.17
"tza",1997,7.11
"tza",1998,7.07
"tza",1999,7.09
"tza",2000,7.04
"tza",2001,7
"tza",2002,6.98
"tza",2003,6.97
"tza",2004,6.99
"tza",2005,7.04
"tza",2006,7.08
"tza",2007,7.13
"tza",2008,7.2
"tza",2009,7.28
"tza",2010,7.39
"tza",2011,7.48
"tza",2012,7.6
"tza",2013,7.72
"tza",2014,7.82
"tza",2015,7.94
"tza",2016,8.06
"uga",1990,7.98
"uga",1991,8.09
"uga",1992,8.27
"uga",1993,8.41
"uga",1994,8.43
"uga",1995,8.25
"uga",1996,8.23
"uga",1997,8.17
"uga",1998,8.12
"uga",1999,8.23
"uga",2000,8.31
"uga",2001,8.32
"uga",2002,8.29
"uga",2003,8.32
"uga",2004,8.35
"uga",2005,8.19
"uga",2006,8.07
"uga",2007,8.03
"uga",2008,7.91
"uga",2009,7.79
"uga",2010,7.71
"uga",2011,7.72
"uga",2012,7.72
"uga",2013,7.79
"uga",2014,7.87
"uga",2015,7.95
"uga",2016,8.03
