"geo","time","lung_cancer_new_cases_per_100000_women"
"bdi",1990,3.54
"bdi",1991,3.55
"bdi",1992,3.56
"bdi",1993,3.56
"bdi",1994,3.57
"bdi",1995,3.57
"bdi",1996,3.53
"bdi",1997,3.49
"bdi",1998,3.45
"bdi",1999,3.41
"bdi",2000,3.36
"bdi",2001,3.31
"bdi",2002,3.27
"bdi",2003,3.24
"bdi",2004,3.21
"bdi",2005,3.18
"bdi",2006,3.16
"bdi",2007,3.14
"bdi",2008,3.13
"bdi",2009,3.13
"bdi",2010,3.12
"bdi",2011,3.16
"bdi",2012,3.19
"bdi",2013,3.23
"bdi",2014,3.27
"bdi",2015,3.31
"bdi",2016,3.34
"cod",1990,4.71
"cod",1991,4.65
"cod",1992,4.6
"cod",1993,4.53
"cod",1994,4.47
"cod",1995,4.42
"cod",1996,4.38
"cod",1997,4.31
"cod",1998,4.27
"cod",1999,4.24
"cod",2000,4.22
"cod",2001,4.19
"cod",2002,4.16
"cod",2003,4.14
"cod",2004,4.11
"cod",2005,4.09
"cod",2006,4.12
"cod",2007,4.14
"cod",2008,4.18
"cod",2009,4.21
"cod",2010,4.26
"cod",2011,4.36
"cod",2012,4.47
"cod",2013,4.59
"cod",2014,4.71
"cod",2015,4.84
"cod",2016,4.96
"ken",1990,3.59
"ken",1991,3.6
"ken",1992,3.62
"ken",1993,3.63
"ken",1994,3.65
"ken",1995,3.66
"ken",1996,3.67
"ken",1997,3.67
"ken",1998,3.66
"ken",1999,3.64
"ken",2000,3.62
"ken",2001,3.64
"ken",2002,3.72
"ken",2003,3.64
"ken",2004,3.58
"ken",2005,3.54
"ken",2006,3.51
"ken",2007,3.48
"ken",2008,3.46
"ken",2009,3.46
"ken",2010,3.48
"ken",2011,3.5
"ken",2012,3.52
"ken",2013,3.54
"ken",2014,3.57
"ken",2015,3.59
"ken",2016,3.61
"rwa",1990,3.24
"rwa",1991,3.3
"rwa",1992,3.36
"rwa",1993,3.42
"rwa",1994,3.46
"rwa",1995,3.51
"rwa",1996,3.44
"rwa",1997,3.37
"rwa",1998,3.32
"rwa",1999,3.25
"rwa",2000,3.19
"rwa",2001,3.15
"rwa",2002,3.13
"rwa",2003,3.1
"rwa",2004,3.09
"rwa",2005,3.08
"rwa",2006,3.09
"rwa",2007,3.1
"rwa",2008,3.12
"rwa",2009,3.14
"rwa",2010,3.16
"rwa",2011,3.21
"rwa",2012,3.26
"rwa",2013,3.31
"rwa",2014,3.35
"rwa",2015,3.4
"rwa",2016,3.44
"ssd",1990,3.08
"ssd",1991,3.08
"ssd",1992,3.08
"ssd",1993,3.08
"ssd",1994,3.09
"ssd",1995,3.09
"ssd",1996,3.1
"ssd",1997,3.1
"ssd",1998,3.11
"ssd",1999,3.11
"ssd",2000,3.1
"ssd",2001,3.09
"ssd",2002,3.08
"ssd",2003,3.07
"ssd",2004,3.06
"ssd",2005,3.06
"ssd",2006,3.07
"ssd",2007,3.08
"ssd",2008,3.1
"ssd",2009,3.12
"ssd",2010,3.13
"ssd",2011,3.13
"ssd",2012,3.12
"ssd",2013,3.12
"ssd",2014,3.12
"ssd",2015,3.11
"ssd",2016,3.11
"tza",1990,3
"tza",1991,3.01
"tza",1992,3.02
"tza",1993,3.02
"tza",1994,3.03
"tza",1995,3.05
"tza",1996,3.06
"tza",1997,3.07
"tza",1998,3.09
"tza",1999,3.09
"tza",2000,3.09
"tza",2001,3.11
"tza",2002,3.14
"tza",2003,3.16
"tza",2004,3.19
"tza",2005,3.22
"tza",2006,3.24
"tza",2007,3.26
"tza",2008,3.28
"tza",2009,3.3
"tza",2010,3.33
"tza",2011,3.37
"tza",2012,3.42
"tza",2013,3.47
"tza",2014,3.52
"tza",2015,3.57
"tza",2016,3.62
"uga",1990,3.07
"uga",1991,3.12
"uga",1992,3.2
"uga",1993,3.29
"uga",1994,3.42
"uga",1995,3.6
"uga",1996,3.92
"uga",1997,4.08
"uga",1998,4.34
"uga",1999,4.26
"uga",2000,4.38
"uga",2001,4.59
"uga",2002,4.76
"uga",2003,4.88
"uga",2004,4.83
"uga",2005,4.93
"uga",2006,4.89
"uga",2007,4.75
"uga",2008,4.59
"uga",2009,4.33
"uga",2010,4.15
"uga",2011,4.1
"uga",2012,4.13
"uga",2013,4.2
"uga",2014,4.29
"uga",2015,4.37
"uga",2016,4.45
