"geo","time","lung_cancer_number_of_female_deaths"
"bdi",1990,43.44
"bdi",1991,44.08
"bdi",1992,44.84
"bdi",1993,45.47
"bdi",1994,46.21
"bdi",1995,46.87
"bdi",1996,46.95
"bdi",1997,46.53
"bdi",1998,46.28
"bdi",1999,45.5
"bdi",2000,45.08
"bdi",2001,44.86
"bdi",2002,45.26
"bdi",2003,46.17
"bdi",2004,47.6
"bdi",2005,49.03
"bdi",2006,50.67
"bdi",2007,52.19
"bdi",2008,53.94
"bdi",2009,55.79
"bdi",2010,58.29
"bdi",2011,61.23
"bdi",2012,64.14
"bdi",2013,66.92
"bdi",2014,70.07
"bdi",2015,73.15
"bdi",2016,76.39
"cod",1990,377.21
"cod",1991,386.5
"cod",1992,394.79
"cod",1993,400.07
"cod",1994,406.37
"cod",1995,417.84
"cod",1996,430.28
"cod",1997,420.72
"cod",1998,426.83
"cod",1999,433.44
"cod",2000,439.12
"cod",2001,454.27
"cod",2002,463.23
"cod",2003,478.89
"cod",2004,489.73
"cod",2005,502.09
"cod",2006,522.33
"cod",2007,543.48
"cod",2008,568.52
"cod",2009,592.45
"cod",2010,618.24
"cod",2011,655.24
"cod",2012,699.32
"cod",2013,744.35
"cod",2014,794.67
"cod",2015,851.11
"cod",2016,906.98
"ken",1990,120.68
"ken",1991,126.18
"ken",1992,132.89
"ken",1993,139.36
"ken",1994,146.74
"ken",1995,153.36
"ken",1996,158.26
"ken",1997,164.57
"ken",1998,169.96
"ken",1999,172.48
"ken",2000,177.58
"ken",2001,183.27
"ken",2002,193.76
"ken",2003,196.14
"ken",2004,197.66
"ken",2005,200.43
"ken",2006,203.45
"ken",2007,208.15
"ken",2008,214.98
"ken",2009,223.59
"ken",2010,234.76
"ken",2011,247.29
"ken",2012,258.79
"ken",2013,271.05
"ken",2014,284.78
"ken",2015,299.72
"ken",2016,321.57
"rwa",1990,39.81
"rwa",1991,39.75
"rwa",1992,38.3
"rwa",1993,36.66
"rwa",1994,35.43
"rwa",1995,35.13
"rwa",1996,37.13
"rwa",1997,40.19
"rwa",1998,45.53
"rwa",1999,50.08
"rwa",2000,53.47
"rwa",2001,55.24
"rwa",2002,56.66
"rwa",2003,57.26
"rwa",2004,58.71
"rwa",2005,61.15
"rwa",2006,65.61
"rwa",2007,69.75
"rwa",2008,73.79
"rwa",2009,77.47
"rwa",2010,80.62
"rwa",2011,83.95
"rwa",2012,87.36
"rwa",2013,92.23
"rwa",2014,97.91
"rwa",2015,104.61
"rwa",2016,111.42
"ssd",1990,32.9
"ssd",1991,32.81
"ssd",1992,33.12
"ssd",1993,33.44
"ssd",1994,33.92
"ssd",1995,34.63
"ssd",1996,35.98
"ssd",1997,37
"ssd",1998,39.3
"ssd",1999,41.21
"ssd",2000,42.85
"ssd",2001,43.19
"ssd",2002,43.92
"ssd",2003,46
"ssd",2004,48.53
"ssd",2005,51.31
"ssd",2006,54.84
"ssd",2007,58.17
"ssd",2008,61.16
"ssd",2009,64.43
"ssd",2010,67.34
"ssd",2011,69.71
"ssd",2012,73.7
"ssd",2013,77.71
"ssd",2014,81.96
"ssd",2015,86.04
"ssd",2016,89.76
"tza",1990,179.42
"tza",1991,185.6
"tza",1992,193.13
"tza",1993,201.03
"tza",1994,210.04
"tza",1995,218.55
"tza",1996,226.24
"tza",1997,234.49
"tza",1998,243.87
"tza",1999,248.71
"tza",2000,253.63
"tza",2001,256.67
"tza",2002,261.49
"tza",2003,270.97
"tza",2004,278.84
"tza",2005,288.83
"tza",2006,303.92
"tza",2007,319.39
"tza",2008,335.79
"tza",2009,352.14
"tza",2010,367.17
"tza",2011,386.31
"tza",2012,406.94
"tza",2013,433.34
"tza",2014,459.55
"tza",2015,488.17
"tza",2016,517.22
"uga",1990,111.27
"uga",1991,118.68
"uga",1992,124.69
"uga",1993,131.89
"uga",1994,140.92
"uga",1995,151.28
"uga",1996,168.79
"uga",1997,178.19
"uga",1998,192.98
"uga",1999,191.11
"uga",2000,200.08
"uga",2001,213.6
"uga",2002,224.22
"uga",2003,233.51
"uga",2004,237.86
"uga",2005,250.65
"uga",2006,257.84
"uga",2007,259.18
"uga",2008,258.86
"uga",2009,254.22
"uga",2010,252.36
"uga",2011,259.32
"uga",2012,270.79
"uga",2013,288.24
"uga",2014,305.68
"uga",2015,322.79
"uga",2016,340.16
