"geo","time","lung_cancer_number_of_male_deaths"
"bdi",1990,113.35
"bdi",1991,113.97
"bdi",1992,114.63
"bdi",1993,115.79
"bdi",1994,117
"bdi",1995,119.26
"bdi",1996,114.93
"bdi",1997,110.01
"bdi",1998,106.16
"bdi",1999,99.83
"bdi",2000,97.62
"bdi",2001,92.01
"bdi",2002,90.5
"bdi",2003,90.31
"bdi",2004,92.22
"bdi",2005,94.59
"bdi",2006,97.17
"bdi",2007,100.19
"bdi",2008,102.93
"bdi",2009,105.73
"bdi",2010,111.15
"bdi",2011,117.39
"bdi",2012,123.67
"bdi",2013,129.4
"bdi",2014,135.76
"bdi",2015,142.28
"bdi",2016,149.03
"cod",1990,608.2
"cod",1991,633.1
"cod",1992,656.02
"cod",1993,666.79
"cod",1994,691.68
"cod",1995,723.96
"cod",1996,758.88
"cod",1997,758.52
"cod",1998,779.84
"cod",1999,800.94
"cod",2000,820.57
"cod",2001,832.05
"cod",2002,827.45
"cod",2003,861.47
"cod",2004,857.76
"cod",2005,865.68
"cod",2006,895.39
"cod",2007,929.11
"cod",2008,986.33
"cod",2009,1030.28
"cod",2010,1077.03
"cod",2011,1144.14
"cod",2012,1216.34
"cod",2013,1281.07
"cod",2014,1354.75
"cod",2015,1436.73
"cod",2016,1518.48
"ken",1990,156.67
"ken",1991,166.19
"ken",1992,177.92
"ken",1993,188.68
"ken",1994,197.2
"ken",1995,205.93
"ken",1996,216.46
"ken",1997,224.93
"ken",1998,238.15
"ken",1999,241.91
"ken",2000,255.63
"ken",2001,253.52
"ken",2002,258.38
"ken",2003,266.98
"ken",2004,272.41
"ken",2005,278.22
"ken",2006,286.84
"ken",2007,295.13
"ken",2008,307.98
"ken",2009,321.66
"ken",2010,334.27
"ken",2011,351.76
"ken",2012,369.6
"ken",2013,384.11
"ken",2014,401.69
"ken",2015,420.98
"ken",2016,443.95
"rwa",1990,88.59
"rwa",1991,92.17
"rwa",1992,94.51
"rwa",1993,95.56
"rwa",1994,98.5
"rwa",1995,104.39
"rwa",1996,108.12
"rwa",1997,114.78
"rwa",1998,121.94
"rwa",1999,122.48
"rwa",2000,120.95
"rwa",2001,111.63
"rwa",2002,105.29
"rwa",2003,98
"rwa",2004,93.67
"rwa",2005,91.78
"rwa",2006,97.22
"rwa",2007,103.18
"rwa",2008,108.29
"rwa",2009,112.86
"rwa",2010,117.02
"rwa",2011,120.34
"rwa",2012,124.01
"rwa",2013,129.17
"rwa",2014,135.29
"rwa",2015,143.09
"rwa",2016,152.05
"ssd",1990,60.72
"ssd",1991,60.36
"ssd",1992,60.89
"ssd",1993,61.55
"ssd",1994,62.31
"ssd",1995,63.68
"ssd",1996,65.69
"ssd",1997,67.09
"ssd",1998,70.74
"ssd",1999,73.4
"ssd",2000,75.82
"ssd",2001,76.21
"ssd",2002,77.66
"ssd",2003,81.39
"ssd",2004,86.19
"ssd",2005,91.52
"ssd",2006,97.84
"ssd",2007,103.46
"ssd",2008,108.35
"ssd",2009,113.47
"ssd",2010,117.92
"ssd",2011,122.35
"ssd",2012,129.8
"ssd",2013,137.28
"ssd",2014,145.34
"ssd",2015,153.18
"ssd",2016,160.27
"tza",1990,374.39
"tza",1991,383.47
"tza",1992,397.69
"tza",1993,409.42
"tza",1994,427.69
"tza",1995,433.38
"tza",1996,442.8
"tza",1997,451.05
"tza",1998,463.01
"tza",1999,477.98
"tza",2000,485.7
"tza",2001,500.33
"tza",2002,521.12
"tza",2003,549.49
"tza",2004,581.3
"tza",2005,617.83
"tza",2006,645.85
"tza",2007,669.48
"tza",2008,700.56
"tza",2009,734.31
"tza",2010,775.54
"tza",2011,816.12
"tza",2012,862.64
"tza",2013,913.42
"tza",2014,956.07
"tza",2015,1005.51
"tza",2016,1058.34
"uga",1990,257.45
"uga",1991,271.95
"uga",1992,283.42
"uga",1993,295.82
"uga",1994,304.4
"uga",1995,302.92
"uga",1996,309.04
"uga",1997,310.85
"uga",1998,314.58
"uga",1999,323.04
"uga",2000,332.08
"uga",2001,341.62
"uga",2002,346.62
"uga",2003,356.53
"uga",2004,368.48
"uga",2005,372.62
"uga",2006,381.53
"uga",2007,394.81
"uga",2008,403.72
"uga",2009,412.39
"uga",2010,420.01
"uga",2011,435.87
"uga",2012,450.74
"uga",2013,472.82
"uga",2014,494.1
"uga",2015,514.96
"uga",2016,538.67
