"geo","time","lung_cancer_number_of_new_female_cases"
"bdi",1990,40.38
"bdi",1991,41.14
"bdi",1992,41.93
"bdi",1993,42.67
"bdi",1994,43.42
"bdi",1995,44.11
"bdi",1996,43.95
"bdi",1997,43.7
"bdi",1998,43.54
"bdi",1999,43.23
"bdi",2000,43.03
"bdi",2001,43.06
"bdi",2002,43.39
"bdi",2003,44.04
"bdi",2004,44.92
"bdi",2005,45.96
"bdi",2006,47.05
"bdi",2007,48.25
"bdi",2008,49.61
"bdi",2009,51.16
"bdi",2010,52.9
"bdi",2011,55.07
"bdi",2012,57.47
"bdi",2013,60
"bdi",2014,62.78
"bdi",2015,65.75
"bdi",2016,68.92
"cod",1990,355.31
"cod",1991,361.35
"cod",1992,369.08
"cod",1993,376.58
"cod",1994,384.2
"cod",1995,391.77
"cod",1996,397.13
"cod",1997,398.84
"cod",1998,402.23
"cod",1999,407.74
"cod",2000,414.67
"cod",2001,420.65
"cod",2002,427.19
"cod",2003,436.2
"cod",2004,445.84
"cod",2005,457.13
"cod",2006,472.25
"cod",2007,488.88
"cod",2008,507.79
"cod",2009,527.73
"cod",2010,552.05
"cod",2011,581.05
"cod",2012,613.26
"cod",2013,649.62
"cod",2014,688.36
"cod",2015,730.79
"cod",2016,773.67
"ken",1990,141.56
"ken",1991,146.54
"ken",1992,152.1
"ken",1993,158.15
"ken",1994,164.62
"ken",1995,171.27
"ken",1996,177.08
"ken",1997,182.53
"ken",1998,188.07
"ken",1999,192.43
"ken",2000,197.44
"ken",2001,204.49
"ken",2002,215.46
"ken",2003,215.5
"ken",2004,217.28
"ken",2005,221.16
"ken",2006,225.41
"ken",2007,229.62
"ken",2008,235.93
"ken",2009,244.27
"ken",2010,254.99
"ken",2011,265.35
"ken",2012,276.53
"ken",2013,288.48
"ken",2014,301.45
"ken",2015,315.39
"ken",2016,330.31
"rwa",1990,39.35
"rwa",1991,39.13
"rwa",1992,38.3
"rwa",1993,37.34
"rwa",1994,36.69
"rwa",1995,37
"rwa",1996,38.68
"rwa",1997,41.23
"rwa",1998,45.09
"rwa",1999,48.17
"rwa",2000,50.33
"rwa",2001,51.2
"rwa",2002,51.81
"rwa",2003,51.87
"rwa",2004,52.52
"rwa",2005,54.03
"rwa",2006,56.71
"rwa",2007,59.64
"rwa",2008,62.52
"rwa",2009,65.08
"rwa",2010,67.45
"rwa",2011,70.25
"rwa",2012,73.35
"rwa",2013,77.12
"rwa",2014,81.49
"rwa",2015,86.57
"rwa",2016,91.71
"ssd",1990,35.65
"ssd",1991,35.42
"ssd",1992,34.97
"ssd",1993,34.51
"ssd",1994,34.29
"ssd",1995,34.46
"ssd",1996,35.32
"ssd",1997,36.77
"ssd",1998,38.74
"ssd",1999,40.6
"ssd",2000,42.45
"ssd",2001,43.88
"ssd",2002,45.37
"ssd",2003,47.05
"ssd",2004,48.9
"ssd",2005,51.02
"ssd",2006,53.39
"ssd",2007,56.02
"ssd",2008,59.04
"ssd",2009,62.33
"ssd",2010,65.9
"ssd",2011,68.73
"ssd",2012,71.8
"ssd",2013,75.02
"ssd",2014,78.3
"ssd",2015,81.57
"ssd",2016,84.37
"tza",1990,139.7
"tza",1991,144.48
"tza",1992,149.75
"tza",1993,155.27
"tza",1994,161.15
"tza",1995,167.42
"tza",1996,172.83
"tza",1997,178.03
"tza",1998,183.74
"tza",1999,188.93
"tza",2000,194.59
"tza",2001,200.08
"tza",2002,206.13
"tza",2003,212.54
"tza",2004,219.47
"tza",2005,227.89
"tza",2006,238.11
"tza",2007,249.35
"tza",2008,261.66
"tza",2009,273.82
"tza",2010,285.82
"tza",2011,299.36
"tza",2012,313.9
"tza",2013,330.04
"tza",2014,347.73
"tza",2015,366.78
"tza",2016,386.38
"uga",1990,99.39
"uga",1991,104.36
"uga",1992,110.13
"uga",1993,117.09
"uga",1994,125.74
"uga",1995,136.79
"uga",1996,153.91
"uga",1997,165.05
"uga",1998,180.68
"uga",1999,181.88
"uga",2000,192.55
"uga",2001,206.79
"uga",2002,219.39
"uga",2003,229.94
"uga",2004,233.31
"uga",2005,244.89
"uga",2006,249.17
"uga",2007,248.22
"uga",2008,246.95
"uga",2009,239.78
"uga",2010,236.24
"uga",2011,239.93
"uga",2012,248.73
"uga",2013,260.87
"uga",2014,275.02
"uga",2015,290.02
"uga",2016,304.83
