"geo","time","lung_cancer_number_of_new_male_cases"
"bdi",1990,106.79
"bdi",1991,108.17
"bdi",1992,109.4
"bdi",1993,110.89
"bdi",1994,112.36
"bdi",1995,114.63
"bdi",1996,110.66
"bdi",1997,106.26
"bdi",1998,102.63
"bdi",1999,97.84
"bdi",2000,95.74
"bdi",2001,90.3
"bdi",2002,87.87
"bdi",2003,86.62
"bdi",2004,86.67
"bdi",2005,87.34
"bdi",2006,88.15
"bdi",2007,89.73
"bdi",2008,91.18
"bdi",2009,93.15
"bdi",2010,96.55
"bdi",2011,100.63
"bdi",2012,105.21
"bdi",2013,110
"bdi",2014,115.26
"bdi",2015,121.19
"bdi",2016,127.43
"cod",1990,589.59
"cod",1991,609.94
"cod",1992,632.95
"cod",1993,648.88
"cod",1994,678.16
"cod",1995,705.44
"cod",1996,738.4
"cod",1997,748.04
"cod",1998,766.97
"cod",1999,785.11
"cod",2000,810.5
"cod",2001,814.28
"cod",2002,809.19
"cod",2003,831.88
"cod",2004,829.88
"cod",2005,836.51
"cod",2006,860.6
"cod",2007,890.16
"cod",2008,932.19
"cod",2009,967.33
"cod",2010,1009.92
"cod",2011,1062.57
"cod",2012,1116.37
"cod",2013,1169.85
"cod",2014,1226.1
"cod",2015,1288.62
"cod",2016,1352.46
"ken",1990,168.68
"ken",1991,175.87
"ken",1992,184.81
"ken",1993,193.42
"ken",1994,200.94
"ken",1995,208.86
"ken",1996,217.73
"ken",1997,225.67
"ken",1998,236.69
"ken",1999,242.35
"ken",2000,253.51
"ken",2001,251.92
"ken",2002,255.67
"ken",2003,261.53
"ken",2004,266.53
"ken",2005,271.64
"ken",2006,278.34
"ken",2007,284.53
"ken",2008,295.5
"ken",2009,307.33
"ken",2010,317.92
"ken",2011,330.12
"ken",2012,344.02
"ken",2013,356.31
"ken",2014,370.8
"ken",2015,386.53
"ken",2016,402.77
"rwa",1990,92.27
"rwa",1991,95.75
"rwa",1992,99.17
"rwa",1993,101.72
"rwa",1994,106.19
"rwa",1995,114.03
"rwa",1996,116.07
"rwa",1997,120.14
"rwa",1998,122.84
"rwa",1999,119.72
"rwa",2000,114.86
"rwa",2001,103.03
"rwa",2002,94.27
"rwa",2003,85.62
"rwa",2004,79.61
"rwa",2005,76.19
"rwa",2006,78.28
"rwa",2007,81.5
"rwa",2008,84.59
"rwa",2009,87.46
"rwa",2010,90.64
"rwa",2011,93.56
"rwa",2012,96.97
"rwa",2013,101.41
"rwa",2014,106.49
"rwa",2015,112.66
"rwa",2016,119.53
"ssd",1990,62.73
"ssd",1991,62.35
"ssd",1992,61.53
"ssd",1993,60.69
"ssd",1994,60.2
"ssd",1995,60.53
"ssd",1996,61.68
"ssd",1997,63.95
"ssd",1998,66.92
"ssd",1999,69.7
"ssd",2000,72.53
"ssd",2001,74.92
"ssd",2002,77.54
"ssd",2003,80.51
"ssd",2004,83.77
"ssd",2005,87.48
"ssd",2006,91.17
"ssd",2007,95.22
"ssd",2008,99.98
"ssd",2009,105.18
"ssd",2010,110.97
"ssd",2011,116.31
"ssd",2012,122.04
"ssd",2013,128.04
"ssd",2014,134.29
"ssd",2015,140.72
"ssd",2016,146.27
"tza",1990,301.59
"tza",1991,309.26
"tza",1992,320.23
"tza",1993,329.16
"tza",1994,342.29
"tza",1995,348.98
"tza",1996,355.82
"tza",1997,362.05
"tza",1998,370.08
"tza",1999,381.41
"tza",2000,388.71
"tza",2001,401.97
"tza",2002,417.4
"tza",2003,435.84
"tza",2004,456.49
"tza",2005,479.75
"tza",2006,497.02
"tza",2007,514.43
"tza",2008,536.42
"tza",2009,560.52
"tza",2010,589.59
"tza",2011,616.12
"tza",2012,646.94
"tza",2013,679.18
"tza",2014,709.93
"tza",2015,745.01
"tza",2016,781.48
"uga",1990,231.46
"uga",1991,241.25
"uga",1992,253.9
"uga",1993,264.93
"uga",1994,272.2
"uga",1995,272
"uga",1996,276.57
"uga",1997,279.98
"uga",1998,283.55
"uga",1999,293.92
"uga",2000,303.24
"uga",2001,309.96
"uga",2002,315.19
"uga",2003,323.62
"uga",2004,331.94
"uga",2005,332.84
"uga",2006,334.8
"uga",2007,341.02
"uga",2008,344
"uga",2009,346.33
"uga",2010,351.55
"uga",2011,359.96
"uga",2012,369.05
"uga",2013,382.84
"uga",2014,398.33
"uga",2015,415.16
"uga",2016,433.18
