"geo","time","malaria_cases_per_100000_reported"
"bdi",1990,1632
"bdi",1991,9766
"bdi",1992,13000
"bdi",1993,13670
"bdi",1994,13510
"bdi",1995,14940
"bdi",1996,15430
"bdi",1997,10520
"bdi",1998,10660
"bdi",1999,29620
"bdi",2000,45850
"bdi",2001,49210
"bdi",2002,37580
"bdi",2003,30980
"bdi",2004,23130
"bdi",2005,30050
"bdi",2006,26450
"cod",1996,425.9
"cod",1998,291.5
"cod",1999,3046
"cod",2000,1903
"cod",2001,4226
"cod",2003,7950
"cod",2006,8260
"ken",1994,22950
"ken",1995,15860
"ken",1996,13420
"ken",1998,272
"ken",1999,403.2
"ken",2000,237.4
"ken",2001,10170
"ken",2002,10090
"ken",2003,15070
"ken",2004,21760
"ken",2005,25790
"ken",2006,21770
"rwa",1990,17580
"rwa",1991,18890
"rwa",1992,20790
"rwa",1993,12010
"rwa",1994,6471
"rwa",1995,24660
"rwa",1996,19520
"rwa",1997,20920
"rwa",1998,18240
"rwa",1999,11840
"rwa",2001,11700
"rwa",2002,12180
"rwa",2003,13530
"rwa",2004,14240
"rwa",2005,17740
"rwa",2006,14990
"tza",1990,42030
"tza",1991,33080
"tza",1992,28200
"tza",1993,31180
"tza",1994,27470
"tza",1995,8153
"tza",1996,16180
"tza",1997,3593
"tza",1998,94580
"tza",1999,1284
"tza",2001,935.1
"tza",2002,1037
"tza",2003,31130
"tza",2004,31720
"tza",2005,29740
"tza",2006,26780
"uga",1992,12750
"uga",1993,7401
"uga",1994,10660
"uga",1995,6739
"uga",1997,10270
"uga",1998,12240
"uga",1999,12820
"uga",2001,35340
"uga",2002,37280
"uga",2003,40530
"uga",2004,42810
"uga",2005,55270
"uga",2006,42790
