"geo","time","malaria_deaths_in_children_1_59_months_total_deaths"
"bdi",1990,11353
"bdi",1991,11451.72
"bdi",1992,11563.3
"bdi",1993,11650.72
"bdi",1994,11456.66
"bdi",1995,11454.25
"bdi",1996,11424.79
"bdi",1997,11326.73
"bdi",1998,11594.7
"bdi",1999,11771.52
"bdi",2000,11864.19
"bdi",2001,12126.43
"bdi",2002,12348.6
"bdi",2003,11699.55
"bdi",2004,10274.42
"bdi",2005,7625.02
"bdi",2006,6706.52
"bdi",2007,6329.99
"bdi",2008,6183.28
"bdi",2009,6362.7
"bdi",2010,6371.48
"bdi",2011,5888.13
"bdi",2012,5004.41
"bdi",2013,5026.77
"bdi",2014,4505.99
"bdi",2015,4340.11
"bdi",2016,4332.77
"cod",1990,63737.69
"cod",1991,66188.45
"cod",1992,67660.35
"cod",1993,69705.79
"cod",1994,71423.73
"cod",1995,74631.47
"cod",1996,76708.24
"cod",1997,79370.62
"cod",1998,82044.12
"cod",1999,83330.71
"cod",2000,83723.3
"cod",2001,86331.66
"cod",2002,86669.02
"cod",2003,89031.51
"cod",2004,88144.69
"cod",2005,88988.05
"cod",2006,91328.91
"cod",2007,92117.74
"cod",2008,91994.24
"cod",2009,89522.16
"cod",2010,85680.54
"cod",2011,80483.36
"cod",2012,72545.25
"cod",2013,66999.94
"cod",2014,63676.76
"cod",2015,58237.54
"cod",2016,57948.8
"ken",1990,9243.31
"ken",1991,9782.59
"ken",1992,10061.79
"ken",1993,10181.22
"ken",1994,10290.34
"ken",1995,10529.26
"ken",1996,10589.5
"ken",1997,10570.26
"ken",1998,10912.69
"ken",1999,11100.58
"ken",2000,9306.14
"ken",2001,10738.72
"ken",2002,9974.45
"ken",2003,10721.51
"ken",2004,9497.64
"ken",2005,7632.37
"ken",2006,6375.86
"ken",2007,5464.11
"ken",2008,4694.92
"ken",2009,4005.52
"ken",2010,2380.6
"ken",2011,1026.02
"ken",2012,1030.4
"ken",2013,2248.9
"ken",2014,3093.28
"ken",2015,2960.36
"ken",2016,2941.01
"rwa",1990,6324.88
"rwa",1991,6589.16
"rwa",1992,6490.39
"rwa",1993,6373.53
"rwa",1994,6050.29
"rwa",1995,5891.27
"rwa",1996,5948.95
"rwa",1997,6192.94
"rwa",1998,6292.86
"rwa",1999,6547.6
"rwa",2000,6675.62
"rwa",2001,6934.07
"rwa",2002,6623.81
"rwa",2003,5299.34
"rwa",2004,3078.37
"rwa",2005,1854.19
"rwa",2006,1206.79
"rwa",2007,1075.46
"rwa",2008,1186.04
"rwa",2009,1275.11
"rwa",2010,1497.27
"rwa",2011,1533.09
"rwa",2012,1597.88
"rwa",2013,1515.81
"rwa",2014,1542.28
"rwa",2015,1518.4
"rwa",2016,1452.06
"ssd",1990,2673.5
"ssd",1991,2628.34
"ssd",1992,2544.54
"ssd",1993,2500.25
"ssd",1994,2474.43
"ssd",1995,2537.19
"ssd",1996,2593.45
"ssd",1997,2627.6
"ssd",1998,2769.27
"ssd",1999,2925.09
"ssd",2000,3110.45
"ssd",2001,3427.65
"ssd",2002,3539.36
"ssd",2003,3338.04
"ssd",2004,3358.93
"ssd",2005,3531.99
"ssd",2006,3568.01
"ssd",2007,3411.59
"ssd",2008,3276.4
"ssd",2009,2945.11
"ssd",2010,2633.51
"ssd",2011,2454.69
"ssd",2012,2297.64
"ssd",2013,2231.67
"ssd",2014,2389.59
"ssd",2015,2364.9
"ssd",2016,2377.33
"tza",1990,28237.5
"tza",1991,28504.55
"tza",1992,28511.73
"tza",1993,28628.23
"tza",1994,29211.26
"tza",1995,30041.4
"tza",1996,31123.57
"tza",1997,32059.17
"tza",1998,33344.11
"tza",1999,34820.22
"tza",2000,35884.28
"tza",2001,37233.07
"tza",2002,36942.19
"tza",2003,32573.83
"tza",2004,27578.94
"tza",2005,25215.86
"tza",2006,21463.92
"tza",2007,16724.37
"tza",2008,14346.21
"tza",2009,15559.28
"tza",2010,16813.66
"tza",2011,13917.4
"tza",2012,10752.71
"tza",2013,10598.06
"tza",2014,11013.55
"tza",2015,11135.22
"tza",2016,11092.91
"uga",1990,46337.31
"uga",1991,46789.04
"uga",1992,47149.38
"uga",1993,47391.22
"uga",1994,47221.76
"uga",1995,47261.34
"uga",1996,47142.05
"uga",1997,46831.86
"uga",1998,47156.14
"uga",1999,47571.29
"uga",2000,47838.53
"uga",2001,48582.21
"uga",2002,48807.79
"uga",2003,49566.76
"uga",2004,50800.98
"uga",2005,49103.15
"uga",2006,46220.83
"uga",2007,44365.16
"uga",2008,42589.65
"uga",2009,39332.02
"uga",2010,37359.92
"uga",2011,32665.43
"uga",2012,25025.84
"uga",2013,19458.69
"uga",2014,17143.8
"uga",2015,17376.73
"uga",2016,17442.96
