"geo","time","malaria_number_of_cases_reported"
"bdi",1990,92870
"bdi",1991,568900
"bdi",1992,773500
"bdi",1993,828400
"bdi",1994,831500
"bdi",1995,932800
"bdi",1996,974200
"bdi",1997,670900
"bdi",1998,687300
"bdi",1999,1937000
"bdi",2000,3057000
"bdi",2001,3366000
"bdi",2002,2649000
"bdi",2003,2260000
"bdi",2004,1750000
"bdi",2005,2362000
"bdi",2006,2161000
"cod",1996,198100
"cod",1998,141400
"cod",1999,1508000
"cod",2000,964600
"cod",2001,2199000
"cod",2003,4387000
"cod",2006,5009000
"ken",1994,6103000
"ken",1995,4343000
"ken",1996,3777000
"ken",1998,80720
"ken",1999,122800
"ken",2000,74190
"ken",2001,3263000
"ken",2002,3319000
"ken",2003,5091000
"ken",2004,7546000
"ken",2005,9181000
"ken",2006,7959000
"rwa",1990,1282000
"rwa",1991,1331000
"rwa",1992,1373000
"rwa",1993,733200
"rwa",1994,371600
"rwa",1995,1392000
"rwa",1996,1146000
"rwa",1997,1331000
"rwa",1998,1280000
"rwa",1999,906600
"rwa",2001,998100
"rwa",2002,1067000
"rwa",2003,1206000
"rwa",2004,1289000
"rwa",2005,1638000
"rwa",2006,1419000
"tza",1990,10720000
"tza",1991,8716000
"tza",1992,7682000
"tza",1993,8777000
"tza",1994,7977000
"tza",1995,2438000
"tza",1996,4969000
"tza",1997,1132000
"tza",1998,30500000
"tza",1999,424000
"tza",2001,324600
"tza",2002,369400
"tza",2003,11380000
"tza",2004,11900000
"tza",2005,11440000
"tza",2006,10570000
"uga",1992,2447000
"uga",1993,1471000
"uga",1994,2191000
"uga",1995,1431000
"uga",1997,2318000
"uga",1998,2846000
"uga",1999,3071000
"uga",2001,9000000
"uga",2002,9800000
"uga",2003,11000000
"uga",2004,12000000
"uga",2005,16000000
"uga",2006,12790000
