"geo","time","malaria_number_of_deaths_reported"
"bdi",2000,579
"bdi",2001,417
"bdi",2002,483
"bdi",2003,425
"bdi",2004,707
"bdi",2005,1942
"bdi",2006,434
"cod",2000,2540
"cod",2002,1928
"cod",2003,16500
"cod",2006,24350
"ken",1998,665
"ken",1999,1545
"ken",2000,683
"ken",2002,135
"rwa",1998,2736
"rwa",1999,1881
"rwa",2000,2678
"rwa",2001,4301
"rwa",2002,3200
"rwa",2003,2707
"rwa",2004,2365
"rwa",2005,2587
"rwa",2006,2347
"tza",2001,838
"tza",2002,441
"tza",2003,14940
"tza",2004,19550
"tza",2005,18080
"tza",2006,20780
"uga",2003,8450
"uga",2005,77000
"uga",2006,47000
