"geo","time","male_agriculture_workers_percent_of_male_employment"
"bdi",1991,86.48
"bdi",1992,87.057
"bdi",1993,87.467
"bdi",1994,86.917
"bdi",1995,87.204
"bdi",1996,88.077
"bdi",1997,87.207
"bdi",1998,87.163
"bdi",1999,87.285
"bdi",2000,87.222
"bdi",2001,86.969
"bdi",2002,86.879
"bdi",2003,86.857
"bdi",2004,86.665
"bdi",2005,86.658
"bdi",2006,86.659
"bdi",2007,85.964
"bdi",2008,86.179
"bdi",2009,86.168
"bdi",2010,85.911
"bdi",2011,85.975
"bdi",2012,85.873
"bdi",2013,85.655
"bdi",2014,85.43
"bdi",2015,86.104
"bdi",2016,85.787
"bdi",2017,85.887
"bdi",2018,85.929
"bdi",2019,85.857
"bdi",2020,85.772
"bdi",2021,85.676
"bdi",2022,85.564
"cod",1991,80.697
"cod",1992,81.741
"cod",1993,81.699
"cod",1994,82.326
"cod",1995,82.275
"cod",1996,80.998
"cod",1997,82.891
"cod",1998,82.941
"cod",1999,82.503
"cod",2000,80.214
"cod",2001,77.489
"cod",2002,76.994
"cod",2003,77.876
"cod",2004,77.84
"cod",2005,77.234
"cod",2006,76.908
"cod",2007,76.611
"cod",2008,76.008
"cod",2009,74.374
"cod",2010,73.739
"cod",2011,73.709
"cod",2012,73.626
"cod",2013,74.295
"cod",2014,76.929
"cod",2015,76.885
"cod",2016,76.522
"cod",2017,77.035
"cod",2018,77.119
"cod",2019,77.132
"cod",2020,76.99
"cod",2021,76.768
"cod",2022,76.566
"ken",1991,36.998
"ken",1992,37.613
"ken",1993,37.976
"ken",1994,37.981
"ken",1995,37.237
"ken",1996,36.521
"ken",1997,36.583
"ken",1998,36.466
"ken",1999,36.854
"ken",2000,37.571
"ken",2001,36.898
"ken",2002,36.239
"ken",2003,35.952
"ken",2004,34.84
"ken",2005,33.647
"ken",2006,31.574
"ken",2007,31.011
"ken",2008,31.764
"ken",2009,31.799
"ken",2010,31.391
"ken",2011,31.121
"ken",2012,30.763
"ken",2013,30.121
"ken",2014,29.903
"ken",2015,29.796
"ken",2016,30.072
"ken",2017,29.965
"ken",2018,29.295
"ken",2019,28.569
"ken",2020,27.894
"ken",2021,27.125
"ken",2022,26.467
"rwa",1991,83.336
"rwa",1992,82.58
"rwa",1993,82.997
"rwa",1994,86.012
"rwa",1995,84.429
"rwa",1996,84.027
"rwa",1997,83.657
"rwa",1998,83.621
"rwa",1999,83.286
"rwa",2000,83.088
"rwa",2001,82.796
"rwa",2002,81.968
"rwa",2003,81.307
"rwa",2004,80.326
"rwa",2005,79.05
"rwa",2006,77.566
"rwa",2007,75.963
"rwa",2008,73.964
"rwa",2009,72.684
"rwa",2010,70.825
"rwa",2011,68.978
"rwa",2012,66.896
"rwa",2013,62.952
"rwa",2014,57.936
"rwa",2015,56.63
"rwa",2016,56.185
"rwa",2017,55.643
"rwa",2018,54.757
"rwa",2019,53.747
"rwa",2020,52.721
"rwa",2021,51.655
"rwa",2022,50.571
"ssd",1991,66.428
"ssd",1992,66.874
"ssd",1993,67.052
"ssd",1994,67.464
"ssd",1995,67.144
"ssd",1996,66.828
"ssd",1997,66.338
"ssd",1998,58.811
"ssd",1999,58.661
"ssd",2000,58.579
"ssd",2001,58.37
"ssd",2002,57.94
"ssd",2003,57.913
"ssd",2004,57.52
"ssd",2005,57.147
"ssd",2006,56.827
"ssd",2007,56.405
"ssd",2008,56.106
"ssd",2009,55.161
"ssd",2010,54.624
"ssd",2011,57.147
"ssd",2012,64.797
"ssd",2013,63.472
"ssd",2014,63.099
"ssd",2015,64.604
"ssd",2016,66.646
"ssd",2017,67.838
"ssd",2018,68.156
"ssd",2019,68.289
"ssd",2020,68.002
"ssd",2021,66.996
"ssd",2022,66.646
"tza",1991,74.691
"tza",1992,75.092
"tza",1993,74.784
"tza",1994,74.948
"tza",1995,74.853
"tza",1996,74.838
"tza",1997,74.719
"tza",1998,74.412
"tza",1999,74.138
"tza",2000,73.804
"tza",2001,73.36
"tza",2002,72.964
"tza",2003,72.689
"tza",2004,72.318
"tza",2005,71.32
"tza",2006,71.329
"tza",2007,70.341
"tza",2008,70.178
"tza",2009,69.616
"tza",2010,69.055
"tza",2011,68.28
"tza",2012,67.734
"tza",2013,66.91
"tza",2014,65.394
"tza",2015,64.888
"tza",2016,64.292
"tza",2017,63.833
"tza",2018,63.129
"tza",2019,62.451
"tza",2020,61.716
"tza",2021,61.005
"tza",2022,60.329
"uga",1991,69.305
"uga",1992,69.276
"uga",1993,68.856
"uga",1994,68.181
"uga",1995,67.62
"uga",1996,66.333
"uga",1997,65.584
"uga",1998,65.415
"uga",1999,64.415
"uga",2000,63.719
"uga",2001,63.487
"uga",2002,62.182
"uga",2003,62.243
"uga",2004,65.122
"uga",2005,69.294
"uga",2006,69.073
"uga",2007,69.361
"uga",2008,69.233
"uga",2009,70.299
"uga",2010,67.341
"uga",2011,64.068
"uga",2012,61.572
"uga",2013,67.139
"uga",2014,66.716
"uga",2015,66.156
"uga",2016,65.531
"uga",2017,64.084
"uga",2018,63.521
"uga",2019,62.958
"uga",2020,62.27
"uga",2021,61.507
"uga",2022,61.139
