"geo","time","male_industry_workers_percent_of_male_employment"
"bdi",1991,4.166
"bdi",1992,3.765
"bdi",1993,3.896
"bdi",1994,3.968
"bdi",1995,3.829
"bdi",1996,3.548
"bdi",1997,3.987
"bdi",1998,3.869
"bdi",1999,3.928
"bdi",2000,3.912
"bdi",2001,3.948
"bdi",2002,3.978
"bdi",2003,4.113
"bdi",2004,4.228
"bdi",2005,4.413
"bdi",2006,4.215
"bdi",2007,4.434
"bdi",2008,4.215
"bdi",2009,4.342
"bdi",2010,4.447
"bdi",2011,4.349
"bdi",2012,4.321
"bdi",2013,4.353
"bdi",2014,4.521
"bdi",2015,4.211
"bdi",2016,4.25
"bdi",2017,4.295
"bdi",2018,4.307
"bdi",2019,4.321
"bdi",2020,4.338
"bdi",2021,4.355
"bdi",2022,4.376
"cod",1991,8.748
"cod",1992,8.319
"cod",1993,8.921
"cod",1994,8.854
"cod",1995,9.025
"cod",1996,10.986
"cod",1997,9.088
"cod",1998,9.014
"cod",1999,9.197
"cod",2000,11.299
"cod",2001,14.604
"cod",2002,15.002
"cod",2003,13.931
"cod",2004,13.881
"cod",2005,14.352
"cod",2006,14.533
"cod",2007,14.663
"cod",2008,15.457
"cod",2009,16.936
"cod",2010,12.986
"cod",2011,12.899
"cod",2012,13.22
"cod",2013,13.445
"cod",2014,13.777
"cod",2015,13.5
"cod",2016,13.527
"cod",2017,12.916
"cod",2018,12.836
"cod",2019,12.799
"cod",2020,12.916
"cod",2021,13.067
"cod",2022,13.171
"ken",1991,18.195
"ken",1992,17.509
"ken",1993,16.543
"ken",1994,16.996
"ken",1995,17.31
"ken",1996,18.707
"ken",1997,18.444
"ken",1998,18.371
"ken",1999,17.897
"ken",2000,18.826
"ken",2001,18.755
"ken",2002,18.694
"ken",2003,18.843
"ken",2004,19.057
"ken",2005,19.431
"ken",2006,20.849
"ken",2007,21.079
"ken",2008,20.573
"ken",2009,20.61
"ken",2010,20.552
"ken",2011,20.805
"ken",2012,20.608
"ken",2013,20.525
"ken",2014,20.529
"ken",2015,20.282
"ken",2016,20.018
"ken",2017,20.097
"ken",2018,20.195
"ken",2019,20.289
"ken",2020,20.379
"ken",2021,20.45
"ken",2022,20.554
"rwa",1991,4.545
"rwa",1992,4.805
"rwa",1993,4.91
"rwa",1994,4.645
"rwa",1995,4.676
"rwa",1996,4.804
"rwa",1997,4.78
"rwa",1998,4.793
"rwa",1999,4.792
"rwa",2000,4.725
"rwa",2001,4.781
"rwa",2002,4.931
"rwa",2003,5.255
"rwa",2004,5.654
"rwa",2005,6.075
"rwa",2006,6.763
"rwa",2007,7.344
"rwa",2008,8.269
"rwa",2009,8.802
"rwa",2010,9.513
"rwa",2011,10.444
"rwa",2012,11.491
"rwa",2013,12.362
"rwa",2014,13.453
"rwa",2015,13.841
"rwa",2016,13.909
"rwa",2017,14.013
"rwa",2018,14.252
"rwa",2019,14.43
"rwa",2020,14.697
"rwa",2021,14.981
"rwa",2022,15.282
"ssd",1991,12.515
"ssd",1992,12.316
"ssd",1993,12.283
"ssd",1994,12.161
"ssd",1995,12.348
"ssd",1996,12.454
"ssd",1997,12.648
"ssd",1998,15.154
"ssd",1999,15.238
"ssd",2000,15.289
"ssd",2001,15.38
"ssd",2002,15.585
"ssd",2003,15.603
"ssd",2004,15.816
"ssd",2005,15.989
"ssd",2006,16.145
"ssd",2007,16.352
"ssd",2008,16.49
"ssd",2009,16.733
"ssd",2010,17.641
"ssd",2011,16.343
"ssd",2012,13.012
"ssd",2013,14.715
"ssd",2014,14.959
"ssd",2015,14.121
"ssd",2016,13.297
"ssd",2017,12.623
"ssd",2018,13.078
"ssd",2019,13.2
"ssd",2020,13.274
"ssd",2021,13.678
"ssd",2022,14.041
"tza",1991,6.827
"tza",1992,6.816
"tza",1993,6.6
"tza",1994,6.562
"tza",1995,6.308
"tza",1996,6.354
"tza",1997,6.406
"tza",1998,6.766
"tza",1999,6.672
"tza",2000,6.648
"tza",2001,6.615
"tza",2002,6.838
"tza",2003,7.03
"tza",2004,7.08
"tza",2005,6.994
"tza",2006,7.2
"tza",2007,7.5
"tza",2008,7.726
"tza",2009,7.48
"tza",2010,7.803
"tza",2011,8.434
"tza",2012,8.383
"tza",2013,8.842
"tza",2014,9.223
"tza",2015,9.286
"tza",2016,9.016
"tza",2017,9.123
"tza",2018,9.286
"tza",2019,9.437
"tza",2020,9.568
"tza",2021,9.716
"tza",2022,9.82
"uga",1991,9.076
"uga",1992,9.114
"uga",1993,8.926
"uga",1994,9.014
"uga",1995,9.001
"uga",1996,9.541
"uga",1997,9.678
"uga",1998,9.729
"uga",1999,10.215
"uga",2000,9.878
"uga",2001,9.787
"uga",2002,10.029
"uga",2003,10.077
"uga",2004,8.947
"uga",2005,8.297
"uga",2006,8.295
"uga",2007,8.558
"uga",2008,8.753
"uga",2009,9.322
"uga",2010,9.213
"uga",2011,10.051
"uga",2012,10.846
"uga",2013,10.136
"uga",2014,10.069
"uga",2015,10.02
"uga",2016,10.037
"uga",2017,10.306
"uga",2018,10.486
"uga",2019,10.63
"uga",2020,10.792
"uga",2021,10.952
"uga",2022,11.072
