"geo","time","male_population_with_projections"
"bdi",1950,1105628
"bdi",1951,1130846
"bdi",1952,1153116
"bdi",1953,1174116
"bdi",1954,1195127
"bdi",1955,1217047
"bdi",1956,1240366
"bdi",1957,1265167
"bdi",1958,1291193
"bdi",1959,1317935
"bdi",1960,1344885
"bdi",1961,1371790
"bdi",1962,1398927
"bdi",1963,1427183
"bdi",1964,1457755
"bdi",1965,1491321
"bdi",1966,1528774
"bdi",1967,1569397
"bdi",1968,1610353
"bdi",1969,1647761
"bdi",1970,1679049
"bdi",1971,1703018
"bdi",1972,1721136
"bdi",1973,1736956
"bdi",1974,1755519
"bdi",1975,1780483
"bdi",1976,1813145
"bdi",1977,1852545
"bdi",1978,1897460
"bdi",1979,1945716
"bdi",1980,1995770
"bdi",1981,2046954
"bdi",1982,2099814
"bdi",1983,2155410
"bdi",1984,2215305
"bdi",1985,2280325
"bdi",1986,2351044
"bdi",1987,2426210
"bdi",1988,2502659
"bdi",1989,2576113
"bdi",1990,2643523
"bdi",1991,2704364
"bdi",1992,2759696
"bdi",1993,2810094
"bdi",1994,2856710
"bdi",1995,2900888
"bdi",1996,2942266
"bdi",1997,2981943
"bdi",1998,3024544
"bdi",1999,3076039
"bdi",2000,3140702
"bdi",2001,3220366
"bdi",2002,3313962
"bdi",2003,3419201
"bdi",2004,3532386
"bdi",2005,3650627
"bdi",2006,3773718
"bdi",2007,3902140
"bdi",2008,4034473
"bdi",2009,4169102
"bdi",2010,4304969
"bdi",2011,4441012
"bdi",2012,4577643
"bdi",2013,4716988
"bdi",2014,4862157
"bdi",2015,5015272
"bdi",2016,5177066
"bdi",2017,5346538
"bdi",2018,5522055
"bdi",2019,5701178
"bdi",2020,5882103
"bdi",2021,6064407
"bdi",2022,6248480
"bdi",2023,6434346
"bdi",2024,6622246
"bdi",2025,6812399
"bdi",2026,7004739
"bdi",2027,7199241
"bdi",2028,7396286
"bdi",2029,7596411
"bdi",2030,7800056
"bdi",2031,8007351
"bdi",2032,8218394
"bdi",2033,8433532
"bdi",2034,8653166
"bdi",2035,8877601
"bdi",2036,9106928
"bdi",2037,9341105
"bdi",2038,9580062
"bdi",2039,9823639
"bdi",2040,10071664
"bdi",2041,10324060
"bdi",2042,10580651
"bdi",2043,10841059
"bdi",2044,11104800
"bdi",2045,11371456
"bdi",2046,11640814
"bdi",2047,11912682
"bdi",2048,12186718
