"geo","time","male_self_employed_percent_of_male_employment"
"bdi",1991,90.375
"bdi",1992,90.151
"bdi",1993,90.091
"bdi",1994,89.47
"bdi",1995,89.803
"bdi",1996,91.333
"bdi",1997,90.372
"bdi",1998,90.428
"bdi",1999,90.363
"bdi",2000,90.513
"bdi",2001,90.245
"bdi",2002,90.094
"bdi",2003,90.339
"bdi",2004,90.185
"bdi",2005,90.151
"bdi",2006,90.025
"bdi",2007,88.778
"bdi",2008,89.223
"bdi",2009,89.164
"bdi",2010,89.158
"bdi",2011,89.038
"bdi",2012,89.03
"bdi",2013,88.896
"bdi",2014,88.667
"bdi",2015,89.217
"bdi",2016,88.893
"bdi",2017,88.95
"bdi",2018,88.963
"bdi",2019,88.95
"bdi",2020,88.935
"bdi",2021,88.92
"bdi",2022,88.902
"cod",1991,60.938
"cod",1992,61.476
"cod",1993,62.41
"cod",1994,62.639
"cod",1995,63.04
"cod",1996,62.217
"cod",1997,62.717
"cod",1998,63.331
"cod",1999,63.168
"cod",2000,63.173
"cod",2001,63.672
"cod",2002,63.608
"cod",2003,63.274
"cod",2004,62.364
"cod",2005,62.221
"cod",2006,61.81
"cod",2007,61.437
"cod",2008,60.795
"cod",2009,60.661
"cod",2010,60.224
"cod",2011,59.625
"cod",2012,59.145
"cod",2013,58.485
"cod",2014,57.808
"cod",2015,57.488
"cod",2016,57.338
"cod",2017,57.286
"cod",2018,57.236
"cod",2019,57.176
"cod",2020,57.106
"cod",2021,57.03
"cod",2022,56.95
"ken",1991,56.681
"ken",1992,56.193
"ken",1993,55.385
"ken",1994,55.156
"ken",1995,54.458
"ken",1996,54.996
"ken",1997,54.703
"ken",1998,54.251
"ken",1999,53.689
"ken",2000,53.624
"ken",2001,53.421
"ken",2002,53.56
"ken",2003,53.307
"ken",2004,53.195
"ken",2005,53.125
"ken",2006,54.064
"ken",2007,53.53
"ken",2008,53.062
"ken",2009,52.615
"ken",2010,51.687
"ken",2011,51.238
"ken",2012,50.775
"ken",2013,50.001
"ken",2014,49.193
"ken",2015,48.373
"ken",2016,47.682
"ken",2017,47.547
"ken",2018,47.379
"ken",2019,47.209
"ken",2020,47.043
"ken",2021,46.878
"ken",2022,46.712
"rwa",1991,88.903
"rwa",1992,88.777
"rwa",1993,88.625
"rwa",1994,90.644
"rwa",1995,90.759
"rwa",1996,90.411
"rwa",1997,90.313
"rwa",1998,89.881
"rwa",1999,89.014
"rwa",2000,88.888
"rwa",2001,88.769
"rwa",2002,88.231
"rwa",2003,80.316
"rwa",2004,80.377
"rwa",2005,79.129
"rwa",2006,78.423
"rwa",2007,76.921
"rwa",2008,75.995
"rwa",2009,75.607
"rwa",2010,74.992
"rwa",2011,74.642
"rwa",2012,74.336
"rwa",2013,73.793
"rwa",2014,73.576
"rwa",2015,72.944
"rwa",2016,72.726
"rwa",2017,72.696
"rwa",2018,72.63
"rwa",2019,72.558
"rwa",2020,72.484
"rwa",2021,72.408
"rwa",2022,72.334
"ssd",1991,56.444
"ssd",1992,56.629
"ssd",1993,56.498
"ssd",1994,56.481
"ssd",1995,55.918
"ssd",1996,55.526
"ssd",1997,55.021
"ssd",1998,54.808
"ssd",1999,54.504
"ssd",2000,54.252
"ssd",2001,53.892
"ssd",2002,53.451
"ssd",2003,53.271
"ssd",2004,52.807
"ssd",2005,52.421
"ssd",2006,52.067
"ssd",2007,51.627
"ssd",2008,51.222
"ssd",2009,48.098
"ssd",2010,48.659
"ssd",2011,51.186
"ssd",2012,57.47
"ssd",2013,52.321
"ssd",2014,51.688
"ssd",2015,52.572
"ssd",2016,54.496
"ssd",2017,54.408
"ssd",2018,54.293
"ssd",2019,54.174
"ssd",2020,54.054
"ssd",2021,53.934
"ssd",2022,53.814
"tza",1991,87.095
"tza",1992,92.511
"tza",1993,92.585
"tza",1994,92.222
"tza",1995,92.522
"tza",1996,92.595
"tza",1997,92.369
"tza",1998,90.61
"tza",1999,90.589
"tza",2000,90.386
"tza",2001,90.194
"tza",2002,85.989
"tza",2003,85.812
"tza",2004,85.688
"tza",2005,84.761
"tza",2006,84.696
"tza",2007,82.729
"tza",2008,82.629
"tza",2009,82.308
"tza",2010,82.238
"tza",2011,82.191
"tza",2012,77.018
"tza",2013,76.873
"tza",2014,82.629
"tza",2015,82.444
"tza",2016,82.252
"tza",2017,82.23
"tza",2018,82.155
"tza",2019,82.079
"tza",2020,82.002
"tza",2021,81.931
"tza",2022,81.861
"uga",1991,86.634
"uga",1992,86.5
"uga",1993,86.306
"uga",1994,85.878
"uga",1995,85.401
"uga",1996,84.196
"uga",1997,83.389
"uga",1998,83.333
"uga",1999,82.521
"uga",2000,80.835
"uga",2001,80.924
"uga",2002,79.762
"uga",2003,77.824
"uga",2004,76.305
"uga",2005,77.194
"uga",2006,76.206
"uga",2007,75.785
"uga",2008,75.393
"uga",2009,76.08
"uga",2010,74.687
"uga",2011,74.034
"uga",2012,73.984
"uga",2013,73.734
"uga",2014,73.269
"uga",2015,72.848
"uga",2016,72.197
"uga",2017,72.046
"uga",2018,71.969
"uga",2019,71.889
"uga",2020,71.809
"uga",2021,71.727
"uga",2022,71.656
