"geo","time","males_aged_15_64_labour_force_participation_rate_percent"
"bdi",1990,91.104
"bdi",1991,90.642
"bdi",1992,90.076
"bdi",1993,89.41
"bdi",1994,88.66
"bdi",1995,87.836
"bdi",1996,87.117
"bdi",1997,86.327
"bdi",1998,85.459
"bdi",1999,84.638
"bdi",2000,83.771
"bdi",2001,83.063
"bdi",2002,82.402
"bdi",2003,81.795
"bdi",2004,81.247
"bdi",2005,80.755
"bdi",2006,80.298
"bdi",2007,79.866
"bdi",2008,79.455
"bdi",2009,79.072
"bdi",2010,78.723
"bdi",2011,78.276
"bdi",2012,77.863
"bdi",2013,77.47
"bdi",2014,77.076
"bdi",2015,77.474
"bdi",2016,77.823
"bdi",2017,77.876
"bdi",2018,77.898
"bdi",2019,77.863
"bdi",2020,77.758
"bdi",2021,77.581
"bdi",2022,77.346
"bdi",2023,77.071
"bdi",2024,76.785
"bdi",2025,76.508
"bdi",2026,76.231
"bdi",2027,75.965
"bdi",2028,75.717
"bdi",2029,75.501
"bdi",2030,75.322
"cod",1990,71.776
"cod",1991,72.131
"cod",1992,72.483
"cod",1993,72.845
"cod",1994,72.979
"cod",1995,72.942
"cod",1996,73.121
"cod",1997,73.272
"cod",1998,73.286
"cod",1999,73.304
"cod",2000,73.366
"cod",2001,73.512
"cod",2002,73.565
"cod",2003,73.569
"cod",2004,73.542
"cod",2005,73.506
"cod",2006,73.626
"cod",2007,73.678
"cod",2008,73.695
"cod",2009,73.743
"cod",2010,73.733
"cod",2011,73.837
"cod",2012,73.894
"cod",2013,73.888
"cod",2014,73.818
"cod",2015,73.707
"cod",2016,73.703
"cod",2017,73.708
"cod",2018,73.705
"cod",2019,73.695
"cod",2020,73.68
"cod",2021,73.663
"cod",2022,73.644
"cod",2023,73.63
"cod",2024,73.624
"cod",2025,73.63
"cod",2026,73.647
"cod",2027,73.676
"cod",2028,73.721
"cod",2029,73.786
"cod",2030,73.873
"ken",1990,78.38
"ken",1991,78.012
"ken",1992,77.572
"ken",1993,77.05
"ken",1994,76.492
"ken",1995,75.941
"ken",1996,75.46
"ken",1997,75.135
"ken",1998,74.821
"ken",1999,74.498
"ken",2000,73.844
"ken",2001,73.145
"ken",2002,72.399
"ken",2003,71.619
"ken",2004,70.823
"ken",2005,70.013
"ken",2006,70.101
"ken",2007,70.325
"ken",2008,70.689
"ken",2009,70.896
"ken",2010,70.842
"ken",2011,70.75
"ken",2012,70.501
"ken",2013,70.118
