"geo","time","males_aged_15plus_employment_rate_percent"
"bdi",1991,87.987
"bdi",1992,87.401
"bdi",1993,86.718
"bdi",1994,85.958
"bdi",1995,85.123
"bdi",1996,84.375
"bdi",1997,83.563
"bdi",1998,82.675
"bdi",1999,81.894
"bdi",2000,81.08
"bdi",2001,80.433
"bdi",2002,79.835
"bdi",2003,79.291
"bdi",2004,78.807
"bdi",2005,78.376
"bdi",2006,77.977
"bdi",2007,77.598
"bdi",2008,77.242
"bdi",2009,76.921
"bdi",2010,76.634
"bdi",2011,76.246
"bdi",2012,75.893
"bdi",2013,75.558
"bdi",2014,75.1
"bdi",2015,75.493
"bdi",2016,75.795
"bdi",2017,75.882
"bdi",2018,75.936
"bdi",2019,75.931
"bdi",2020,75.857
"bdi",2021,75.71
"bdi",2022,75.506
"cod",1991,69.672
"cod",1992,70.045
"cod",1993,70.437
"cod",1994,70.588
"cod",1995,70.574
"cod",1996,70.743
"cod",1997,70.901
"cod",1998,70.928
"cod",1999,70.965
"cod",2000,71.049
"cod",2001,71.204
"cod",2002,71.26
"cod",2003,71.26
"cod",2004,71.226
"cod",2005,71.182
"cod",2006,71.285
"cod",2007,71.325
"cod",2008,71.331
"cod",2009,71.37
"cod",2010,71.356
"cod",2011,71.44
"cod",2012,71.48
"cod",2013,71.461
"cod",2014,71.378
"cod",2015,71.261
"cod",2016,71.248
"cod",2017,71.236
"cod",2018,71.216
"cod",2019,71.191
"cod",2020,71.163
"cod",2021,71.133
"cod",2022,71.104
"ken",1991,71.59
"ken",1992,71.227
"ken",1993,70.796
"ken",1994,70.332
"ken",1995,69.87
"ken",1996,69.445
"ken",1997,69.161
"ken",1998,68.896
"ken",1999,68.623
"ken",2000,67.999
"ken",2001,67.347
"ken",2002,66.641
"ken",2003,65.926
"ken",2004,65.203
"ken",2005,64.474
"ken",2006,64.476
"ken",2007,64.602
"ken",2008,64.853
"ken",2009,64.439
"ken",2010,64.446
"ken",2011,64.409
"ken",2012,64.246
"ken",2013,63.97
"ken",2014,63.662
"ken",2015,63.358
"ken",2016,63.034
"ken",2017,63.076
"ken",2018,63.11
"ken",2019,63.14
"ken",2020,63.163
"ken",2021,63.185
"ken",2022,63.2
"rwa",1991,92.125
"rwa",1992,91.362
"rwa",1993,90.353
"rwa",1994,89.693
"rwa",1995,88.332
"rwa",1996,87.838
"rwa",1997,87.798
"rwa",1998,88.099
"rwa",1999,88.382
"rwa",2000,88.38
"rwa",2001,88.091
"rwa",2002,87.546
"rwa",2003,86.776
"rwa",2004,86.05
"rwa",2005,85.597
"rwa",2006,85.336
"rwa",2007,85.343
"rwa",2008,85.455
"rwa",2009,85.54
"rwa",2010,85.457
"rwa",2011,85.306
"rwa",2012,85.045
"rwa",2013,85.622
"rwa",2014,86.074
"rwa",2015,85.794
"rwa",2016,85.405
"rwa",2017,85.239
"rwa",2018,85.071
"rwa",2019,84.896
"rwa",2020,84.712
"rwa",2021,84.527
"rwa",2022,84.34
"ssd",1991,69.13
"ssd",1992,69.256
"ssd",1993,69.076
"ssd",1994,69.05
"ssd",1995,69.046
"ssd",1996,69.198
"ssd",1997,69.276
"ssd",1998,69.514
"ssd",1999,69.583
"ssd",2000,69.553
"ssd",2001,69.542
"ssd",2002,69.374
"ssd",2003,69.217
"ssd",2004,68.862
"ssd",2005,68.606
"ssd",2006,68.436
"ssd",2007,68.216
"ssd",2008,68.023
"ssd",2009,67.769
"ssd",2010,67.393
"ssd",2011,67.464
"ssd",2012,67.421
"ssd",2013,66.152
"ssd",2014,66.239
"ssd",2015,66.011
"ssd",2016,66.207
"ssd",2017,66.262
"ssd",2018,66.342
"ssd",2019,66.375
"ssd",2020,66.349
"ssd",2021,66.261
"ssd",2022,66.355
"tza",1991,83.031
"tza",1992,82.898
"tza",1993,82.728
"tza",1994,82.523
"tza",1995,82.266
"tza",1996,82.135
"tza",1997,81.956
"tza",1998,81.746
"tza",1999,81.53
"tza",2000,81.337
"tza",2001,81.16
"tza",2002,82.072
"tza",2003,82.023
"tza",2004,81.968
"tza",2005,81.885
"tza",2006,81.876
"tza",2007,82.078
"tza",2008,82.373
"tza",2009,82.943
"tza",2010,82.625
"tza",2011,82.201
"tza",2012,83.521
"tza",2013,84.817
"tza",2014,86.131
"tza",2015,86.014
"tza",2016,85.861
"tza",2017,85.935
"tza",2018,86.01
"tza",2019,86.081
"tza",2020,86.148
"tza",2021,86.212
"tza",2022,86.274
"uga",1991,76.526
"uga",1992,76.781
"uga",1993,76.478
"uga",1994,76.182
"uga",1995,75.895
"uga",1996,75.588
"uga",1997,75.286
"uga",1998,74.997
"uga",1999,74.725
"uga",2000,74.462
"uga",2001,74.255
"uga",2002,74.069
"uga",2003,74.213
"uga",2004,74.582
"uga",2005,74.944
"uga",2006,74.572
"uga",2007,74.197
"uga",2008,73.82
"uga",2009,73.454
"uga",2010,73.538
"uga",2011,73.633
"uga",2012,73.827
"uga",2013,74.769
"uga",2014,74.483
"uga",2015,74.15
"uga",2016,73.817
"uga",2017,73.824
"uga",2018,73.833
"uga",2019,73.848
"uga",2020,73.871
"uga",2021,73.899
"uga",2022,73.934
