"geo","time","males_aged_65plus_labour_force_participation_rate_percent"
"bdi",1990,78.79
"bdi",1991,77.691
"bdi",1992,76.552
"bdi",1993,75.373
"bdi",1994,74.155
"bdi",1995,72.899
"bdi",1996,71.604
"bdi",1997,70.274
"bdi",1998,68.907
"bdi",1999,68.824
"bdi",2000,68.741
"bdi",2001,68.658
"bdi",2002,68.574
"bdi",2003,68.491
"bdi",2004,68.407
"bdi",2005,68.323
"bdi",2006,68.239
"bdi",2007,68.155
"bdi",2008,68.071
"bdi",2009,67.986
"bdi",2010,67.902
"bdi",2011,67.817
"bdi",2012,67.733
"bdi",2013,67.648
"bdi",2014,67.563
"bdi",2015,68.143
"bdi",2016,68.51
"bdi",2017,68.399
"bdi",2018,68.288
"bdi",2019,68.177
"bdi",2020,68.065
"bdi",2021,67.954
"bdi",2022,67.843
"bdi",2023,67.732
"bdi",2024,67.621
"bdi",2025,67.509
"bdi",2026,67.398
"bdi",2027,67.287
"bdi",2028,67.176
"bdi",2029,67.065
"bdi",2030,66.953
"cod",1990,64.97
"cod",1991,65.962
"cod",1992,67.086
"cod",1993,68.393
"cod",1994,68.927
"cod",1995,69.059
"cod",1996,69.417
"cod",1997,70.002
"cod",1998,70.256
"cod",1999,70.664
"cod",2000,71.261
"cod",2001,71.641
"cod",2002,71.696
"cod",2003,71.587
"cod",2004,71.401
"cod",2005,71.239
"cod",2006,71.219
"cod",2007,71.107
"cod",2008,70.973
"cod",2009,71.031
"cod",2010,70.825
"cod",2011,70.699
"cod",2012,70.523
"cod",2013,70.236
"cod",2014,69.885
"cod",2015,69.621
"cod",2016,69.683
"cod",2017,69.596
"cod",2018,69.51
"cod",2019,69.424
"cod",2020,69.337
"cod",2021,69.251
"cod",2022,69.164
"cod",2023,69.078
"cod",2024,68.991
"cod",2025,68.905
"cod",2026,68.819
"cod",2027,68.732
"cod",2028,68.646
"cod",2029,68.559
"cod",2030,68.473
"ken",1990,60.075
"ken",1991,59.935
"ken",1992,59.853
"ken",1993,59.631
"ken",1994,59.236
"ken",1995,58.729
"ken",1996,58.333
"ken",1997,58.244
"ken",1998,57.987
"ken",1999,57.76
"ken",2000,58.666
"ken",2001,59.566
"ken",2002,60.46
"ken",2003,61.347
"ken",2004,62.226
"ken",2005,63.098
"ken",2006,62.653
"ken",2007,62.261
"ken",2008,62.407
"ken",2009,62.264
"ken",2010,61.649
"ken",2011,61.158
"ken",2012,60.68
"ken",2013,60.044
"ken",2014,59.42
"ken",2015,58.783
"ken",2016,58.073
"ken",2017,58.144
"ken",2018,58.215
"ken",2019,58.286
"ken",2020,58.356
"ken",2021,58.427
"ken",2022,58.498
"ken",2023,58.569
"ken",2024,58.64
"ken",2025,58.711
"ken",2026,58.782
"ken",2027,58.853
"ken",2028,58.923
"ken",2029,58.994
"ken",2030,59.065
"rwa",1990,69.085
"rwa",1991,68.696
"rwa",1992,67.149
"rwa",1993,66.024
"rwa",1994,68.993
"rwa",1995,65.749
"rwa",1996,64.86
"rwa",1997,64.534
"rwa",1998,64.962
"rwa",1999,65.422
"rwa",2000,65.426
"rwa",2001,64.875
"rwa",2002,63.706
"rwa",2003,63.123
"rwa",2004,62.214
"rwa",2005,61.545
"rwa",2006,60.892
"rwa",2007,60.554
"rwa",2008,60.104
"rwa",2009,59.957
"rwa",2010,59.618
"rwa",2011,59.221
"rwa",2012,58.642
"rwa",2013,58.263
"rwa",2014,57.691
"rwa",2015,57.123
"rwa",2016,56.572
"rwa",2017,56.344
"rwa",2018,56.115
"rwa",2019,55.887
"rwa",2020,55.659
"rwa",2021,55.43
"rwa",2022,55.202
"rwa",2023,54.974
"rwa",2024,54.745
"rwa",2025,54.517
"rwa",2026,54.289
"rwa",2027,54.06
"rwa",2028,53.832
"rwa",2029,53.604
"rwa",2030,53.375
"ssd",1990,62.489
"ssd",1991,62.682
"ssd",1992,62.695
"ssd",1993,62.591
"ssd",1994,62.546
"ssd",1995,62.762
"ssd",1996,62.903
"ssd",1997,63.015
"ssd",1998,63.142
"ssd",1999,63.222
"ssd",2000,63.187
"ssd",2001,63.263
"ssd",2002,63.186
"ssd",2003,62.99
"ssd",2004,62.748
"ssd",2005,62.516
"ssd",2006,62.372
"ssd",2007,62.203
"ssd",2008,62
"ssd",2009,61.729
"ssd",2010,61.367
"ssd",2011,61.164
"ssd",2012,60.885
"ssd",2013,60.546
"ssd",2014,60.177
"ssd",2015,59.795
"ssd",2016,59.538
"ssd",2017,59.395
"ssd",2018,59.253
"ssd",2019,59.111
"ssd",2020,58.968
"ssd",2021,58.826
"ssd",2022,58.683
"ssd",2023,58.541
"ssd",2024,58.398
"ssd",2025,58.256
"ssd",2026,58.113
"ssd",2027,57.971
"ssd",2028,57.828
"ssd",2029,57.686
"ssd",2030,57.543
"tza",1990,81.631
"tza",1991,81.7
"tza",1992,81.817
"tza",1993,81.87
"tza",1994,81.867
"tza",1995,81.713
"tza",1996,81.609
"tza",1997,81.506
"tza",1998,81.359
"tza",1999,81.147
"tza",2000,80.948
"tza",2001,80.753
"tza",2002,80.533
"tza",2003,80.354
"tza",2004,80.127
"tza",2005,79.87
"tza",2006,79.831
"tza",2007,79.542
"tza",2008,79.384
"tza",2009,79.238
"tza",2010,79.049
"tza",2011,78.8
"tza",2012,76.531
"tza",2013,74.1
"tza",2014,71.51
"tza",2015,71.255
"tza",2016,70.995
"tza",2017,70.789
"tza",2018,70.583
"tza",2019,70.376
"tza",2020,70.17
"tza",2021,69.964
"tza",2022,69.758
"tza",2023,69.552
"tza",2024,69.346
"tza",2025,69.14
"tza",2026,68.933
"tza",2027,68.727
"tza",2028,68.521
"tza",2029,68.315
"tza",2030,68.109
"uga",1990,64.767
"uga",1991,64.85
"uga",1992,64.636
"uga",1993,64.422
"uga",1994,64.207
"uga",1995,63.992
"uga",1996,63.776
"uga",1997,63.559
"uga",1998,63.342
"uga",1999,63.125
"uga",2000,62.907
"uga",2001,62.688
"uga",2002,62.469
"uga",2003,62.249
"uga",2004,62.029
"uga",2005,61.808
"uga",2006,61.587
"uga",2007,61.365
"uga",2008,61.143
"uga",2009,60.921
"uga",2010,60.697
"uga",2011,60.474
"uga",2012,60.25
"uga",2013,60.048
"uga",2014,59.7
"uga",2015,59.325
"uga",2016,59.008
"uga",2017,58.864
"uga",2018,58.72
"uga",2019,58.575
"uga",2020,58.431
"uga",2021,58.287
"uga",2022,58.142
"uga",2023,57.998
"uga",2024,57.854
"uga",2025,57.709
"uga",2026,57.565
"uga",2027,57.421
"uga",2028,57.276
"uga",2029,57.132
"uga",2030,56.988
