"geo","time","malnutrition_weight_for_age_percent_of_children_under_5"
"bdi",1987,33.6
"bdi",2000,38.9
"bdi",2005,35.2
"bdi",2010,29.1
"bdi",2016,29.3
"cod",1995,30.7
"cod",2001,33.6
"cod",2007,28.2
"cod",2010,24.2
"cod",2013,23.4
"ken",1993,20.1
"ken",1994,19.8
"ken",1998,17.5
"ken",2000,17.5
"ken",2003,16.5
"ken",2005,18.4
"ken",2009,16.4
"ken",2014,11
"rwa",1992,24.3
"rwa",1996,22.6
"rwa",2000,20.3
"rwa",2005,18
"rwa",2010,11.7
"rwa",2015,9.3
"ssd",2006,32.5
"ssd",2010,27.6
"tza",1991,25.1
"tza",1996,26.9
"tza",1999,25.3
"tza",2004,16.7
"tza",2009,15.9
"tza",2010,16.2
"tza",2011,13.6
"tza",2013,13
"tza",2014,13.4
"tza",2015,13.7
"uga",1988,19.7
"uga",1995,20.8
"uga",2000,19
"uga",2006,16.4
"uga",2011,14.1
"uga",2012,12
"uga",2016,10.5
