"geo","time","maternal_deaths_total_number"
"bdi",1980,1632
"bdi",1990,3613
"bdi",1995,3667
"bdi",2000,2923
"bdi",2005,3143
"bdi",2010,3459
"bdi",2013,3400
"cod",1980,6110
"cod",1990,16860
"cod",1995,21870
"cod",2000,25080
"cod",2005,23950
"cod",2010,23390
"cod",2013,21000
"ken",1980,3990
"ken",1990,4841
"ken",1995,5560
"ken",2000,6819
"ken",2005,7504
"ken",2010,6841
"ken",2013,6300
"rwa",1980,2091
"rwa",1990,4496
"rwa",1995,4044
"rwa",2000,3122
"rwa",2005,2146
"rwa",2010,1418
"rwa",2013,1300
"ssd",1990,4794
"ssd",1995,3944
"ssd",2000,3430
"ssd",2005,3307
"ssd",2010,3217
"ssd",2013,3000
"tza",1980,5277
"tza",1990,10260
"tza",1995,11250
"tza",2000,11020
"tza",2005,10120
"tza",2010,8633
"tza",2013,7900
"uga",1980,2684
"uga",1990,6757
"uga",1995,7457
"uga",2000,7508
"uga",2005,6755
"uga",2010,6121
"uga",2013,5900
