"geo","time","maternal_mortality_ratio_per_100000_live_births"
"bdi",1980,775.9
"bdi",1990,1300
"bdi",1995,1300
"bdi",2000,1000
"bdi",2005,910
"bdi",2010,820
"bdi",2013,740
"cod",1980,498
"cod",1990,1000
"cod",1995,1100
"cod",2000,1100
"cod",2005,930
"cod",2010,810
"cod",2013,730
"ken",1980,494.3
"ken",1990,490
"ken",1995,530
"ken",2000,570
"ken",2005,550
"ken",2010,460
"ken",2013,400
"rwa",1980,755
"rwa",1990,1400
"rwa",1995,1400
"rwa",2000,1000
"rwa",2005,610
"rwa",2010,390
"rwa",2013,320
"ssd",1990,1800
"ssd",1995,1500
"ssd",2000,1200
"ssd",2005,1000
"ssd",2010,830
"ssd",2013,730
"tza",1980,603.2
"tza",1990,910
"tza",1995,890
"tza",2000,770
"tza",2005,610
"tza",2010,460
"tza",2013,410
"uga",1980,435.3
"uga",1990,780
"uga",1995,740
"uga",2000,650
"uga",2005,510
"uga",2010,410
"uga",2013,360
