"geo","time","mcv_immunized_percent_of_one_year_olds"
"bdi",1981,28
"bdi",1982,40
"bdi",1983,54
"bdi",1984,27
"bdi",1985,32
"bdi",1986,59
"bdi",1987,54
"bdi",1988,46
"bdi",1989,73
"bdi",1990,74
"bdi",1991,74
"bdi",1992,69
"bdi",1993,69
"bdi",1994,42
"bdi",1995,80
"bdi",1996,79
"bdi",1997,77
"bdi",1998,70
"bdi",1999,75
"bdi",2000,76
"bdi",2001,76
"bdi",2002,77
"bdi",2003,77
"bdi",2004,78
"bdi",2005,87
"bdi",2006,92
"bdi",2007,88
"bdi",2008,84
"bdi",2009,91
"bdi",2010,92
"bdi",2011,92
"cod",1980,18
"cod",1981,23
"cod",1982,25
"cod",1983,30
"cod",1984,30
"cod",1985,40
"cod",1986,39
"cod",1987,41
"cod",1988,44
"cod",1989,41
"cod",1990,38
"cod",1991,17
"cod",1992,25
"cod",1993,33
"cod",1994,39
"cod",1995,27
"cod",1996,21
"cod",1997,20
"cod",1998,20
"cod",1999,15
"cod",2000,46
"cod",2001,35
"cod",2002,42
"cod",2003,49
"cod",2004,57
"cod",2005,61
"cod",2006,63
"cod",2007,68
"cod",2008,64
"cod",2009,72
"cod",2010,73
"cod",2011,71
"ken",1984,55
"ken",1985,63
"ken",1986,65
"ken",1987,69
"ken",1988,72
"ken",1989,75
"ken",1990,78
"ken",1991,81
"ken",1992,84
"ken",1993,84
"ken",1994,84
"ken",1995,83
"ken",1996,81
"ken",1997,79
"ken",1998,90
"ken",1999,76
"ken",2000,78
"ken",2001,77
"ken",2002,78
"ken",2003,72
"ken",2004,73
"ken",2005,69
"ken",2006,77
"ken",2007,80
"ken",2008,90
"ken",2009,88
"ken",2010,86
"ken",2011,87
"rwa",1981,42
"rwa",1982,48
"rwa",1983,53
"rwa",1984,53
"rwa",1985,52
"rwa",1986,79
"rwa",1987,78
"rwa",1988,79
"rwa",1989,83
"rwa",1990,83
"rwa",1991,89
"rwa",1992,82
"rwa",1993,74
"rwa",1994,25
"rwa",1995,84
"rwa",1996,76
"rwa",1997,66
"rwa",1998,72
"rwa",1999,78
"rwa",2000,74
"rwa",2001,69
"rwa",2002,69
"rwa",2003,90
"rwa",2004,84
"rwa",2005,89
"rwa",2006,95
"rwa",2007,94
"rwa",2008,92
"rwa",2009,95
"rwa",2010,95
"rwa",2011,95
"ssd",2011,64
"tza",1980,46
"tza",1981,51
"tza",1982,50
"tza",1983,60
"tza",1984,55
"tza",1985,66
"tza",1986,97
"tza",1987,78
"tza",1988,83
"tza",1989,79
"tza",1990,80
"tza",1991,79
"tza",1992,81
"tza",1993,77
"tza",1994,79
"tza",1995,78
"tza",1996,78
"tza",1997,73
"tza",1998,72
"tza",1999,72
"tza",2000,78
"tza",2001,86
"tza",2002,89
"tza",2003,97
"tza",2004,94
"tza",2005,91
"tza",2006,93
"tza",2007,90
"tza",2008,88
"tza",2009,91
"tza",2010,92
"tza",2011,93
"uga",1981,22
"uga",1982,21
"uga",1983,20
"uga",1984,18
"uga",1985,17
"uga",1986,27
"uga",1987,38
"uga",1988,49
"uga",1989,51
"uga",1990,52
"uga",1991,54
"uga",1992,56
"uga",1993,57
"uga",1994,59
"uga",1995,57
"uga",1996,55
"uga",1997,54
"uga",1998,50
"uga",1999,55
"uga",2000,57
"uga",2001,59
"uga",2002,62
"uga",2003,64
"uga",2004,66
"uga",2005,68
"uga",2006,75
"uga",2007,75
"uga",2008,70
"uga",2009,77
"uga",2010,73
"uga",2011,75
