"geo","time","mean_years_in_school_men_25_years_and_older"
"bdi",1970,1.1
"bdi",1971,1.1
"bdi",1972,1.2
"bdi",1973,1.2
"bdi",1974,1.3
"bdi",1975,1.3
"bdi",1976,1.4
"bdi",1977,1.4
"bdi",1978,1.5
"bdi",1979,1.5
"bdi",1980,1.6
"bdi",1981,1.6
"bdi",1982,1.7
"bdi",1983,1.8
"bdi",1984,1.8
"bdi",1985,1.9
"bdi",1986,1.9
"bdi",1987,2
"bdi",1988,2
"bdi",1989,2.1
"bdi",1990,2.2
"bdi",1991,2.2
"bdi",1992,2.3
"bdi",1993,2.3
"bdi",1994,2.4
"bdi",1995,2.5
"bdi",1996,2.5
"bdi",1997,2.6
"bdi",1998,2.7
"bdi",1999,2.7
"bdi",2000,2.8
"bdi",2001,2.9
"bdi",2002,3
"bdi",2003,3
"bdi",2004,3.1
"bdi",2005,3.2
"bdi",2006,3.3
"bdi",2007,3.4
"bdi",2008,3.4
"bdi",2009,3.5
"cod",1970,2.9
"cod",1971,3
"cod",1972,3.1
"cod",1973,3.2
"cod",1974,3.4
"cod",1975,3.5
"cod",1976,3.6
"cod",1977,3.7
"cod",1978,3.8
"cod",1979,4
"cod",1980,4.1
"cod",1981,4.2
"cod",1982,4.4
"cod",1983,4.5
"cod",1984,4.6
"cod",1985,4.8
"cod",1986,4.9
"cod",1987,5
"cod",1988,5.1
"cod",1989,5.2
"cod",1990,5.4
"cod",1991,5.5
"cod",1992,5.6
"cod",1993,5.7
"cod",1994,5.8
"cod",1995,6
"cod",1996,6.1
"cod",1997,6.2
"cod",1998,6.3
"cod",1999,6.4
"cod",2000,6.6
"cod",2001,6.7
"cod",2002,6.8
"cod",2003,6.9
"cod",2004,7
"cod",2005,7.1
"cod",2006,7.3
"cod",2007,7.4
"cod",2008,7.5
"cod",2009,7.6
"ken",1970,2.5
"ken",1971,2.6
"ken",1972,2.7
"ken",1973,2.8
"ken",1974,2.9
"ken",1975,3
"ken",1976,3.2
"ken",1977,3.3
"ken",1978,3.4
"ken",1979,3.5
"ken",1980,3.7
"ken",1981,3.8
"ken",1982,3.9
"ken",1983,4.1
"ken",1984,4.2
"ken",1985,4.3
"ken",1986,4.5
"ken",1987,4.6
"ken",1988,4.7
"ken",1989,4.9
"ken",1990,5
"ken",1991,5.1
"ken",1992,5.3
"ken",1993,5.4
"ken",1994,5.5
"ken",1995,5.7
"ken",1996,5.8
"ken",1997,6
"ken",1998,6.1
"ken",1999,6.2
"ken",2000,6.4
"ken",2001,6.5
"ken",2002,6.7
"ken",2003,6.8
"ken",2004,6.9
"ken",2005,7.1
"ken",2006,7.2
"ken",2007,7.4
"ken",2008,7.5
"ken",2009,7.6
"rwa",1970,1.2
"rwa",1971,1.3
"rwa",1972,1.3
"rwa",1973,1.4
"rwa",1974,1.5
"rwa",1975,1.5
"rwa",1976,1.6
"rwa",1977,1.6
"rwa",1978,1.7
"rwa",1979,1.8
"rwa",1980,1.8
"rwa",1981,1.9
"rwa",1982,2
"rwa",1983,2
"rwa",1984,2.1
"rwa",1985,2.2
"rwa",1986,2.3
"rwa",1987,2.3
"rwa",1988,2.4
"rwa",1989,2.5
"rwa",1990,2.6
"rwa",1991,2.6
"rwa",1992,2.7
"rwa",1993,2.8
"rwa",1994,2.9
"rwa",1995,2.9
"rwa",1996,3
"rwa",1997,3.1
"rwa",1998,3.2
"rwa",1999,3.3
"rwa",2000,3.4
"rwa",2001,3.4
"rwa",2002,3.5
"rwa",2003,3.6
"rwa",2004,3.7
"rwa",2005,3.8
"rwa",2006,3.9
"rwa",2007,3.9
"rwa",2008,4
"rwa",2009,4.1
"tza",1970,2
"tza",1971,2
"tza",1972,2.1
"tza",1973,2.2
"tza",1974,2.3
"tza",1975,2.4
"tza",1976,2.4
"tza",1977,2.5
"tza",1978,2.6
"tza",1979,2.7
"tza",1980,2.8
"tza",1981,2.9
"tza",1982,3
"tza",1983,3.1
"tza",1984,3.2
"tza",1985,3.3
"tza",1986,3.4
"tza",1987,3.5
"tza",1988,3.6
"tza",1989,3.7
"tza",1990,3.8
"tza",1991,3.9
"tza",1992,4
"tza",1993,4.1
"tza",1994,4.2
"tza",1995,4.3
"tza",1996,4.4
"tza",1997,4.5
"tza",1998,4.6
"tza",1999,4.7
"tza",2000,4.8
"tza",2001,4.9
"tza",2002,5
"tza",2003,5.1
"tza",2004,5.2
"tza",2005,5.3
"tza",2006,5.4
"tza",2007,5.5
"tza",2008,5.6
"tza",2009,5.7
"uga",1970,2.2
"uga",1971,2.3
"uga",1972,2.4
"uga",1973,2.5
"uga",1974,2.6
"uga",1975,2.7
"uga",1976,2.8
"uga",1977,2.9
"uga",1978,3
"uga",1979,3.1
"uga",1980,3.2
"uga",1981,3.3
"uga",1982,3.4
"uga",1983,3.5
"uga",1984,3.6
"uga",1985,3.7
"uga",1986,3.8
"uga",1987,3.9
"uga",1988,4
"uga",1989,4
"uga",1990,4.1
"uga",1991,4.2
"uga",1992,4.3
"uga",1993,4.4
"uga",1994,4.5
"uga",1995,4.6
"uga",1996,4.7
"uga",1997,4.9
"uga",1998,5
"uga",1999,5.1
"uga",2000,5.2
"uga",2001,5.3
"uga",2002,5.4
"uga",2003,5.5
"uga",2004,5.6
"uga",2005,5.7
"uga",2006,5.8
"uga",2007,5.9
"uga",2008,6
"uga",2009,6.1
