"geo","time","mean_years_in_school_men_55_to_64_years"
"bdi",1970,0.97
"bdi",1971,1
"bdi",1972,1.03
"bdi",1973,1.06
"bdi",1974,1.09
"bdi",1975,1.12
"bdi",1976,1.15
"bdi",1977,1.18
"bdi",1978,1.22
"bdi",1979,1.25
"bdi",1980,1.29
"bdi",1981,1.32
"bdi",1982,1.36
"bdi",1983,1.4
"bdi",1984,1.44
"bdi",1985,1.48
"bdi",1986,1.52
"bdi",1987,1.56
"bdi",1988,1.61
"bdi",1989,1.65
"bdi",1990,1.7
"bdi",1991,1.75
"bdi",1992,1.8
"bdi",1993,1.85
"bdi",1994,1.9
"bdi",1995,1.96
"bdi",1996,2.02
"bdi",1997,2.08
"bdi",1998,2.14
"bdi",1999,2.2
"bdi",2000,2.26
"bdi",2001,2.33
"bdi",2002,2.39
"bdi",2003,2.46
"bdi",2004,2.53
"bdi",2005,2.59
"bdi",2006,2.66
"bdi",2007,2.73
"bdi",2008,2.81
"bdi",2009,2.88
"bdi",2010,2.95
"bdi",2011,3.03
"bdi",2012,3.1
"bdi",2013,3.18
"bdi",2014,3.26
"bdi",2015,3.34
"cod",1970,2.45
"cod",1971,2.52
"cod",1972,2.58
"cod",1973,2.65
"cod",1974,2.71
"cod",1975,2.78
"cod",1976,2.85
"cod",1977,2.93
"cod",1978,3
"cod",1979,3.08
"cod",1980,3.15
"cod",1981,3.23
"cod",1982,3.31
"cod",1983,3.39
"cod",1984,3.48
"cod",1985,3.56
"cod",1986,3.65
"cod",1987,3.74
"cod",1988,3.83
"cod",1989,3.92
"cod",1990,4.02
"cod",1991,4.12
"cod",1992,4.21
"cod",1993,4.32
"cod",1994,4.42
"cod",1995,4.52
"cod",1996,4.64
"cod",1997,4.75
"cod",1998,4.86
"cod",1999,4.97
"cod",2000,5.09
"cod",2001,5.21
"cod",2002,5.32
"cod",2003,5.44
"cod",2004,5.56
"cod",2005,5.68
"cod",2006,5.8
"cod",2007,5.93
"cod",2008,6.05
"cod",2009,6.17
"cod",2010,6.3
"cod",2011,6.42
"cod",2012,6.55
"cod",2013,6.68
"cod",2014,6.81
"cod",2015,6.93
"ken",1970,1.6
"ken",1971,1.65
"ken",1972,1.7
"ken",1973,1.75
"ken",1974,1.81
"ken",1975,1.86
"ken",1976,1.92
"ken",1977,1.98
"ken",1978,2.05
"ken",1979,2.11
"ken",1980,2.18
"ken",1981,2.25
