"geo","time","mean_years_in_school_men_65_plus_years"
"bdi",1970,0.52
"bdi",1971,0.53
"bdi",1972,0.55
"bdi",1973,0.57
"bdi",1974,0.58
"bdi",1975,0.6
"bdi",1976,0.62
"bdi",1977,0.64
"bdi",1978,0.66
"bdi",1979,0.68
"bdi",1980,0.7
"bdi",1981,0.72
"bdi",1982,0.74
"bdi",1983,0.76
"bdi",1984,0.79
"bdi",1985,0.81
"bdi",1986,0.83
"bdi",1987,0.86
"bdi",1988,0.89
"bdi",1989,0.92
"bdi",1990,0.94
"bdi",1991,0.97
"bdi",1992,1.01
"bdi",1993,1.04
"bdi",1994,1.07
"bdi",1995,1.11
"bdi",1996,1.15
"bdi",1997,1.19
"bdi",1998,1.23
"bdi",1999,1.27
"bdi",2000,1.31
"bdi",2001,1.35
"bdi",2002,1.4
"bdi",2003,1.44
"bdi",2004,1.49
"bdi",2005,1.53
"bdi",2006,1.58
"bdi",2007,1.63
"bdi",2008,1.67
"bdi",2009,1.72
"bdi",2010,1.77
"bdi",2011,1.82
"bdi",2012,1.88
"bdi",2013,1.93
"bdi",2014,1.98
"bdi",2015,2.03
"cod",1970,1.65
"cod",1971,1.69
"cod",1972,1.74
"cod",1973,1.79
"cod",1974,1.83
"cod",1975,1.88
"cod",1976,1.93
"cod",1977,1.98
"cod",1978,2.04
"cod",1979,2.09
"cod",1980,2.15
"cod",1981,2.2
"cod",1982,2.26
"cod",1983,2.32
"cod",1984,2.38
"cod",1985,2.44
"cod",1986,2.51
"cod",1987,2.57
"cod",1988,2.64
"cod",1989,2.71
"cod",1990,2.78
"cod",1991,2.85
"cod",1992,2.93
"cod",1993,3.01
"cod",1994,3.08
"cod",1995,3.16
"cod",1996,3.25
"cod",1997,3.34
"cod",1998,3.43
"cod",1999,3.51
"cod",2000,3.61
"cod",2001,3.7
"cod",2002,3.79
"cod",2003,3.89
"cod",2004,3.98
"cod",2005,4.08
"cod",2006,4.18
"cod",2007,4.28
"cod",2008,4.38
"cod",2009,4.48
"cod",2010,4.58
"cod",2011,4.69
"cod",2012,4.79
"cod",2013,4.9
"cod",2014,5.01
"cod",2015,5.12
"ken",1970,0.87
"ken",1971,0.9
"ken",1972,0.93
"ken",1973,0.95
"ken",1974,0.98
"ken",1975,1.01
"ken",1976,1.05
"ken",1977,1.08
"ken",1978,1.11
"ken",1979,1.15
"ken",1980,1.18
"ken",1981,1.22
"ken",1982,1.26
"ken",1983,1.3
"ken",1984,1.34
"ken",1985,1.39
"ken",1986,1.43
"ken",1987,1.48
"ken",1988,1.53
"ken",1989,1.58
"ken",1990,1.63
"ken",1991,1.69
"ken",1992,1.75
"ken",1993,1.81
"ken",1994,1.87
"ken",1995,1.94
"ken",1996,2
"ken",1997,2.06
"ken",1998,2.12
"ken",1999,2.19
"ken",2000,2.26
"ken",2001,2.32
"ken",2002,2.39
"ken",2003,2.46
"ken",2004,2.53
"ken",2005,2.6
"ken",2006,2.67
"ken",2007,2.74
"ken",2008,2.81
"ken",2009,2.89
"ken",2010,2.96
"ken",2011,3.04
"ken",2012,3.11
"ken",2013,3.19
"ken",2014,3.27
"ken",2015,3.35
"rwa",1970,0.5
"rwa",1971,0.52
"rwa",1972,0.53
"rwa",1973,0.55
"rwa",1974,0.57
"rwa",1975,0.59
"rwa",1976,0.61
"rwa",1977,0.63
"rwa",1978,0.65
"rwa",1979,0.67
"rwa",1980,0.69
"rwa",1981,0.72
"rwa",1982,0.74
"rwa",1983,0.77
"rwa",1984,0.79
"rwa",1985,0.82
"rwa",1986,0.85
"rwa",1987,0.88
"rwa",1988,0.91
"rwa",1989,0.95
"rwa",1990,0.98
"rwa",1991,1.02
"rwa",1992,1.06
"rwa",1993,1.1
"rwa",1994,1.14
"rwa",1995,1.18
"rwa",1996,1.22
"rwa",1997,1.27
"rwa",1998,1.31
"rwa",1999,1.36
"rwa",2000,1.4
"rwa",2001,1.45
"rwa",2002,1.49
"rwa",2003,1.54
"rwa",2004,1.58
"rwa",2005,1.63
"rwa",2006,1.68
"rwa",2007,1.73
"rwa",2008,1.78
"rwa",2009,1.83
"rwa",2010,1.89
"rwa",2011,1.94
"rwa",2012,1.99
"rwa",2013,2.05
"rwa",2014,2.1
"rwa",2015,2.16
"ssd",1970,0.28
"ssd",1971,0.29
"ssd",1972,0.3
"ssd",1973,0.3
"ssd",1974,0.31
"ssd",1975,0.32
"ssd",1976,0.33
"ssd",1977,0.34
"ssd",1978,0.35
"ssd",1979,0.36
"ssd",1980,0.37
"ssd",1981,0.38
"ssd",1982,0.39
"ssd",1983,0.4
"ssd",1984,0.41
"ssd",1985,0.42
"ssd",1986,0.44
"ssd",1987,0.45
"ssd",1988,0.46
