"geo","time","mean_years_in_school_women_15_to_24_years"
"bdi",1970,1.29
"bdi",1971,1.33
"bdi",1972,1.37
"bdi",1973,1.42
"bdi",1974,1.46
"bdi",1975,1.51
"bdi",1976,1.56
"bdi",1977,1.61
"bdi",1978,1.66
"bdi",1979,1.71
"bdi",1980,1.77
"bdi",1981,1.82
"bdi",1982,1.88
"bdi",1983,1.94
"bdi",1984,2
"bdi",1985,2.07
"bdi",1986,2.13
"bdi",1987,2.2
"bdi",1988,2.27
"bdi",1989,2.34
"bdi",1990,2.41
"bdi",1991,2.48
"bdi",1992,2.56
"bdi",1993,2.64
"bdi",1994,2.72
"bdi",1995,2.81
"bdi",1996,2.89
"bdi",1997,2.98
"bdi",1998,3.07
"bdi",1999,3.16
"bdi",2000,3.26
"bdi",2001,3.35
"bdi",2002,3.45
"bdi",2003,3.55
"bdi",2004,3.65
"bdi",2005,3.75
"bdi",2006,3.86
"bdi",2007,3.97
"bdi",2008,4.08
"bdi",2009,4.19
"bdi",2010,4.31
"bdi",2011,4.42
"bdi",2012,4.54
"bdi",2013,4.66
"bdi",2014,4.79
"bdi",2015,4.91
"cod",1970,1.95
"cod",1971,2.01
"cod",1972,2.07
"cod",1973,2.13
"cod",1974,2.2
"cod",1975,2.26
"cod",1976,2.33
"cod",1977,2.4
"cod",1978,2.47
"cod",1979,2.54
"cod",1980,2.62
"cod",1981,2.69
"cod",1982,2.77
"cod",1983,2.85
"cod",1984,2.94
"cod",1985,3.02
"cod",1986,3.11
"cod",1987,3.19
"cod",1988,3.28
"cod",1989,3.38
"cod",1990,3.47
"cod",1991,3.57
"cod",1992,3.66
"cod",1993,3.77
"cod",1994,3.87
"cod",1995,3.97
"cod",1996,4.08
"cod",1997,4.19
"cod",1998,4.3
"cod",1999,4.42
"cod",2000,4.54
"cod",2001,4.66
"cod",2002,4.78
"cod",2003,4.9
"cod",2004,5.03
"cod",2005,5.16
"cod",2006,5.29
"cod",2007,5.43
"cod",2008,5.56
"cod",2009,5.7
"cod",2010,5.84
"cod",2011,5.99
"cod",2012,6.13
"cod",2013,6.28
"cod",2014,6.43
"cod",2015,6.58
"ken",1970,3.26
"ken",1971,3.37
"ken",1972,3.48
"ken",1973,3.6
"ken",1974,3.72
"ken",1975,3.84
"ken",1976,3.96
"ken",1977,4.09
"ken",1978,4.21
"ken",1979,4.34
"ken",1980,4.47
"ken",1981,4.61
"ken",1982,4.74
"ken",1983,4.88
"ken",1984,5.02
"ken",1985,5.16
"ken",1986,5.3
"ken",1987,5.44
"ken",1988,5.58
"ken",1989,5.73
"ken",1990,5.87
"ken",1991,6.02
"ken",1992,6.16
"ken",1993,6.31
"ken",1994,6.45
"ken",1995,6.59
"ken",1996,6.71
"ken",1997,6.83
"ken",1998,6.95
"ken",1999,7.07
"ken",2000,7.19
"ken",2001,7.32
"ken",2002,7.44
"ken",2003,7.57
"ken",2004,7.7
"ken",2005,7.83
"ken",2006,7.96
"ken",2007,8.09
"ken",2008,8.23
"ken",2009,8.37
"ken",2010,8.51
"ken",2011,8.66
"ken",2012,8.8
"ken",2013,8.95
"ken",2014,9.1
"ken",2015,9.26
"rwa",1970,1.77
"rwa",1971,1.83
"rwa",1972,1.89
"rwa",1973,1.95
"rwa",1974,2.01
"rwa",1975,2.07
"rwa",1976,2.14
"rwa",1977,2.2
"rwa",1978,2.27
"rwa",1979,2.34
"rwa",1980,2.41
"rwa",1981,2.49
"rwa",1982,2.56
"rwa",1983,2.64
"rwa",1984,2.72
"rwa",1985,2.8
"rwa",1986,2.88
"rwa",1987,2.96
"rwa",1988,3.04
"rwa",1989,3.13
"rwa",1990,3.22
"rwa",1991,3.3
"rwa",1992,3.39
"rwa",1993,3.48
"rwa",1994,3.57
"rwa",1995,3.67
"rwa",1996,3.76
"rwa",1997,3.85
"rwa",1998,3.94
"rwa",1999,4.03
"rwa",2000,4.13
"rwa",2001,4.23
"rwa",2002,4.33
"rwa",2003,4.43
"rwa",2004,4.53
"rwa",2005,4.64
"rwa",2006,4.75
"rwa",2007,4.86
"rwa",2008,4.98
"rwa",2009,5.1
"rwa",2010,5.22
"rwa",2011,5.34
"rwa",2012,5.47
"rwa",2013,5.6
"rwa",2014,5.73
"rwa",2015,5.86
"ssd",1970,0.42
"ssd",1971,0.44
"ssd",1972,0.45
"ssd",1973,0.47
"ssd",1974,0.48
"ssd",1975,0.5
"ssd",1976,0.52
"ssd",1977,0.53
"ssd",1978,0.55
"ssd",1979,0.57
"ssd",1980,0.59
"ssd",1981,0.61
"ssd",1982,0.63
"ssd",1983,0.65
"ssd",1984,0.67
"ssd",1985,0.69
"ssd",1986,0.72
"ssd",1987,0.74
"ssd",1988,0.76
"ssd",1989,0.79
"ssd",1990,0.81
"ssd",1991,0.84
"ssd",1992,0.87
"ssd",1993,0.9
"ssd",1994,0.93
"ssd",1995,0.96
"ssd",1996,0.99
"ssd",1997,1.02
"ssd",1998,1.05
"ssd",1999,1.08
"ssd",2000,1.12
"ssd",2001,1.16
"ssd",2002,1.19
"ssd",2003,1.23
"ssd",2004,1.27
"ssd",2005,1.31
"ssd",2006,1.35
"ssd",2007,1.39
"ssd",2008,1.44
"ssd",2009,1.48
"ssd",2010,1.53
"ssd",2011,1.58
"ssd",2012,1.63
"ssd",2013,1.68
"ssd",2014,1.73
"ssd",2015,1.79
"tza",1970,2.67
"tza",1971,2.75
"tza",1972,2.83
"tza",1973,2.92
"tza",1974,3
"tza",1975,3.09
"tza",1976,3.18
"tza",1977,3.27
"tza",1978,3.37
"tza",1979,3.46
"tza",1980,3.56
"tza",1981,3.65
"tza",1982,3.75
"tza",1983,3.85
"tza",1984,3.95
"tza",1985,4.06
"tza",1986,4.16
"tza",1987,4.26
"tza",1988,4.37
"tza",1989,4.47
"tza",1990,4.58
"tza",1991,4.68
"tza",1992,4.79
"tza",1993,4.89
"tza",1994,5
"tza",1995,5.1
"tza",1996,5.21
"tza",1997,5.31
"tza",1998,5.41
"tza",1999,5.52
"tza",2000,5.63
"tza",2001,5.74
"tza",2002,5.85
"tza",2003,5.96
"tza",2004,6.08
"tza",2005,6.2
"tza",2006,6.32
"tza",2007,6.45
"tza",2008,6.57
"tza",2009,6.7
"tza",2010,6.84
"tza",2011,6.98
"tza",2012,7.12
"tza",2013,7.26
"tza",2014,7.4
"tza",2015,7.55
"uga",1970,2.26
"uga",1971,2.32
"uga",1972,2.39
"uga",1973,2.47
"uga",1974,2.54
"uga",1975,2.62
"uga",1976,2.7
"uga",1977,2.78
"uga",1978,2.86
"uga",1979,2.94
"uga",1980,3.03
"uga",1981,3.11
"uga",1982,3.2
"uga",1983,3.3
"uga",1984,3.39
"uga",1985,3.49
"uga",1986,3.58
"uga",1987,3.68
"uga",1988,3.79
"uga",1989,3.89
"uga",1990,4
"uga",1991,4.1
"uga",1992,4.21
"uga",1993,4.33
"uga",1994,4.44
"uga",1995,4.56
"uga",1996,4.67
"uga",1997,4.79
"uga",1998,4.91
"uga",1999,5.04
"uga",2000,5.16
"uga",2001,5.29
"uga",2002,5.42
"uga",2003,5.56
"uga",2004,5.69
"uga",2005,5.83
"uga",2006,5.96
"uga",2007,6.1
"uga",2008,6.25
"uga",2009,6.39
"uga",2010,6.54
"uga",2011,6.68
"uga",2012,6.83
"uga",2013,6.98
"uga",2014,7.14
"uga",2015,7.29
