"geo","time","mean_years_in_school_women_65_plus_years"
"bdi",1970,0.09
"bdi",1971,0.09
"bdi",1972,0.09
"bdi",1973,0.1
"bdi",1974,0.1
"bdi",1975,0.1
"bdi",1976,0.11
"bdi",1977,0.11
"bdi",1978,0.12
"bdi",1979,0.12
"bdi",1980,0.13
"bdi",1981,0.13
"bdi",1982,0.14
"bdi",1983,0.14
"bdi",1984,0.15
"bdi",1985,0.15
"bdi",1986,0.16
"bdi",1987,0.16
"bdi",1988,0.17
"bdi",1989,0.18
"bdi",1990,0.19
"bdi",1991,0.19
"bdi",1992,0.2
"bdi",1993,0.21
"bdi",1994,0.22
"bdi",1995,0.23
"bdi",1996,0.24
"bdi",1997,0.26
"bdi",1998,0.27
"bdi",1999,0.28
"bdi",2000,0.3
"bdi",2001,0.31
"bdi",2002,0.32
"bdi",2003,0.34
"bdi",2004,0.35
"bdi",2005,0.37
"bdi",2006,0.38
"bdi",2007,0.4
"bdi",2008,0.41
"bdi",2009,0.43
"bdi",2010,0.45
"bdi",2011,0.46
"bdi",2012,0.48
"bdi",2013,0.5
"bdi",2014,0.52
"bdi",2015,0.54
"cod",1970,0.21
"cod",1971,0.22
"cod",1972,0.22
"cod",1973,0.23
"cod",1974,0.24
"cod",1975,0.25
"cod",1976,0.26
"cod",1977,0.27
"cod",1978,0.28
"cod",1979,0.29
"cod",1980,0.3
"cod",1981,0.31
"cod",1982,0.32
"cod",1983,0.33
"cod",1984,0.34
"cod",1985,0.36
"cod",1986,0.37
"cod",1987,0.38
"cod",1988,0.4
"cod",1989,0.41
"cod",1990,0.43
"cod",1991,0.44
"cod",1992,0.46
"cod",1993,0.48
"cod",1994,0.5
"cod",1995,0.52
"cod",1996,0.54
"cod",1997,0.56
"cod",1998,0.59
"cod",1999,0.61
"cod",2000,0.64
"cod",2001,0.66
"cod",2002,0.69
"cod",2003,0.72
"cod",2004,0.75
"cod",2005,0.78
"cod",2006,0.81
"cod",2007,0.84
"cod",2008,0.87
"cod",2009,0.91
"cod",2010,0.94
"cod",2011,0.98
"cod",2012,1.01
"cod",2013,1.05
"cod",2014,1.09
"cod",2015,1.12
"ken",1970,0.21
"ken",1971,0.22
