"geo","time","mean_years_in_school_women_percent_men_25_to_34_years"
"bdi",1970,54.34783
"bdi",1971,55.02646
"bdi",1972,55.15464
"bdi",1973,55.77889
"bdi",1974,56.37255
"bdi",1975,56.45933
"bdi",1976,56.74419
"bdi",1977,57.72727
"bdi",1978,57.9646
"bdi",1979,58.18966
"bdi",1980,58.82353
"bdi",1981,59.42623
"bdi",1982,60
"bdi",1983,60.54688
"bdi",1984,60.8365
"bdi",1985,61.71004
"bdi",1986,61.95652
"bdi",1987,62.54417
"bdi",1988,63.10345
"bdi",1989,63.63636
"bdi",1990,64.2623
"bdi",1991,64.74359
"bdi",1992,65.3125
"bdi",1993,65.85366
"bdi",1994,66.66667
"bdi",1995,66.95652
"bdi",1996,67.70538
"bdi",1997,68.50829
"bdi",1998,69.0027
"bdi",1999,69.47368
"bdi",2000,70.17995
"bdi",2001,70.85427
"bdi",2002,71.32353
"bdi",2003,71.94245
"bdi",2004,72.36534
"bdi",2005,72.76888
"bdi",2006,73.37808
"bdi",2007,73.96061
"bdi",2008,74.5182
"bdi",2009,75.05241
"bdi",2010,75.40984
"bdi",2011,75.9519
"bdi",2012,76.62083
"bdi",2013,77.11538
"bdi",2014,77.58945
"bdi",2015,77.90055
"cod",1970,48.54881
"cod",1971,48.96907
"cod",1972,49.37028
"cod",1973,49.75369
"cod",1974,50.12048
"cod",1975,50.35294
"cod",1976,50.92166
"cod",1977,51.35135
"cod",1978,51.54185
"cod",1979,52.15517
"cod",1980,52.53165
"cod",1981,52.78351
"cod",1982,53.33333
"cod",1983,53.75494
"cod",1984,54.15861
"cod",1985,54.64896
"cod",1986,55.01859
"cod",1987,55.45455
"cod",1988,55.97148
"cod",1989,56.46853
"cod",1990,56.84932
"cod",1991,57.31092
"cod",1992,57.82537
"cod",1993,58.31987
"cod",1994,58.79556
"cod",1995,59.2535
"cod",1996,59.78593
"cod",1997,60.36036
"cod",1998,60.76696
"cod",1999,61.30435
"cod",2000,61.82336
"cod",2001,62.23776
"cod",2002,62.86107
"cod",2003,63.46414
"cod",2004,63.96277
"cod",2005,64.5288
"cod",2006,64.99356
"cod",2007,65.56962
"cod",2008,66.00249
"cod",2009,66.62577
"cod",2010,67.27053
"cod",2011,67.77646
"cod",2012,68.30409
"cod",2013,68.7788
"cod",2014,69.46652
"cod",2015,70.02237
"ken",1970,54.41527
"ken",1971,55.11628
"ken",1972,56.00907
"ken",1973,56.73289
"ken",1974,57.5431
"ken",1975,58.40336
"ken",1976,59.1002
"ken",1977,59.88024
"ken",1978,60.89494
"ken",1979,61.66983
"ken",1980,62.59259
"ken",1981,63.53791
"ken",1982,64.43662
"ken",1983,65.46392
"ken",1984,66.61074
"ken",1985,67.70492
