"geo","time","measles_deaths_in_children_1_59_months_total_deaths"
"bdi",1990,4873.86
"bdi",1991,4788.35
"bdi",1992,4717.3
"bdi",1993,4645.43
"bdi",1994,4561.92
"bdi",1995,4361.9
"bdi",1996,4141.46
"bdi",1997,3881.47
"bdi",1998,3452.56
"bdi",1999,2987.52
"bdi",2000,2436.65
"bdi",2001,1900.94
"bdi",2002,320.51
"bdi",2003,38.39
"bdi",2004,24.87
"bdi",2005,34.21
"bdi",2006,72.72
"bdi",2007,126.11
"bdi",2008,225.43
"bdi",2009,227.33
"bdi",2010,106.9
"bdi",2011,82.6
"bdi",2012,104.64
"bdi",2013,42.1
"bdi",2014,53.54
"bdi",2015,101.07
"bdi",2016,159.78
"cod",1990,18169.55
"cod",1991,18419.54
"cod",1992,18699.56
"cod",1993,19058.92
"cod",1994,19624.01
"cod",1995,19333.95
"cod",1996,20002.99
"cod",1997,17021.09
"cod",1998,15354.7
"cod",1999,15001.81
"cod",2000,11763.73
"cod",2001,9331.76
"cod",2002,9670.77
"cod",2003,6171.86
"cod",2004,6063.62
"cod",2005,3657.06
"cod",2006,2137.57
"cod",2007,1273.39
"cod",2008,1263.25
"cod",2009,1617.93
"cod",2010,2996.6
"cod",2011,5152.28
"cod",2012,4507.27
"cod",2013,3616.96
"cod",2014,2076.09
"cod",2015,853.35
"cod",2016,905.51
"ken",1990,8849.64
"ken",1991,8637.18
"ken",1992,8605.95
"ken",1993,8645.27
"ken",1994,8628.51
"ken",1995,8184.47
"ken",1996,8093.28
"ken",1997,8015.23
"ken",1998,7549.94
"ken",1999,7251.07
"ken",2000,6315.52
"ken",2001,5533.51
"ken",2002,5251.95
"ken",2003,1119.39
"ken",2004,824.47
"ken",2005,924.04
"ken",2006,1181
"ken",2007,925.67
"ken",2008,1651.76
"ken",2009,1895.34
"ken",2010,1093.56
"ken",2011,1489.62
"ken",2012,2421.53
"ken",2013,1189.14
"ken",2014,1464.67
"ken",2015,2168.06
"ken",2016,2367.75
"rwa",1990,4417.04
"rwa",1991,4760.29
"rwa",1992,5247.17
"rwa",1993,5838.03
"rwa",1994,6328.8
"rwa",1995,6652.3
"rwa",1996,6151.92
"rwa",1997,5385.47
"rwa",1998,4748.53
"rwa",1999,4316.36
"rwa",2000,3448.85
"rwa",2001,2761.97
"rwa",2002,2265.65
"rwa",2003,1880.11
"rwa",2004,349.65
"rwa",2005,231.4
"rwa",2006,206.96
"rwa",2007,120.22
"rwa",2008,194.58
"rwa",2009,408.93
"rwa",2010,218.32
"rwa",2011,257.01
"rwa",2012,391.51
"rwa",2013,443.07
"rwa",2014,51.99
"rwa",2015,48.28
"rwa",2016,50.54
"ssd",1990,7553.74
"ssd",1991,7329.15
"ssd",1992,7062.13
"ssd",1993,6716.4
"ssd",1994,6280.28
"ssd",1995,5801.22
"ssd",1996,5167.51
"ssd",1997,4733.03
"ssd",1998,4353.85
"ssd",1999,4034.44
"ssd",2000,3333.14
"ssd",2001,3166.75
"ssd",2002,3238.52
"ssd",2003,3465.48
"ssd",2004,3031.91
"ssd",2005,895.49
"ssd",2006,387.65
"ssd",2007,217.48
"ssd",2008,218.64
"ssd",2009,506.23
"ssd",2010,1614.33
"ssd",2011,2437.13
"ssd",2012,3295.13
"ssd",2013,3486.72
"ssd",2014,3846.94
"ssd",2015,3072.84
"ssd",2016,3193.19
"tza",1990,7620.41
"tza",1991,7198.77
"tza",1992,6932.06
"tza",1993,6839
"tza",1994,6818.25
"tza",1995,6991.72
"tza",1996,7255.31
"tza",1997,7424.34
"tza",1998,7333.71
"tza",1999,6897.78
"tza",2000,6374.64
"tza",2001,3782.21
"tza",2002,1905.26
"tza",2003,600.19
"tza",2004,588.25
"tza",2005,846.04
"tza",2006,597.36
"tza",2007,1003.6
"tza",2008,1768.03
"tza",2009,450.2
"tza",2010,492.26
"tza",2011,914.45
"tza",2012,660.94
"tza",2013,1117.95
"tza",2014,1798.05
"tza",2015,389.86
"tza",2016,382.02
"uga",1990,7167.2
"uga",1991,7053.53
"uga",1992,7007.26
"uga",1993,6956.16
"uga",1994,6916.71
"uga",1995,7178.34
"uga",1996,7269.54
"uga",1997,7389.21
"uga",1998,6872.37
"uga",1999,5884.22
"uga",2000,5420.66
"uga",2001,3412.74
"uga",2002,2719.06
"uga",2003,2779.56
"uga",2004,589.28
"uga",2005,511.69
"uga",2006,712.13
"uga",2007,526.35
"uga",2008,947.49
"uga",2009,2134.84
"uga",2010,1555.19
"uga",2011,1961.41
"uga",2012,3195.55
"uga",2013,1526.78
"uga",2014,1623.73
"uga",2015,2132.03
"uga",2016,1002.63
