"geo","time","medical_doctors_per_1000_people"
"bdi",1960,0.01
"bdi",1965,0.017
"bdi",1970,0.017
"bdi",1975,0.012
"bdi",1984,0.047
"bdi",1986,0.058
"bdi",1990,0.058
"bdi",1991,0.059
"bdi",1993,0.056
"bdi",1995,0.055
"bdi",2000,0.052
"bdi",2004,0.026
"cod",1960,0.015
"cod",1965,0.028
"cod",1970,0.035
"cod",1975,0.036
"cod",1979,0.073
"cod",1987,0.075
"cod",1990,0.066
"cod",1996,0.069
"cod",2004,0.107
"cod",2009,0.091
"ken",1960,0.092
"ken",1965,0.075
"ken",1970,0.125
"ken",1975,0.127
"ken",1981,0.099
"ken",1982,0.12
"ken",1985,0.154
"ken",1990,0.045
"ken",1993,0.138
"ken",1995,0.132
"ken",2002,0.138
"ken",2008,0.173
"ken",2009,0.176
"ken",2010,0.177
"ken",2011,0.182
"ken",2012,0.19
"ken",2013,0.199
"ken",2014,0.204
"rwa",1960,0.008
"rwa",1965,0.014
"rwa",1970,0.017
"rwa",1975,0.017
"rwa",1980,0.032
"rwa",1981,0.031
"rwa",1983,0.029
"rwa",1985,0.027
"rwa",1989,0.04
"rwa",1993,0.04
"rwa",2002,0.019
"rwa",2004,0.049
"rwa",2005,0.024
"rwa",2008,0.052
"rwa",2009,0.055
"rwa",2010,0.055
"rwa",2015,0.064
"tza",1960,0.055
"tza",1961,0.04
"tza",1965,0.045
"tza",1970,0.044
"tza",1975,0.044
"tza",1984,0.039
"tza",1985,0.035
"tza",1987,0.039
"tza",1994,0.042
"tza",1995,0.041
"tza",2002,0.023
"tza",2010,0.008
"tza",2012,0.03
"tza",2014,0.022
"uga",1960,0.074
"uga",1965,0.09
"uga",1970,0.108
"uga",1975,0.108
"uga",1981,0.047
"uga",1982,0.046
"uga",1984,0.044
"uga",1989,0.045
"uga",1993,0.04
"uga",2002,0.047
"uga",2004,0.081
"uga",2005,0.12
"uga",2010,0.117
"uga",2015,0.093
