"geo","time","meningitis_deaths_in_children_1_59_months_total_deaths"
"bdi",1990,1080.73
"bdi",1991,1079.54
"bdi",1992,1280.32
"bdi",1993,1038.73
"bdi",1994,1016.51
"bdi",1995,986.61
"bdi",1996,992.11
"bdi",1997,941.1
"bdi",1998,925.33
"bdi",1999,898.13
"bdi",2000,892.09
"bdi",2001,888.44
"bdi",2002,950.99
"bdi",2003,932.27
"bdi",2004,923.58
"bdi",2005,953.65
"bdi",2006,952.78
"bdi",2007,957
"bdi",2008,970.58
"bdi",2009,962.68
"bdi",2010,981.67
"bdi",2011,1041.5
"bdi",2012,1099.76
"bdi",2013,1193.29
"bdi",2014,1238.2
"bdi",2015,1261.73
"bdi",2016,1272.94
"cod",1990,5513.84
"cod",1991,5682.36
"cod",1992,5758.91
"cod",1993,5855.83
"cod",1994,6024.61
"cod",1995,6150.35
"cod",1996,6256.31
"cod",1997,6564.95
"cod",1998,6704.5
"cod",1999,6836.69
"cod",2000,7190.13
"cod",2001,6706.28
"cod",2002,7224.27
"cod",2003,8223.27
"cod",2004,7689.63
"cod",2005,7091.18
"cod",2006,7040.52
"cod",2007,7309.37
"cod",2008,7039.49
"cod",2009,7112.3
"cod",2010,7592.79
"cod",2011,7430.03
"cod",2012,8209.61
"cod",2013,8219.89
"cod",2014,8404.32
"cod",2015,7810.07
"cod",2016,7685.37
"ken",1990,2819.77
"ken",1991,2739.32
"ken",1992,2672.68
"ken",1993,2622.01
"ken",1994,2577.04
"ken",1995,2562.22
"ken",1996,2488.59
"ken",1997,2409.8
"ken",1998,2327.11
"ken",1999,2250.21
"ken",2000,2308.25
"ken",2001,2210.43
"ken",2002,2186.8
"ken",2003,2229.03
"ken",2004,2183.57
"ken",2005,2196.4
"ken",2006,2206.37
"ken",2007,2258.21
"ken",2008,2197.15
"ken",2009,2231.45
"ken",2010,2372.38
"ken",2011,2411.27
"ken",2012,2336.78
"ken",2013,2282.3
"ken",2014,2166.01
"ken",2015,2031
"ken",2016,1985.11
"rwa",1990,1760.59
"rwa",1991,1793.99
"rwa",1992,1810.58
"rwa",1993,1675.37
"rwa",1994,1635.59
"rwa",1995,1572.89
"rwa",1996,1555.16
"rwa",1997,1564.68
"rwa",1998,1615.55
"rwa",1999,1635.65
"rwa",2000,1626.98
"rwa",2001,1576.29
"rwa",2002,1665.9
"rwa",2003,1552.81
"rwa",2004,1654.3
"rwa",2005,1604.29
"rwa",2006,1520.66
"rwa",2007,1427.62
"rwa",2008,1321.4
"rwa",2009,1215.09
"rwa",2010,1137.45
"rwa",2011,1082.91
"rwa",2012,1055.29
"rwa",2013,1013.54
"rwa",2014,1007.2
"rwa",2015,975.29
"rwa",2016,950.31
"ssd",1990,2510.18
"ssd",1991,2404.93
"ssd",1992,2280.27
"ssd",1993,2142.54
"ssd",1994,2006.88
"ssd",1995,1882.1
"ssd",1996,1801.85
"ssd",1997,1744.7
"ssd",1998,1724.34
"ssd",1999,1738.9
"ssd",2000,1781.35
"ssd",2001,1793.49
"ssd",2002,1803.74
"ssd",2003,1830.48
"ssd",2004,1895.73
"ssd",2005,2073.87
"ssd",2006,2213.96
"ssd",2007,2481.51
"ssd",2008,2487.57
"ssd",2009,2585.69
"ssd",2010,2628.16
"ssd",2011,2622.29
"ssd",2012,2652.98
"ssd",2013,2709.44
"ssd",2014,2718.01
"ssd",2015,2823.07
"ssd",2016,2876.56
"tza",1990,4251.42
"tza",1991,4182.98
"tza",1992,4172.22
"tza",1993,4352.23
"tza",1994,4111.77
"tza",1995,4036.76
"tza",1996,4127.37
"tza",1997,3867.19
"tza",1998,3755.05
"tza",1999,3660.33
"tza",2000,3542.64
"tza",2001,3683.96
"tza",2002,3787.58
"tza",2003,4000.47
"tza",2004,4185.99
"tza",2005,4263.68
"tza",2006,4550.33
"tza",2007,4777.02
"tza",2008,4702.83
"tza",2009,4639.17
"tza",2010,4464.78
"tza",2011,4452.63
"tza",2012,4450.06
"tza",2013,4324.31
"tza",2014,4084.91
"tza",2015,3981.82
"tza",2016,3871.61
"uga",1990,5604.39
"uga",1991,5475.36
"uga",1992,5478.28
"uga",1993,5625.19
"uga",1994,5151.86
"uga",1995,5038.94
"uga",1996,4937.95
"uga",1997,4867.28
"uga",1998,4735.54
"uga",1999,4593.52
"uga",2000,4589.24
"uga",2001,4709.96
"uga",2002,4772.6
"uga",2003,4809.65
"uga",2004,4897.29
"uga",2005,5005.22
"uga",2006,5171.5
"uga",2007,5254.62
"uga",2008,5041.98
"uga",2009,4981.74
"uga",2010,5001.05
"uga",2011,5101.27
"uga",2012,5380.03
"uga",2013,5749.44
"uga",2014,5697.82
"uga",2015,5363
"uga",2016,5257.19
