"geo","time","merchandise_trade_percent_of_gdp"
"bdi",1960,14.28572
"bdi",1961,12.31527
"bdi",1962,13.11475
"bdi",1963,11.73792
"bdi",1964,9.97124
"bdi",1965,16.98167
"bdi",1966,18.13296
"bdi",1967,19.06929
"bdi",1968,20.54771
"bdi",1969,17.54132
"bdi",1970,19.24093
"bdi",1971,19.14237
"bdi",1972,23.34292
"bdi",1973,20.08948
"bdi",1974,21.45312
"bdi",1975,22.20543
"bdi",1976,26.40848
"bdi",1977,29.9321
"bdi",1978,27.47618
"bdi",1979,32.77407
"bdi",1980,25.33361
"bdi",1981,24.35383
"bdi",1982,29.7072
"bdi",1983,24.19371
"bdi",1984,29.27638
"bdi",1985,26.17438
"bdi",1986,29.62407
"bdi",1987,26.77941
"bdi",1988,31.13442
"bdi",1989,23.78977
"bdi",1990,27.02938
"bdi",1991,29.55289
"bdi",1992,27.05354
"bdi",1993,28.12602
"bdi",1994,37.18796
"bdi",1995,33.88548
"bdi",1996,19.10167
"bdi",1997,21.27668
"bdi",1998,24.95047
"bdi",1999,21.28509
"bdi",2000,22.74591
"bdi",2001,20.28525
"bdi",2002,19.3127
"bdi",2003,24.76019
"bdi",2004,24.37905
"bdi",2005,29.28993
"bdi",2006,38.40987
"bdi",2007,27.87015
"bdi",2008,28.5504
"bdi",2009,26.99288
"bdi",2010,30.09525
"bdi",2011,37.17769
"bdi",2012,35.77881
"bdi",2013,33.35487
"bdi",2014,29.13235
"bdi",2015,27.49185
"bdi",2016,24.11654
"bdi",2017,27.78711
"cod",1960,21.28354
"cod",1961,16.19828
"cod",1962,11.28712
"cod",1963,9.50966
"cod",1964,14.0801
"cod",1965,9.97797
"cod",1966,11.65256
"cod",1967,15.48552
"cod",1968,17.22488
"cod",1969,16.13688
"cod",1970,19.67942
"cod",1971,15.914
"cod",1972,15.32664
"cod",1973,16.06668
"cod",1974,18.03372
"cod",1975,11.38234
"cod",1976,12.10564
"cod",1977,9.65395
"cod",1978,7.3345
"cod",1979,11.36864
"cod",1980,26.31483
"cod",1981,24.71721
"cod",1982,21.22818
"cod",1983,26.33847
"cod",1984,39.50251
"cod",1985,43.08522
"cod",1986,38.62703
"cod",1987,46.81774
"cod",1988,45.93006
"cod",1989,48.12753
"cod",1990,43.47703
"cod",1991,30.67913
"cod",1992,26.50916
"cod",1993,16.4203
"cod",1994,33.03907
"cod",1995,43.12973
"cod",1996,45.67306
"cod",1997,36.43175
"cod",1998,40.60756
"cod",1999,29.22785
"cod",2000,7.80279
"cod",2001,22.45036
"cod",2002,25.35048
"cod",2003,32.13738
"cod",2004,38.53951
"cod",2005,42.56932
"cod",2006,38.72362
"cod",2007,38.83594
"cod",2008,43.96489
"cod",2009,39.68175
"cod",2010,45.44248
"cod",2011,46.82708
"cod",2012,42.31183
"cod",2013,38.25943
"cod",2014,37.58598
"cod",2015,31.91121
"cod",2016,29.15022
"cod",2017,34.37044
"ken",1960,38.97554
"ken",1961,39.04361
"ken",1962,36.93074
"ken",1963,46.41538
"ken",1964,46.93022
"ken",1965,51.12237
"ken",1966,52.00771
"ken",1967,46.97866
"ken",1968,44.91022
"ken",1969,43.33303
"ken",1970,46.60708
"ken",1971,49.14666
"ken",1972,42.4462
"ken",1973,43.76777
"ken",1974,54.76995
"ken",1975,47.59475
"ken",1976,50.62529
"ken",1977,55.07925
"ken",1978,51.53236
"ken",1979,43.73386
"ken",1980,46.38477
"ken",1981,44.89027
"ken",1982,41.43617
"ken",1983,36.96148
"ken",1984,41.18591
"ken",1985,39.02179
"ken",1986,38.85828
"ken",1987,34.07428
"ken",1988,36.45555
"ken",1989,37.64284
"ken",1990,37.95921
"ken",1991,37.33065
"ken",1992,38.73736
"ken",1993,54.73079
"ken",1994,51.45391
"ken",1995,53.82295
"ken",1996,41.64087
"ken",1997,40.65334
"ken",1998,36.93061
"ken",1999,35.5071
"ken",2000,38.0863
"ken",2001,39.55026
"ken",2002,40.77574
"ken",2003,41.17221
"ken",2004,44.96166
"ken",2005,49.45095
"ken",2006,41.56587
"ken",2007,40.89737
"ken",2008,44.93299
"ken",2009,39.6133
"ken",2010,43.155
"ken",2011,48.95249
"ken",2012,44.53569
"ken",2013,40.31791
"ken",2014,39.88939
"ken",2015,34.3702
"ken",2016,27.93939
"ken",2017,29.93729
"rwa",1960,15.12605
"rwa",1961,13.93442
"rwa",1962,13.6
"rwa",1963,12.5
"rwa",1964,18.46154
"rwa",1965,21.50538
"rwa",1966,26.50055
"rwa",1967,21.33367
"rwa",1968,21.67828
"rwa",1969,20.06359
"rwa",1970,24.51569
"rwa",1971,24.9022
"rwa",1972,21.92927
"rwa",1973,23.06397
"rwa",1974,30.68728
"rwa",1975,24.55937
"rwa",1976,29.26752
"rwa",1977,28.73242
"rwa",1978,28.66345
"rwa",1979,27.9799
"rwa",1980,25.1043
"rwa",1981,25.94057
"rwa",1982,26.78998
"rwa",1983,27.03272
"rwa",1984,26.64713
"rwa",1985,25.00545
"rwa",1986,27.66478
"rwa",1987,21.59973
"rwa",1988,19.95413
"rwa",1989,17.50504
"rwa",1990,15.60671
"rwa",1991,20.87256
"rwa",1992,17.44679
"rwa",1993,20.18741
"rwa",1994,36.75513
"rwa",1995,22.41918
"rwa",1996,23.00456
"rwa",1997,20.7933
"rwa",1998,17.3424
"rwa",1999,17.21999
"rwa",2000,15.15904
"rwa",2001,21.91457
"rwa",2002,18.65814
"rwa",2003,17.44124
"rwa",2004,18.28162
"rwa",2005,23.0898
"rwa",2006,23.43255
"rwa",2007,24.76974
"rwa",2008,29.6628
"rwa",2009,28.69458
"rwa",2010,29.93755
"rwa",2011,38.1406
"rwa",2012,39.40685
"rwa",2013,39.42063
"rwa",2014,39.82815
"rwa",2015,37.03109
"rwa",2016,38.23256
"rwa",2017,34.49639
"tza",1988,21.5277
"tza",1989,30.65494
"tza",1990,31.88734
"tza",1991,37.82844
"tza",1992,41.85671
"tza",1993,45.72889
"tza",1994,44.84745
"tza",1995,44.85063
"tza",1996,33.43495
"tza",1997,27.1999
"tza",1998,21.85085
"tza",1999,21.64398
"tza",2000,22.1652
"tza",2001,24.68614
"tza",2002,24.43076
"tza",2003,28.65788
"tza",2004,32.78844
"tza",2005,29.33353
"tza",2006,32.83584
"tza",2007,34.77117
"tza",2008,39.5484
"tza",2009,32.87387
"tza",2010,37.96734
"tza",2011,45.85297
"tza",2012,42.01066
"tza",2013,37.48851
"tza",2014,34.46919
"tza",2015,34.45593
"tza",2016,30.45083
"tza",2017,27.75595
"uga",1960,52.10729
"uga",1961,52.13715
"uga",1962,51.01374
"uga",1963,56.25869
"uga",1964,58.21461
"uga",1965,41.49032
"uga",1966,41.40519
"uga",1967,39.09659
"uga",1968,36.67676
"uga",1969,34.86402
"uga",1970,36.03387
"uga",1971,35.94439
"uga",1972,29.83226
"uga",1973,26.64202
"uga",1974,25.15501
"uga",1975,19.6712
"uga",1976,21.9097
"uga",1977,28.24683
"uga",1978,24.86344
"uga",1979,29.54178
"uga",1980,51.26104
"uga",1981,43.96919
"uga",1982,33.34099
"uga",1983,33.43252
"uga",1984,20.54957
"uga",1985,20.28601
"uga",1986,18.93847
"uga",1987,18.61389
"uga",1988,17.79094
"uga",1989,10.32885
"uga",1990,10.2221
"uga",1991,11.9215
"uga",1992,22.6425
"uga",1993,22.17089
"uga",1994,32.17698
"uga",1995,26.33856
"uga",1996,29.41476
"uga",1997,29.84368
"uga",1998,29.11243
"uga",1999,31.0241
"uga",2000,31.30545
"uga",2001,35.006
"uga",2002,24.60734
"uga",2003,30.08823
"uga",2004,29.96767
"uga",2005,31.80608
"uga",2006,35.39819
"uga",2007,39.29143
"uga",2008,43.89453
"uga",2009,32.00515
"uga",2010,31.12447
"uga",2011,38.60994
"uga",2012,36.34825
"uga",2013,33.43657
"uga",2014,30.54202
"uga",2015,28.76149
"uga",2016,30.36585
"uga",2017,31.78306
