"geo","time","murder_total_deaths"
"bdi",1990,57.55
"bdi",1991,58.03
"bdi",1992,58.63
"bdi",1993,59.33
"bdi",1994,60.1
"bdi",1995,61.06
"bdi",1996,62.01
"bdi",1997,62.04
"bdi",1998,62.68
"bdi",1999,61.84
"bdi",2000,62.96
"bdi",2001,63.41
"bdi",2002,66.22
"bdi",2003,68.94
"bdi",2004,72.82
"bdi",2005,77.19
"bdi",2006,80.47
"bdi",2007,83.36
"bdi",2008,86.27
"bdi",2009,88.65
"bdi",2010,93.12
"bdi",2011,97.52
"bdi",2012,101.6
"bdi",2013,105.05
"bdi",2014,108.34
"bdi",2015,110.84
"bdi",2016,112.81
"cod",1990,1337.73
"cod",1991,1411.2
"cod",1992,1456.84
"cod",1993,1465.4
"cod",1994,1501.9
"cod",1995,1588.76
"cod",1996,1686.57
"cod",1997,1660.31
"cod",1998,1723.16
"cod",1999,1787.27
"cod",2000,1854.64
"cod",2001,1918.08
"cod",2002,1938.27
"cod",2003,2059.21
"cod",2004,2034.18
"cod",2005,2092.45
"cod",2006,2141.85
"cod",2007,2204.92
"cod",2008,2336.7
"cod",2009,2435.21
"cod",2010,2525.23
"cod",2011,2618.07
"cod",2012,2730.31
"cod",2013,2800.73
"cod",2014,2899.08
"cod",2015,3008.97
"cod",2016,3092.62
"ken",1990,1395.85
"ken",1991,1471.66
"ken",1992,1571.67
"ken",1993,1663.76
"ken",1994,1746.7
"ken",1995,1829.18
"ken",1996,1913.08
"ken",1997,1991.45
"ken",1998,2104.48
"ken",1999,2142.75
"ken",2000,2284.42
"ken",2001,2320.08
"ken",2002,2423.69
"ken",2003,2562.84
"ken",2004,2652.94
"ken",2005,2724.09
"ken",2006,2816.55
"ken",2007,2912.59
"ken",2008,2990.99
"ken",2009,3063.02
"ken",2010,3152.04
"ken",2011,3263.19
"ken",2012,3362.7
"ken",2013,3422.24
"ken",2014,3498.49
"ken",2015,3581.27
"ken",2016,3678.6
"rwa",1990,464.82
"rwa",1991,470.82
"rwa",1992,454.18
"rwa",1993,430.19
"rwa",1994,414.16
"rwa",1995,404.02
"rwa",1996,396.3
"rwa",1997,394.44
"rwa",1998,391.11
"rwa",1999,386.93
"rwa",2000,385.47
"rwa",2001,380
"rwa",2002,378.08
"rwa",2003,374.5
"rwa",2004,391.33
"rwa",2005,398.29
"rwa",2006,419.47
"rwa",2007,424.23
"rwa",2008,422.43
"rwa",2009,423.83
"rwa",2010,431.21
"rwa",2011,438.65
"rwa",2012,448.18
"rwa",2013,458.77
"rwa",2014,471.45
"rwa",2015,482.59
"rwa",2016,496.16
"ssd",1990,190.12
"ssd",1991,191.86
"ssd",1992,197.43
"ssd",1993,203.07
"ssd",1994,211.47
"ssd",1995,223.8
"ssd",1996,239.12
"ssd",1997,245.05
"ssd",1998,271.97
"ssd",1999,296.33
"ssd",2000,321.16
"ssd",2001,324.54
"ssd",2002,334.09
"ssd",2003,361.41
"ssd",2004,392.23
"ssd",2005,421.74
"ssd",2006,464.01
"ssd",2007,497.5
"ssd",2008,520.58
"ssd",2009,549.32
"ssd",2010,569.5
"ssd",2011,589.22
"ssd",2012,628.33
"ssd",2013,666.47
"ssd",2014,704.81
"ssd",2015,745.11
"ssd",2016,778.69
"tza",1990,2157.71
"tza",1991,2217.64
"tza",1992,2301.45
"tza",1993,2388.9
"tza",1994,2506.11
"tza",1995,2549.82
"tza",1996,2618.44
"tza",1997,2677.02
"tza",1998,2760.66
"tza",1999,2830.58
"tza",2000,2847.13
"tza",2001,2846.69
"tza",2002,2867.2
"tza",2003,2958.72
"tza",2004,3055
"tza",2005,3150.69
"tza",2006,3262.76
"tza",2007,3343
"tza",2008,3440.63
"tza",2009,3542.91
"tza",2010,3656.05
"tza",2011,3771.33
"tza",2012,3920.22
"tza",2013,4064.17
"tza",2014,4132.47
"tza",2015,4250.57
"tza",2016,4357.25
"uga",1990,1074.1
"uga",1991,1166.95
"uga",1992,1183.89
"uga",1993,1236.21
"uga",1994,1292.09
"uga",1995,1327.91
"uga",1996,1376.78
"uga",1997,1379.64
"uga",1998,1427.99
"uga",1999,1449.82
"uga",2000,1510.92
"uga",2001,1580.17
"uga",2002,1601.3
"uga",2003,1641.28
"uga",2004,1699.13
"uga",2005,1757.51
"uga",2006,1863.4
"uga",2007,1961.83
"uga",2008,2022.45
"uga",2009,2101.07
"uga",2010,2150.55
"uga",2011,2245.32
"uga",2012,2346.88
"uga",2013,2471.75
"uga",2014,2544.12
"uga",2015,2595.32
"uga",2016,2664.78
