"geo","time","ncd_deaths_in_children_1_59_months_total_deaths"
"bdi",1990,1986.21
"bdi",1991,1973.27
"bdi",1992,1929.97
"bdi",1993,1874.14
"bdi",1994,1815.63
"bdi",1995,1742.36
"bdi",1996,1672.71
"bdi",1997,1608.96
"bdi",1998,1528.22
"bdi",1999,1466.46
"bdi",2000,1441.17
"bdi",2001,1418.59
"bdi",2002,1473.58
"bdi",2003,1501.53
"bdi",2004,1522.76
"bdi",2005,1574.99
"bdi",2006,1578.88
"bdi",2007,1605.61
"bdi",2008,1634.52
"bdi",2009,1631.93
"bdi",2010,1678.87
"bdi",2011,1776.44
"bdi",2012,1873.14
"bdi",2013,2025.28
"bdi",2014,2098.16
"bdi",2015,2131.86
"bdi",2016,2140.77
"cod",1990,13398.12
"cod",1991,13828.34
"cod",1992,13996.53
"cod",1993,14179.94
"cod",1994,14461.34
"cod",1995,14715.27
"cod",1996,14854.99
"cod",1997,15089.74
"cod",1998,15101.69
"cod",1999,15059.15
"cod",2000,15014.96
"cod",2001,15275.27
"cod",2002,15291
"cod",2003,15505.69
"cod",2004,15482.95
"cod",2005,15691.48
"cod",2006,16097.31
"cod",2007,16478.13
"cod",2008,16817.72
"cod",2009,17440.45
"cod",2010,17787.44
"cod",2011,18213.56
"cod",2012,19240.01
"cod",2013,19476.78
"cod",2014,19623.65
"cod",2015,20052.63
"cod",2016,19815.05
"ken",1990,2956.22
"ken",1991,2892.79
"ken",1992,2841.08
"ken",1993,2801.36
"ken",1994,2768.24
"ken",1995,2768.5
"ken",1996,2704.85
"ken",1997,2636.51
"ken",1998,2567.64
"ken",1999,2504.46
"ken",2000,2583.61
"ken",2001,2496.7
"ken",2002,2488.81
"ken",2003,2539.32
"ken",2004,2506.68
"ken",2005,2529.21
"ken",2006,2542.72
"ken",2007,2586.92
"ken",2008,2560.99
"ken",2009,2608.73
"ken",2010,2781.29
"ken",2011,2857.9
"ken",2012,2811.17
"ken",2013,2786.97
"ken",2014,2691.56
"ken",2015,2563.89
"ken",2016,2534
"rwa",1990,2559.23
"rwa",1991,2588.24
"rwa",1992,2460.48
"rwa",1993,2278.33
"rwa",1994,2156.32
"rwa",1995,2019.06
"rwa",1996,1967.19
"rwa",1997,1962.74
"rwa",1998,1991.47
"rwa",1999,1987.78
"rwa",2000,1996.04
"rwa",2001,1972.56
"rwa",2002,1960.73
"rwa",2003,1978.77
"rwa",2004,2107.33
"rwa",2005,2074.22
"rwa",2006,2014.13
"rwa",2007,1930.29
"rwa",2008,1823.14
"rwa",2009,1711.36
"rwa",2010,1631.6
"rwa",2011,1579.1
"rwa",2012,1558.56
"rwa",2013,1516.21
"rwa",2014,1517.62
"rwa",2015,1482.59
"rwa",2016,1456.07
"ssd",1990,2069.05
"ssd",1991,1974.47
"ssd",1992,1865.85
"ssd",1993,1745.42
"ssd",1994,1626.78
"ssd",1995,1517.83
"ssd",1996,1443.19
"ssd",1997,1382.55
"ssd",1998,1344.69
"ssd",1999,1333.86
"ssd",2000,1351.59
"ssd",2001,1351.3
"ssd",2002,1351.95
"ssd",2003,1366.67
"ssd",2004,1411.25
"ssd",2005,1538.75
"ssd",2006,1647.3
"ssd",2007,1754.76
"ssd",2008,1847.13
"ssd",2009,1940.33
"ssd",2010,1969.96
"ssd",2011,1983.68
"ssd",2012,2028.52
"ssd",2013,2058.85
"ssd",2014,2074.94
"ssd",2015,2152.47
"ssd",2016,2197.09
"tza",1990,10748.85
"tza",1991,10733.23
"tza",1992,10719.62
"tza",1993,10662.11
"tza",1994,10534.08
"tza",1995,10234.2
"tza",1996,9962.96
"tza",1997,9549.55
"tza",1998,9025.79
"tza",1999,8676.08
"tza",2000,8409.61
"tza",2001,8261.29
"tza",2002,8275.2
"tza",2003,8678.22
"tza",2004,9007.07
"tza",2005,9135.91
"tza",2006,9762.41
"tza",2007,9969.13
"tza",2008,9962.87
"tza",2009,9875.77
"tza",2010,9576.82
"tza",2011,9568.16
"tza",2012,9578.96
"tza",2013,9377.04
"tza",2014,8942.67
"tza",2015,8776.97
"tza",2016,8579.98
"uga",1990,6025.44
"uga",1991,6063.8
"uga",1992,6046.14
"uga",1993,5963.61
"uga",1994,5830.45
"uga",1995,5650.76
"uga",1996,5482.55
"uga",1997,5326.06
"uga",1998,5076.6
"uga",1999,4851.38
"uga",2000,4789.29
"uga",2001,4858.01
"uga",2002,4877.83
"uga",2003,4910.58
"uga",2004,5068.54
"uga",2005,5201.32
"uga",2006,5348.07
"uga",2007,5384.49
"uga",2008,5316.2
"uga",2009,5302.59
"uga",2010,5346.69
"uga",2011,5483.54
"uga",2012,5768.21
"uga",2013,6174.84
"uga",2014,6176.13
"uga",2015,5894.98
"uga",2016,5811.71
