"geo","time","net_barter_terms_of_trade_2000_100"
"bdi",1980,230.92105
"bdi",1981,170.86093
"bdi",1982,181.81818
"bdi",1983,212.13235
"bdi",1984,265.50218
"bdi",1985,243.14516
"bdi",1986,296.22642
"bdi",1987,179.08497
"bdi",1988,217.89137
"bdi",1989,177.5
"bdi",1990,128.27988
"bdi",1991,136.39144
"bdi",1992,97.94521
"bdi",1993,120.40816
"bdi",1994,171.36929
"bdi",1995,163.56877
"bdi",1996,118.94273
"bdi",1997,109.54357
"bdi",1998,121.17647
"bdi",1999,115.9292
"bdi",2000,100
"bdi",2001,81.97906
"bdi",2002,83.40127
"bdi",2003,85.17975
"bdi",2004,88.24535
"bdi",2005,107.81938
"bdi",2006,115.7373
"bdi",2007,115.43158
"bdi",2008,122.39541
"bdi",2009,125.31816
"bdi",2010,148.61384
"bdi",2011,163.84323
"bdi",2012,153.69838
"bdi",2013,134.2268
"bdi",2014,134.71745
"bdi",2015,145.06032
"bdi",2016,154.542
"cod",1980,84.12322
"cod",1981,82.74933
"cod",1982,81.01266
"cod",1983,82.95082
"cod",1984,77.82805
"cod",1985,84.78261
"cod",1986,84.77157
"cod",1987,84.61538
"cod",1988,96.62921
"cod",1989,114.81481
"cod",1990,86.2069
"cod",1991,80.88889
"cod",1992,97.07113
"cod",1993,90
"cod",1994,66.49874
"cod",1995,79.7619
"cod",1996,53.76344
"cod",1997,67.30159
"cod",1998,65.55819
"cod",1999,103.73832
"cod",2000,100
"cod",2001,100.23429
"cod",2002,98.75328
"cod",2003,96.32068
"cod",2004,99.2298
"cod",2005,108.57669
"cod",2006,127.43572
"cod",2007,129.22397
"cod",2008,154.38686
"cod",2009,113.80909
"cod",2010,145.30894
"cod",2011,148.69046
"cod",2012,137.19484
"cod",2013,132.20741
"cod",2014,126.21143
"cod",2015,111.12137
"cod",2016,112.9959
"ken",1980,100.72464
"ken",1981,88.11189
"ken",1982,81.61765
"ken",1983,77.37226
"ken",1984,87.0229
"ken",1985,76.69173
"ken",1986,85.49618
"ken",1987,77.8626
"ken",1988,81.06061
"ken",1989,79.36508
"ken",1990,70.14925
"ken",1991,78.68852
"ken",1992,81.03448
"ken",1993,94.87179
"ken",1994,107.22892
"ken",1995,103.8835
"ken",1996,108.24742
"ken",1997,114.01869
"ken",1998,109.90991
"ken",1999,98.07692
"ken",2000,100
"ken",2001,95.3076
"ken",2002,91.97826
"ken",2003,91.76097
"ken",2004,90.32798
"ken",2005,90.49009
"ken",2006,89.39305
"ken",2007,86.81762
"ken",2008,86.37783
"ken",2009,97.22168
"ken",2010,95.5589
"ken",2011,92.39807
"ken",2012,92.2491
"ken",2013,88.08632
"ken",2014,88.64902
"ken",2015,102.53501
"ken",2016,102.22381
"rwa",1980,56.89655
"rwa",1981,46.06061
"rwa",1982,67.88321
"rwa",1983,84.61538
"rwa",1984,88.09524
"rwa",1985,60.90226
"rwa",1986,78.94737
"rwa",1987,39.74359
"rwa",1988,48.75
"rwa",1989,40.8284
"rwa",1990,40.22989
"rwa",1991,81.11111
"rwa",1992,69.14894
"rwa",1993,80.68182
"rwa",1994,90.42553
"rwa",1995,110.10101
"rwa",1996,92.30769
"rwa",1997,130.61224
"rwa",1998,110.34483
"rwa",1999,93.25843
"rwa",2000,100
"rwa",2001,90.18426
"rwa",2002,91.73203
"rwa",2003,92.57651
"rwa",2004,106.01817
"rwa",2005,130.76894
"rwa",2006,144.63831
"rwa",2007,151.57879
"rwa",2008,185.41987
"rwa",2009,167.99568
"rwa",2010,195.81106
"rwa",2011,184.96037
"rwa",2012,171.24113
"rwa",2013,171.7761
"rwa",2014,171.48783
"rwa",2015,171.67427
"rwa",2016,178.28895
"tza",1987,160.37736
"tza",1988,127.77778
"tza",1989,120
"tza",1990,107.44681
"tza",1991,111.45833
"tza",1992,98
"tza",1993,100
"tza",1994,107.84314
"tza",1995,97.9798
"tza",1996,95.28302
"tza",1997,98.68421
"tza",1998,98.4
"tza",1999,99.08257
"tza",2000,100
"tza",2001,98.6498
"tza",2002,99.98393
"tza",2003,101.2071
"tza",2004,102.28028
"tza",2005,100.53774
"tza",2006,113.89294
"tza",2007,116.24416
"tza",2008,117.34746
"tza",2009,132.63207
"tza",2010,145.90435
"tza",2011,154.71773
"tza",2012,153.70004
"tza",2013,143.80224
"tza",2014,140.48188
"tza",2015,158.5392
"tza",2016,170.49046
"uga",1982,165.21739
"uga",1983,247.16981
"uga",1984,295.69892
"uga",1985,315.625
"uga",1986,295.2381
"uga",1987,191.71598
"uga",1988,191.6129
"uga",1989,183.07692
"uga",1990,145.68966
"uga",1991,133.96226
"uga",1992,120.38835
"uga",1993,113.46154
"uga",1994,131.42857
"uga",1995,197.16981
"uga",1996,157.65766
"uga",1997,156
"uga",1998,139
"uga",1999,120.61856
"uga",2000,100
"uga",2001,92.00677
"uga",2002,94.81211
"uga",2003,95.15458
"uga",2004,93.4507
"uga",2005,95.66957
"uga",2006,96.32697
"uga",2007,98.43369
"uga",2008,100.44002
"uga",2009,107.95524
"uga",2010,114.04542
"uga",2011,121.27383
"uga",2012,111.96421
"uga",2013,107.23386
"uga",2014,114.35258
"uga",2015,117.6962
"uga",2016,122.45485
