"geo","time","new_births_total_number_estimated"
"bdi",1800,42140
"bdi",1801,42140
"bdi",1802,42140
"bdi",1803,42140
"bdi",1804,42140
"bdi",1805,42140
"bdi",1806,42140
"bdi",1807,42140
"bdi",1808,42140
"bdi",1809,42140
"bdi",1810,42140
"bdi",1811,42150
"bdi",1812,42180
"bdi",1813,42230
"bdi",1814,42300
"bdi",1815,42370
"bdi",1816,42470
"bdi",1817,42580
"bdi",1818,42710
"bdi",1819,42850
"bdi",1820,43020
"bdi",1821,43190
"bdi",1822,43390
"bdi",1823,43600
"bdi",1824,43830
"bdi",1825,44080
"bdi",1826,44340
"bdi",1827,44620
"bdi",1828,44920
"bdi",1829,45240
"bdi",1830,45580
"bdi",1831,45930
"bdi",1832,46280
"bdi",1833,46640
"bdi",1834,47010
"bdi",1835,47370
"bdi",1836,47740
"bdi",1837,48110
"bdi",1838,48480
"bdi",1839,48860
"bdi",1840,49240
"bdi",1841,49620
"bdi",1842,50000
"bdi",1843,50390
"bdi",1844,50780
"bdi",1845,51180
"bdi",1846,51580
"bdi",1847,51980
"bdi",1848,52380
"bdi",1849,52790
"bdi",1850,53200
"bdi",1851,53560
"bdi",1852,53920
"bdi",1853,54290
"bdi",1854,54660
"bdi",1855,55030
"bdi",1856,55400
"bdi",1857,55780
"bdi",1858,56160
"bdi",1859,56540
"bdi",1860,56920
"bdi",1861,57310
"bdi",1862,57700
"bdi",1863,58170
"bdi",1864,58560
"bdi",1865,58960
"bdi",1866,59360
"bdi",1867,59760
"bdi",1868,60170
"bdi",1869,60570
"bdi",1870,60980
"bdi",1871,61400
"bdi",1872,61810
"bdi",1873,62220
"bdi",1874,62640
"bdi",1875,63070
"bdi",1876,63490
"bdi",1877,63910
"bdi",1878,64340
"bdi",1879,64780
"bdi",1880,65220
"bdi",1881,65650
"bdi",1882,66090
"bdi",1883,66540
"bdi",1884,66980
"bdi",1885,67440
"bdi",1886,67890
"bdi",1887,68340
"bdi",1888,68800
"bdi",1889,69270
"bdi",1890,69740
"bdi",1891,70210
"bdi",1892,70680
"bdi",1893,71160
"bdi",1894,71640
"bdi",1895,72130
"bdi",1896,72610
"bdi",1897,73100
"bdi",1898,73600
"bdi",1899,74090
"bdi",1900,74590
"bdi",1901,75100
"bdi",1902,75600
"bdi",1903,76110
"bdi",1904,76620
"bdi",1905,77140
"bdi",1906,77660
"bdi",1907,78170
"bdi",1908,78700
"bdi",1909,79230
"bdi",1910,79760
"bdi",1911,80300
"bdi",1912,80840
"bdi",1913,81380
"bdi",1914,81930
"bdi",1915,82480
"bdi",1916,83040
"bdi",1917,83590
"bdi",1918,84270
"bdi",1919,84930
"bdi",1920,85580
"bdi",1921,86250
"bdi",1922,86920
"bdi",1923,87590
"bdi",1924,88270
"bdi",1925,88960
"bdi",1926,89650
"bdi",1927,90340
"bdi",1928,91040
"bdi",1929,91750
"bdi",1930,92950
"bdi",1931,94160
"bdi",1932,95360
"bdi",1933,96560
"bdi",1934,97760
"bdi",1935,98960
"bdi",1936,100200
"bdi",1937,101400
"bdi",1938,102600
"bdi",1939,103800
"bdi",1940,105000
"bdi",1941,106200
"bdi",1942,107400
"bdi",1943,108600
"bdi",1944,109800
"bdi",1945,111000
"bdi",1946,112200
"bdi",1947,113400
"bdi",1948,114600
"bdi",1949,115800
"bdi",1950,117000
"bdi",1951,117600
"bdi",1952,118800
"bdi",1953,120100
"bdi",1954,121700
"bdi",1955,123400
"bdi",1956,125300
"bdi",1957,127300
"bdi",1958,129500
"bdi",1959,131900
"bdi",1960,134400
"bdi",1961,137100
"bdi",1962,139900
"bdi",1963,142800
"bdi",1964,145700
"bdi",1965,148600
"bdi",1966,151400
"bdi",1967,154100
"bdi",1968,156600
"bdi",1969,159200
"bdi",1970,161800
"bdi",1971,164600
"bdi",1972,167800
"bdi",1973,171500
"bdi",1974,175700
"bdi",1975,180400
"bdi",1976,185700
"bdi",1977,191400
"bdi",1978,197400
"bdi",1979,203700
"bdi",1980,210300
"bdi",1981,217400
"bdi",1982,225000
"bdi",1983,232900
"bdi",1984,241000
"bdi",1985,248900
"bdi",1986,256400
"bdi",1987,263300
"bdi",1988,269200
"bdi",1989,274200
"bdi",1990,277900
"bdi",1991,280300
"bdi",1992,281600
"bdi",1993,282100
"bdi",1994,282200
"bdi",1995,282100
"bdi",1996,282200
"bdi",1997,282900
"bdi",1998,284500
"bdi",1999,287500
"bdi",2000,292300
"bdi",2001,299200
"bdi",2002,308100
"bdi",2003,319000
"bdi",2004,331500
"bdi",2005,345400
"bdi",2006,360400
"bdi",2007,376000
"bdi",2008,391600
"bdi",2009,407000
"bdi",2010,421800
"bdi",2011,436100
"bdi",2012,449900
"bdi",2013,463300
"bdi",2014,476000
"bdi",2015,487700
"cod",1800,215500
"cod",1801,215500
"cod",1802,215500
"cod",1803,215500
"cod",1804,215500
"cod",1805,215500
"cod",1806,215500
"cod",1807,215500
"cod",1808,215500
"cod",1809,215500
"cod",1810,215500
"cod",1811,215500
"cod",1812,215700
"cod",1813,215900
"cod",1814,216200
"cod",1815,216500
"cod",1816,216900
"cod",1817,217400
"cod",1818,218000
"cod",1819,218600
"cod",1820,219300
"cod",1821,220100
"cod",1822,220900
"cod",1823,221800
"cod",1824,222800
"cod",1825,223900
"cod",1826,225000
"cod",1827,226300
"cod",1828,227500
"cod",1829,228900
"cod",1830,230400
"cod",1831,231900
"cod",1832,233400
"cod",1833,235000
"cod",1834,236500
"cod",1835,238100
"cod",1836,239700
"cod",1837,241300
"cod",1838,242900
"cod",1839,244500
"cod",1840,246100
"cod",1841,247700
"cod",1842,249400
"cod",1843,251000
"cod",1844,252700
"cod",1845,254400
"cod",1846,256000
"cod",1847,257700
"cod",1848,259400
"cod",1849,261200
"cod",1850,262900
"cod",1851,264600
"cod",1852,266300
"cod",1853,268100
"cod",1854,269800
"cod",1855,271600
"cod",1856,273400
"cod",1857,275200
"cod",1858,277000
"cod",1859,278800
"cod",1860,280600
"cod",1861,282500
"cod",1862,284300
"cod",1863,286200
"cod",1864,288100
"cod",1865,289900
"cod",1866,291800
"cod",1867,293800
"cod",1868,295700
"cod",1869,297600
"cod",1870,299600
"cod",1871,301500
"cod",1872,303500
"cod",1873,305500
"cod",1874,307500
"cod",1875,309500
"cod",1876,311500
"cod",1877,313500
"cod",1878,315500
"cod",1879,317600
"cod",1880,319700
"cod",1881,321800
"cod",1882,323900
"cod",1883,326000
"cod",1884,328100
"cod",1885,330200
"cod",1886,332400
"cod",1887,334500
"cod",1888,336700
"cod",1889,338900
"cod",1890,341200
"cod",1891,343400
"cod",1892,345700
"cod",1893,347900
"cod",1894,350200
"cod",1895,352500
"cod",1896,354800
"cod",1897,357100
"cod",1898,359500
"cod",1899,361800
"cod",1900,364200
"cod",1901,366600
"cod",1902,369000
"cod",1903,371400
"cod",1904,373800
"cod",1905,376300
"cod",1906,378700
"cod",1907,381200
"cod",1908,383700
"cod",1909,386200
"cod",1910,388700
"cod",1911,391200
"cod",1912,393800
"cod",1913,396400
"cod",1914,399000
"cod",1915,401600
"cod",1916,404200
"cod",1917,406900
"cod",1918,409600
"cod",1919,412300
"cod",1920,415000
"cod",1921,417800
"cod",1922,420500
"cod",1923,423300
"cod",1924,426100
"cod",1925,429000
"cod",1926,431800
"cod",1927,434700
"cod",1928,437500
"cod",1929,440400
"cod",1930,446500
"cod",1931,452500
"cod",1932,458600
"cod",1933,464600
"cod",1934,470700
"cod",1935,476800
"cod",1936,482800
"cod",1937,488900
"cod",1938,494900
"cod",1939,501000
"cod",1940,507000
"cod",1941,513100
"cod",1942,519100
"cod",1943,525200
"cod",1944,531200
"cod",1945,537300
"cod",1946,543400
"cod",1947,549400
"cod",1948,555500
"cod",1949,561500
"cod",1950,567600
"cod",1951,573300
"cod",1952,585300
"cod",1953,598200
"cod",1954,611900
"cod",1955,626600
"cod",1956,642100
"cod",1957,658500
"cod",1958,675800
"cod",1959,693900
"cod",1960,712800
"cod",1961,732500
"cod",1962,752900
"cod",1963,774000
"cod",1964,795600
"cod",1965,817600
"cod",1966,840000
"cod",1967,862800
"cod",1968,885800
"cod",1969,909300
"cod",1970,933200
"cod",1971,957600
"cod",1972,982600
"cod",1973,1009000
"cod",1974,1036000
"cod",1975,1064000
"cod",1976,1093000
"cod",1977,1124000
"cod",1978,1157000
"cod",1979,1191000
"cod",1980,1227000
"cod",1981,1264000
"cod",1982,1302000
"cod",1983,1342000
"cod",1984,1383000
"cod",1985,1427000
"cod",1986,1473000
