"geo","time","newborn_deaths"
"bdi",1964,7026
"bdi",1965,7274
"bdi",1966,7488
"bdi",1967,7630
"bdi",1968,7761
"bdi",1969,7825
"bdi",1970,7870
"bdi",1971,7887
"bdi",1972,7878
"bdi",1973,7885
"bdi",1974,7960
"bdi",1975,8135
"bdi",1976,8294
"bdi",1977,8530
"bdi",1978,8806
"bdi",1979,9072
"bdi",1980,9313
"bdi",1981,9411
"bdi",1982,9513
"bdi",1983,9590
"bdi",1984,9688
"bdi",1985,9889
"bdi",1986,10120
"bdi",1987,10410
"bdi",1988,10770
"bdi",1989,11120
"bdi",1990,11360
"bdi",1991,11500
"bdi",1992,11510
"bdi",1993,11420
"bdi",1994,11310
"bdi",1995,11180
"bdi",1996,11030
"bdi",1997,10890
"bdi",1998,10820
"bdi",1999,10780
"bdi",2000,10890
"bdi",2001,10920
"bdi",2002,11040
"bdi",2003,11250
"bdi",2004,11470
"bdi",2005,11720
"bdi",2006,12010
"bdi",2007,12260
"bdi",2008,12540
"bdi",2009,12720
"bdi",2010,12970
"bdi",2011,13090
"bdi",2012,13170
"bdi",2013,13200
"bdi",2014,13260
"bdi",2015,13240
"cod",1984,58610
"cod",1985,60180
"cod",1986,60920
"cod",1987,62010
"cod",1988,63280
"cod",1989,64540
"cod",1990,66500
"cod",1991,68600
"cod",1992,71100
"cod",1993,73660
"cod",1994,75870
"cod",1995,77690
"cod",1996,79360
"cod",1997,80500
"cod",1998,80800
"cod",1999,81760
"cod",2000,83220
"cod",2001,84740
"cod",2002,86510
"cod",2003,88550
"cod",2004,90320
"cod",2005,91600
"cod",2006,91700
"cod",2007,91900
"cod",2008,91990
"cod",2009,92050
"cod",2010,92130
"cod",2011,92410
"cod",2012,92720
"cod",2013,93340
"cod",2014,93670
"cod",2015,94250
"ken",1954,19570
"ken",1955,19460
"ken",1956,19220
"ken",1957,18950
"ken",1958,18770
"ken",1959,18600
"ken",1960,18410
"ken",1961,18320
"ken",1962,18310
"ken",1963,18410
"ken",1964,18580
"ken",1965,18750
"ken",1966,19040
"ken",1967,19410
"ken",1968,19860
"ken",1969,20320
"ken",1970,20800
"ken",1971,21210
"ken",1972,21620
"ken",1973,22110
"ken",1974,22510
"ken",1975,22910
"ken",1976,23310
"ken",1977,23670
"ken",1978,24020
"ken",1979,24470
"ken",1980,25050
"ken",1981,25570
"ken",1982,26130
"ken",1983,26690
"ken",1984,27190
"ken",1985,27500
"ken",1986,27600
"ken",1987,27520
"ken",1988,27330
"ken",1989,27190
"ken",1990,26880
"ken",1991,26620
"ken",1992,26430
"ken",1993,26140
"ken",1994,26100
"ken",1995,26540
"ken",1996,27570
"ken",1997,28990
"ken",1998,30630
"ken",1999,32360
"ken",2000,33960
"ken",2001,35330
"ken",2002,36400
"ken",2003,37410
"ken",2004,38220
"ken",2005,38790
"ken",2006,38810
"ken",2007,38750
"ken",2008,38300
"ken",2009,37830
"ken",2010,37310
"ken",2011,36540
"ken",2012,35760
"ken",2013,35100
"ken",2014,34430
"ken",2015,33740
"rwa",1960,8955
"rwa",1961,8906
"rwa",1962,8794
"rwa",1963,8686
"rwa",1964,8669
"rwa",1965,8777
"rwa",1966,8926
"rwa",1967,9231
"rwa",1968,9600
"rwa",1969,10020
"rwa",1970,10480
"rwa",1971,10930
"rwa",1972,11440
"rwa",1973,12000
"rwa",1974,12660
"rwa",1975,13420
"rwa",1976,14130
"rwa",1977,14810
"rwa",1978,15300
"rwa",1979,15550
"rwa",1980,15570
"rwa",1981,15330
"rwa",1982,14950
"rwa",1983,14600
"rwa",1984,14440
"rwa",1985,14400
"rwa",1986,14550
"rwa",1987,14880
"rwa",1988,15070
"rwa",1989,14720
"rwa",1990,13710
"rwa",1991,12220
"rwa",1992,10000
"rwa",1993,7726
"rwa",1994,6376
